"","Gemeinschaft","Gesellschaft"
"Formality",0.0402011604147919,0.938045173625433
"Activeness",0.995742707273572,0.00563880326731713
"Valence",0.438842070644973,0.103637935786453
"Exchange",0.256589727661528,-0.492588927663681
"Equality",0.0818773397383811,0.341304585686206
