"","V1","V2","V3"
"Valence.Evaluation",0.0873097624774907,-0.80449051621385,-0.0806766050034944
"Equality",0.277921161605716,0.223614918328022,-0.374174168071734
"Activity.Intensity",0.714017625039715,-0.259358558018214,0.302436076529178
"Socioemotional",0.901940795287281,-0.0751513155158544,-0.261570790473355
"Formality.and.Regulation",-0.767731366846817,-0.139106477924198,0.317340501323349
"Intimacy",0.830034503671234,-0.207514853577315,-0.0392785258900409
"Visibility",-0.360930840070016,0.00927079068908358,-0.188218489850169
"Communal.Sharing",0.732571437834128,-0.295088251327013,-0.296548845847846
"Expected.Reciprocity",-0.0823287765093626,-0.00985662050037328,0.284545380362428
"Strategic",-0.848151237151453,0.0917655268851293,0.319346911361868
"Concreteness",-0.788027811590748,-0.052448335209239,0.257708563329197
"Uniqueness",0.500653132649915,-0.0540771928325406,0.407613546672665
"Love.Expression",0.850457984623533,-0.346352512580366,-0.157947886919098
"Information.Exchange",0.0899945060748058,-0.702397039179279,0.447368427198446
"Money.Exchange",-0.666879534223775,-0.119944291131487,0.316806229664093
"Goods.Exchange",-0.496861674663878,-0.300575337581484,0.05579741886895
"Service.Exchange",-0.685491485934376,-0.492099844627572,0.129140850807896
"Attachment",0.650168208245452,-0.621519084197134,0.135343120737437
"Mating",0.733739226801324,0.0794550753682171,0.130493106019145
"Conflict",0.222464894061368,0.772930463240174,0.305287902181199
"Negotiation",-0.374102792248488,-0.0928760204418408,0.663488973704325
"Coercion",-0.1576696882091,0.565352855451042,0.622233307655395
"Importance.for.society",0.0153169612243007,-0.583869201357103,0.0712717284019056
"Importance.for.individuals",0.0181058013919402,-0.679165614319131,0.220720145879938
"Affiliation.Coalition",-0.186994115375955,-0.474546078628719,-0.0651836866737098
"Occupational",-0.770336581168275,-0.37731277466409,0.373266625070345
"Activeness",-0.145762620316311,-0.630709234138199,0.610078725116001
"Endurance",0.431405914617935,-0.496524415932737,0.635709951285632
"Synchronicity",-0.231390602046086,-0.668016322927966,0.593667341484186
"Spatial.Distance",-0.149691380714895,-0.622316532327527,0.454146353284775
"Morality",0.125547654289544,-0.890570443254451,0.0741364463911168
"Trust",0.0884258527695021,-0.857034437904599,0.172864268847347
"Generation.Gap",0.25091151957437,-0.651579711952337,0.0968919236015743
