Entity,United States,United Kingdom,Germany,France,Australia,South Africa,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
United States,0.0,2.9000000960000003,2.899999904999999,3.0999999050000002,2.199999904999999,3.799999953,4.299999905,1.9999999050000015,2.899999904999999,3.0999999050000002,2.999999905,0.40000009599999214,4.1999998100000004,0.09999990500002588,1.6999999050000012,1.8999999049999998,1.2999997139999986,1.2999997139999986
United Kingdom,2.900000096,0.0,1.97686242482388e-07,0.19999980900000633,0.7000001910000013,0.8999998570000007,1.399999809,0.9000001909999987,1.97686242482388e-07,0.19999980900000633,0.099999809000005,2.4999999999999987,1.2999997140000008,2.8000001909999996,1.2000001909999995,1.0000001909999994,1.600000382,1.600000382
Germany,2.899999904999999,1.97686242482388e-07,0.0,0.19999999999999787,0.7000000000000014,0.900000048000003,1.400000000000001,0.8999999999999992,0.0,0.19999999999999787,0.10000000000002558,2.499999808999999,1.2999999050000008,2.8000000000000007,1.199999999999999,1.0,1.6000001909999984,1.6000001909999984
France,3.0999999050000002,0.19999980900000633,0.19999999999999787,0.0,0.9000000000000012,0.7000000480000025,1.1999999999999997,1.0999999999999988,0.19999999999999787,0.0,0.09999999999999006,2.6999998090000004,1.0999999050000004,3.0,1.4000000000000004,1.199999999999999,1.8000001909999983,1.8000001909999983
Australia,2.199999904999999,0.7000001910000013,0.7000000000000014,0.9000000000000012,0.0,1.6000000480000012,2.1000000000000005,0.20000000000000676,0.7000000000000014,0.9000000000000012,0.8000000000000004,1.7999998089999982,1.9999999050000001,2.100000000000001,0.5,0.2999999999999938,0.9000001909999987,0.9000001909999987
South Africa,3.7999999530000004,0.8999998570000017,0.900000048000004,0.7000000480000037,1.6000000480000018,0.0,0.4999999520000008,1.800000048000001,0.900000048000004,0.7000000480000037,0.8000000480000029,3.399999857,0.39999985700000273,3.7000000480000006,2.100000048000001,1.9000000480000014,2.500000238999999,2.500000238999999
Chile,4.299999905,1.3999998090000008,1.4000000000000004,1.199999999999999,2.100000000000001,0.4999999520000008,0.0,2.3000000000000007,1.4000000000000004,1.199999999999999,1.2999999999999992,3.899999809,0.10000009500000608,4.2,2.600000000000001,2.4000000000000012,3.0000001910000003,3.0000001910000003
Mexico,1.9999999050000024,0.9000001909999987,0.8999999999999992,1.0999999999999988,0.20000000000000676,1.8000000480000005,2.3000000000000003,0.0,0.8999999999999992,1.0999999999999988,0.9999999999999982,1.5999998090000023,2.1999999049999994,1.9,0.3000000000000057,0.09999999999999006,0.7000001909999988,0.7000001909999988
Spain,2.899999904999999,1.97686242482388e-07,0.0,0.19999999999999787,0.7000000000000014,0.900000048000003,1.400000000000001,0.8999999999999992,0.0,0.19999999999999787,0.10000000000002558,2.499999808999999,1.2999999050000008,2.8000000000000007,1.199999999999999,1.0,1.6000001909999984,1.6000001909999984
Brazil,3.0999999050000002,0.19999980900000633,0.19999999999999787,0.0,0.9000000000000012,0.7000000480000025,1.1999999999999997,1.0999999999999988,0.19999999999999787,0.0,0.09999999999999006,2.6999998090000004,1.0999999050000004,3.0,1.4000000000000004,1.199999999999999,1.8000001909999983,1.8000001909999983
Portugal,2.999999905,0.099999809000005,0.10000000000002558,0.09999999999999006,0.8000000000000004,0.8000000480000018,1.2999999999999998,0.9999999999999982,0.10000000000002558,0.09999999999999006,0.0,2.599999809,1.199999905,2.8999999999999995,1.2999999999999992,1.1000000000000003,1.700000191,1.700000191
Egypt,0.40000009599999214,2.499999999999999,2.499999808999999,2.6999998090000004,1.7999998089999982,3.399999857,3.899999809,1.5999998090000012,2.499999808999999,2.6999998090000004,2.599999809,0.0,3.7999997139999997,0.30000019100000214,1.2999998090000007,1.4999998089999993,0.8999996179999992,0.8999996179999992
Qatar,4.1999998100000004,1.299999714,1.2999999050000002,1.0999999049999998,1.9999999050000006,0.39999985700000273,0.10000009500000608,2.199999905,1.2999999050000002,1.0999999049999998,1.1999999049999992,3.7999997139999997,0.0,4.099999905000001,2.4999999049999997,2.299999905,2.900000096,2.900000096
Russia,0.09999990500002588,2.8000001910000005,2.8000000000000007,3.0,2.100000000000001,3.700000048,4.2,1.899999999999999,2.8000000000000007,3.0,2.8999999999999995,0.30000019100000214,4.099999905000001,0.0,1.6000000000000008,1.8000000000000005,1.1999998089999977,1.1999998089999977
Israel,1.6999999050000012,1.2000001909999982,1.199999999999999,1.4000000000000004,0.5,2.1000000480000005,2.6000000000000005,0.29999999999999977,1.199999999999999,1.4000000000000004,1.2999999999999992,1.2999998090000007,2.4999999049999992,1.6000000000000008,0.0,0.19999999999999787,0.40000019100000145,0.40000019100000145
Japan,1.8999999049999998,1.0000001909999994,1.0,1.199999999999999,0.2999999999999938,1.9000000480000008,2.400000000000001,0.10000000000000782,1.0,1.199999999999999,1.1000000000000003,1.4999998089999993,2.2999999049999995,1.8000000000000005,0.19999999999999787,0.0,0.6000001909999968,0.6000001909999968
China,1.2999997139999986,1.6000003819999988,1.6000001909999984,1.8000001909999983,0.9000001909999987,2.500000238999999,3.000000191,0.7000001909999962,1.6000001909999984,1.8000001909999983,1.700000191,0.8999996179999992,2.9000000959999994,1.1999998089999977,0.40000019100000145,0.6000001909999968,0.0,0.0
Hong Kong,1.2999997139999986,1.6000003819999988,1.6000001909999984,1.8000001909999983,0.9000001909999987,2.500000238999999,3.000000191,0.7000001909999962,1.6000001909999984,1.8000001909999983,1.700000191,0.8999996179999992,2.9000000959999994,1.1999998089999977,0.40000019100000145,0.6000001909999968,0.0,0.0
