Country,Australia,Brazil,Chile,China,Egypt,France,Germany,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,5.499999999999999,4.300000000000001,7.999999999999998,10.299999999999999,4.6000000000000005,4.499999999999998,23.3,7.499999999999999,6.2,6.2,8.399999999999999,7.6,15.100000000000003,9.399999999999999,9.2,6.299999999999997,0.5000000000000284
Brazil,5.499999999999999,0.0,9.8,2.5,4.8,0.8999999999999974,1.0,28.8,2.0,11.7,0.6999999999999963,2.9,2.100000000000001,20.6,3.9000000000000004,3.6999999999999997,0.8000000000000004,5.999999999999999
Chile,4.300000000000001,9.8,0.0,12.3,14.600000000000001,8.9,8.8,19.0,11.8,1.9000000000000037,10.5,12.700000000000001,11.9,10.800000000000004,13.700000000000001,13.5,10.6,3.8000000000000034
China,7.999999999999998,2.5,12.3,0.0,2.3000000000000003,3.4000000000000004,3.5,31.3,0.5,14.199999999999998,1.7999999999999985,0.4000000000000024,0.39999999999999575,23.1,1.4,1.199999999999999,1.7000000000000002,8.5
Egypt,10.299999999999999,4.8,14.6,2.3000000000000003,0.0,5.699999999999999,5.800000000000001,33.6,2.8000000000000007,16.5,4.1000000000000005,1.9,2.6999999999999997,25.400000000000002,0.8999999999999998,1.1000000000000003,4.0,10.799999999999999
France,4.6,0.8999999999999974,8.9,3.4000000000000004,5.7,0.0,0.10000000000006111,27.9,2.900000000000001,10.799999999999999,1.600000000000003,3.8,3.0000000000000013,19.700000000000003,4.800000000000001,4.6000000000000005,1.6999999999999982,5.099999999999999
Germany,4.5,1.0,8.8,3.5,5.800000000000001,0.10000000000006111,0.0,27.799999999999997,3.0,10.700000000000001,1.7000000000000002,3.9000000000000012,3.1000000000000023,19.6,4.900000000000001,4.7,1.7999999999999985,5.000000000000003
India,23.3,28.8,19.0,31.3,33.599999999999994,27.9,27.799999999999997,0.0,30.8,17.1,29.5,31.700000000000003,30.900000000000002,8.200000000000008,32.7,32.5,29.599999999999998,22.8
Israel,7.499999999999999,2.0,11.8,0.5,2.8000000000000007,2.900000000000001,3.0,30.8,0.0,13.7,1.2999999999999992,0.9000000000000022,0.10000000000002558,22.6,1.9000000000000006,1.7000000000000002,1.199999999999999,8.0
Japan,6.2,11.7,1.9000000000000037,14.199999999999998,16.5,10.799999999999999,10.7,17.1,13.7,0.0,12.399999999999999,14.6,13.799999999999999,8.900000000000002,15.599999999999998,15.399999999999999,12.499999999999998,5.699999999999998
Mexico,6.2,0.6999999999999963,10.5,1.7999999999999985,4.1000000000000005,1.600000000000003,1.7000000000000002,29.5,1.2999999999999992,12.399999999999999,0.0,2.200000000000001,1.4000000000000004,21.3,3.200000000000001,3.0,0.09999999999995453,6.700000000000001
Portugal,8.399999999999999,2.8999999999999995,12.700000000000001,0.40000000000000463,1.9,3.8,3.900000000000001,31.7,0.9000000000000012,14.6,2.2000000000000006,0.0,0.8000000000000004,23.500000000000004,1.0000000000000004,0.8000000000000015,2.099999999999999,8.9
Qatar,7.6,2.100000000000001,11.9,0.39999999999999575,2.6999999999999997,3.0000000000000013,3.1000000000000023,30.900000000000002,0.10000000000002558,13.799999999999999,1.4000000000000004,0.8000000000000015,0.0,22.700000000000003,1.7999999999999994,1.5999999999999996,1.2999999999999992,8.1
Russia,15.100000000000001,20.6,10.800000000000004,23.1,25.400000000000002,19.700000000000003,19.6,8.200000000000015,22.6,8.900000000000002,21.3,23.500000000000004,22.700000000000003,0.0,24.500000000000004,24.3,21.400000000000002,14.600000000000003
South Africa,9.399999999999999,3.9000000000000004,13.7,1.4000000000000004,0.9,4.8,4.9,32.7,1.9000000000000008,15.599999999999998,3.200000000000001,1.0000000000000009,1.7999999999999996,24.500000000000004,0.0,0.20000000000000676,3.1000000000000005,9.9
Spain,9.2,3.6999999999999997,13.5,1.199999999999999,1.1000000000000005,4.6000000000000005,4.7,32.5,1.7000000000000002,15.399999999999999,3.0,0.8000000000000015,1.5999999999999996,24.3,0.20000000000000454,0.0,2.8999999999999995,9.7
United Kingdom,6.299999999999997,0.8000000000000004,10.6,1.7000000000000002,4.0,1.6999999999999982,1.7999999999999985,29.599999999999998,1.199999999999999,12.499999999999998,0.09999999999995453,2.0999999999999996,1.2999999999999992,21.400000000000002,3.1000000000000005,2.8999999999999995,0.0,6.799999999999999
United States,0.5000000000000284,5.999999999999999,3.8000000000000074,8.5,10.8,5.1,5.000000000000002,22.8,8.0,5.700000000000001,6.700000000000001,8.9,8.1,14.600000000000003,9.9,9.7,6.799999999999999,0.0
