Entity,United States,United Kingdom,Germany,France,Australia,South Africa,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
United States,0.0,1.0000000000000004,1.1999997999999992,1.0999999000000005,1.0000000000000004,2.8999999099999996,2.8999999099999996,1.8999998999999999,2.7999998899999996,1.3999998999999996,2.6999999199999998,2.7999998899999996,0.5999998999999977,1.9999999,1.4999999999999998,2.1999999000000003,1.3999998999999996
United Kingdom,1.0,0.0,0.199999799999999,0.09999989999999839,0.0,1.8999999099999998,1.8999999099999998,0.8999999000000003,1.7999998899999998,0.3999998999999994,1.6999999199999998,1.7999998899999998,1.5999998999999994,0.9999998999999996,0.5,1.1999999,0.3999998999999994
Germany,1.1999997999999992,0.199999799999999,0.0,0.09999990000000283,0.199999799999999,1.7000001100000002,1.7000001100000002,0.7000001000000007,1.6000000900000002,0.20000010000000112,1.5000001200000002,1.6000000900000002,1.7999996999999996,0.8000001000000002,0.30000020000000144,1.0000001000000005,0.20000010000000112
France,1.0999999000000005,0.09999989999999839,0.09999990000000283,0.0,0.09999989999999839,1.8000000099999998,1.8000000099999998,0.7999999999999998,1.69999999,0.30000000000000127,1.6000000199999997,1.69999999,1.699999799999999,0.9000000000000002,0.4000000999999993,1.0999999999999999,0.30000000000000127
Australia,1.0,0.0,0.199999799999999,0.09999989999999839,0.0,1.8999999099999998,1.8999999099999998,0.8999999000000003,1.7999998899999998,0.3999998999999994,1.6999999199999998,1.7999998899999998,1.5999998999999994,0.9999998999999996,0.5,1.1999999,0.3999998999999994
South Africa,2.8999999099999996,1.8999999099999998,1.7000001100000002,1.8000000099999998,1.8999999099999998,0.0,0.0,1.0000000099999997,0.10000002000000081,1.5000000100000002,0.19999999000000013,0.10000002000000081,3.4999998099999994,0.9000000100000002,1.3999999099999996,0.70000001,1.5000000100000002
Mexico,2.8999999099999996,1.8999999099999998,1.7000001100000002,1.8000000099999998,1.8999999099999998,0.0,0.0,1.0000000099999997,0.10000002000000081,1.5000000100000002,0.19999999000000013,0.10000002000000081,3.4999998099999994,0.9000000100000002,1.3999999099999996,0.70000001,1.5000000100000002
Spain,1.8999999,0.8999999000000003,0.7000001000000007,0.7999999999999998,0.8999999000000003,1.0000000099999997,1.0000000099999997,0.0,0.8999999899999999,0.5,0.8000000199999997,0.8999999899999999,2.4999997999999994,0.09999999999999894,0.3999998999999994,0.2999999999999994,0.5
Brazil,2.7999998899999996,1.7999998899999998,1.6000000900000002,1.69999999,1.7999998899999998,0.10000002000000054,0.10000002000000054,0.8999999899999999,0.0,1.3999999900000002,0.09999996999999973,0.0,3.3999997899999994,0.7999999900000003,1.2999998899999998,0.5999999899999999,1.3999999900000002
Portugal,1.3999998999999999,0.3999998999999994,0.20000010000000112,0.30000000000000127,0.3999998999999994,1.5000000100000002,1.5000000100000002,0.5,1.3999999900000002,0.0,1.30000002,1.3999999900000002,1.9999997999999992,0.6000000000000003,0.10000010000000162,0.8000000000000003,0.0
Egypt,2.6999999199999998,1.6999999199999998,1.5000001200000002,1.6000000199999997,1.6999999199999998,0.19999999,0.19999999,0.8000000199999996,0.09999996999999973,1.30000002,0.0,0.09999996999999973,3.2999998199999996,0.7000000200000003,1.1999999199999998,0.5000000199999999,1.30000002
Qatar,2.7999998899999996,1.7999998899999998,1.6000000900000002,1.69999999,1.7999998899999998,0.10000002000000054,0.10000002000000054,0.8999999899999999,0.0,1.3999999900000002,0.09999996999999973,0.0,3.3999997899999994,0.7999999900000003,1.2999998899999998,0.5999999899999999,1.3999999900000002
Russia,0.5999998999999977,1.5999998999999996,1.7999996999999996,1.699999799999999,1.5999998999999996,3.4999998099999994,3.4999998099999994,2.4999997999999994,3.3999997899999994,1.9999997999999994,3.2999998199999996,3.3999997899999994,0.0,2.599999799999999,2.0999999,2.7999997999999997,1.9999997999999994
Israel,1.9999999,0.9999998999999996,0.8000001000000002,0.9000000000000002,0.9999998999999996,0.9000000100000002,0.9000000100000002,0.09999999999999894,0.7999999900000003,0.6000000000000003,0.7000000200000001,0.7999999900000003,2.599999799999999,0.0,0.4999998999999995,0.20000000000000176,0.6000000000000003
Japan,1.5,0.5,0.30000020000000144,0.4000000999999993,0.5,1.3999999099999998,1.3999999099999998,0.3999998999999994,1.2999998899999998,0.10000010000000162,1.1999999199999998,1.2999998899999998,2.0999998999999994,0.4999998999999995,0.0,0.6999998999999998,0.10000010000000162
China,2.1999999,1.1999999,1.0000001000000005,1.1,1.1999999,0.7000000099999999,0.7000000099999999,0.29999999999999977,0.5999999899999999,0.8000000000000004,0.5000000199999999,0.5999999899999999,2.7999997999999993,0.20000000000000231,0.6999999,0.0,0.8000000000000004
Hong Kong,1.3999998999999999,0.3999998999999994,0.20000010000000112,0.30000000000000127,0.3999998999999994,1.5000000100000002,1.5000000100000002,0.5,1.3999999900000002,0.0,1.30000002,1.3999999900000002,1.9999997999999992,0.6000000000000003,0.10000010000000162,0.8000000000000003,0.0
