Country,Australia,Brazil,Chile,China,Germany,Egypt,Spain,France,United Kingdom,Hong Kong,Israel,India,Japan,Mexico,Portugal,Qatar,Russia,United States,South Africa
Australia,0.0,2.230000000000002,1.0100000000000067,6.83,0.4099999999999945,6.03,0.8000000000000004,0.9700000000000069,0.5699999999999996,3.070000000000001,1.2300000000000009,2.190000000000001,1.10000000000001,3.0,1.0599999999999983,5.9,5.98,1.1300000000000083,1.8500000000000019
Brazil,2.230000000000002,0.0,1.2199999999999995,4.6000000000000005,1.8199999999999992,3.8,1.4299999999999995,1.259999999999998,1.6599999999999961,0.8400000000000024,1.0,0.0400000000000422,1.129999999999999,0.7700000000000001,1.1699999999999984,3.67,3.7499999999999996,1.1000000000000003,0.3799999999999966
Chile,1.0100000000000067,1.2199999999999995,0.0,5.82,0.5999999999999995,5.02,0.2100000000000006,0.03999999999977575,0.4399999999999879,2.06,0.22000000000000203,1.1800000000000008,0.08999999999999381,1.9899999999999993,0.05000000000011937,4.890000000000001,4.970000000000001,0.1200000000000082,0.8399999999999982
China,6.83,4.6000000000000005,5.82,0.0,6.42,0.7999999999999993,6.03,5.859999999999999,6.259999999999999,3.7599999999999993,5.6,4.640000000000001,5.73,3.8299999999999996,5.77,0.9300000000000003,0.8499999999999991,5.7,4.98
Germany,0.4099999999999945,1.8199999999999992,0.5999999999999995,6.42,0.0,5.619999999999999,0.39000000000002377,0.5600000000000073,0.15999999999999118,2.6600000000000015,0.8199999999999976,1.7799999999999996,0.6900000000000017,2.5900000000000003,0.6500000000000105,5.489999999999999,5.57,0.7200000000000047,1.4399999999999973
Egypt,6.03,3.8,5.02,0.7999999999999998,5.619999999999999,0.0,5.2299999999999995,5.059999999999999,5.459999999999999,2.959999999999999,4.8,3.8400000000000003,4.930000000000001,3.029999999999999,4.969999999999999,0.1299999999999988,0.049999999999977264,4.8999999999999995,4.179999999999999
Spain,0.8000000000000004,1.4299999999999995,0.2100000000000006,6.03,0.39000000000002377,5.2299999999999995,0.0,0.16999999999997953,0.22999999999998685,2.2700000000000005,0.4300000000000153,1.3899999999999995,0.3000000000000057,2.2000000000000006,0.2599999999999976,5.1,5.18,0.32999999999999763,1.0499999999999996
France,0.9700000000000069,1.259999999999998,0.03999999999977575,5.859999999999999,0.5600000000000073,5.059999999999999,0.16999999999997953,0.0,0.39999999999999575,2.099999999999999,0.2599999999999703,1.2199999999999964,0.1299999999999715,2.029999999999998,0.08999999999991486,4.929999999999999,5.009999999999999,0.15999999999996897,0.8799999999999959
United Kingdom,0.5699999999999996,1.6599999999999961,0.4399999999999879,6.259999999999999,0.15999999999999118,5.459999999999999,0.22999999999998685,0.39999999999999575,0.0,2.5,0.6599999999999845,1.6200000000000003,0.5300000000000025,2.4299999999999997,0.48999999999998367,5.329999999999999,5.41,0.5600000000000008,1.279999999999999
Hong Kong,3.070000000000001,0.8400000000000024,2.06,3.7599999999999993,2.6600000000000015,2.9599999999999995,2.2700000000000005,2.099999999999999,2.5,0.0,1.839999999999999,0.880000000000004,1.9700000000000029,0.0699999999999438,2.009999999999999,2.8299999999999996,2.9099999999999997,1.940000000000001,1.2199999999999964
Israel,1.2300000000000009,1.0,0.22000000000000203,5.6,0.8199999999999976,4.8,0.4300000000000153,0.2599999999999703,0.6599999999999845,1.839999999999999,0.0,0.9600000000000026,0.13000000000002615,1.7699999999999978,0.16999999999997953,4.67,4.75,0.09999999999999006,0.6199999999999938
