country,Japan,Hong Kong,China,Germany,Australia,United Kingdom,United States,France,Russia,Spain,Portugal,Israel,Chile,Mexico,Brazil,Qatar,Egypt,India,South Africa
Japan,0.0,1.109999999998849,2.3800000000003108,5.739999999999958,7.240000000000046,7.359999999999826,9.050000000000109,9.790000000000013,10.189999999999932,12.579999999999936,13.709999999999972,14.050000000000006,18.59,18.75,23.099999999999973,25.699999999999996,30.16000000000002,30.240000000000027,37.610000000000014
Hong Kong,1.109999999998849,0.0,1.270000000000032,4.630000000000066,6.130000000000002,6.25,7.939999999999941,8.679999999999973,9.07999999999994,11.470000000000017,12.600000000000009,12.93999999999995,17.479999999999976,17.639999999999926,21.990000000000013,24.590000000000014,29.050000000000004,29.129999999999992,36.499999999999986
China,2.3800000000003108,1.270000000000032,0.0,3.3600000000000096,4.860000000000186,4.980000000000008,6.670000000000158,7.409999999999915,7.809999999999903,10.200000000000042,11.330000000000139,11.670000000000043,16.209999999999983,16.370000000000044,20.720000000000045,23.319999999999983,27.780000000000033,27.860000000000024,35.230000000000004
Germany,5.739999999999958,4.630000000000066,3.3600000000000096,0.0,1.5,1.6200000000001868,3.310000000000188,4.050000000000242,4.449999999999975,6.839999999999945,7.970000000000084,8.310000000000096,12.850000000000016,13.009999999999982,17.36,19.960000000000026,24.42000000000004,24.500000000000036,31.869999999999997
Australia,7.240000000000046,6.130000000000002,4.860000000000186,1.5,0.0,0.12000000000009702,1.810000000000263,2.5500000000000997,2.949999999999593,5.339999999999889,6.470000000000115,6.809999999999829,11.35000000000005,11.51000000000003,15.859999999999944,18.46,22.919999999999998,23.0,30.36999999999999
United Kingdom,7.359999999999826,6.25,4.980000000000008,1.6200000000001868,0.12000000000009702,0.0,1.689999999999722,2.429999999999906,2.829999999999806,5.220000000000039,6.350000000000017,6.689999999999903,11.229999999999963,11.389999999999889,15.74000000000002,18.33999999999997,22.800000000000004,22.879999999999992,30.249999999999986
United States,9.050000000000109,7.939999999999941,6.670000000000158,3.310000000000188,1.810000000000263,1.689999999999722,0.0,0.7400000000011445,1.139999999999326,3.5300000000000056,4.660000000000341,5.000000000000182,9.540000000000134,9.7000000000001,14.050000000000006,16.650000000000052,21.110000000000017,21.19000000000006,28.560000000000016
France,9.790000000000013,8.679999999999973,7.409999999999915,4.050000000000242,2.5500000000000997,2.429999999999906,0.7400000000011445,0.0,0.3999999999998181,2.789999999999811,3.9199999999998694,4.259999999999814,8.799999999999978,8.960000000000013,13.310000000000006,15.909999999999997,20.370000000000015,20.45000000000003,27.819999999999986
Russia,10.189999999999932,9.07999999999994,7.809999999999903,4.449999999999975,2.949999999999593,2.829999999999806,1.139999999999326,0.3999999999998181,0.0,2.3899999999997545,3.5200000000000324,3.859999999999848,8.399999999999915,8.559999999999919,12.90999999999996,15.50999999999996,19.970000000000006,20.05000000000001,27.419999999999995
Spain,12.579999999999936,11.470000000000017,10.200000000000042,6.839999999999945,5.339999999999889,5.220000000000039,3.5300000000000056,2.789999999999811,2.3899999999997545,0.0,1.1299999999995274,1.4699999999996416,6.009999999999932,6.16999999999987,10.520000000000042,13.120000000000031,17.580000000000037,17.660000000000036,25.03
Portugal,13.709999999999972,12.600000000000009,11.330000000000139,7.970000000000084,6.470000000000115,6.350000000000017,4.660000000000341,3.9199999999998694,3.5200000000000324,1.1299999999995274,0.0,0.33999999999878877,4.880000000000021,5.040000000000105,9.389999999999988,11.990000000000055,16.450000000000028,16.530000000000022,23.900000000000002
Israel,14.050000000000006,12.93999999999995,11.670000000000043,8.310000000000096,6.809999999999829,6.689999999999903,5.000000000000182,4.259999999999814,3.859999999999848,1.4699999999996416,0.33999999999878877,0.0,4.53999999999992,4.700000000000015,9.050000000000008,11.649999999999993,16.11000000000001,16.190000000000033,23.560000000000013
