Country,Israel,Australia,Germany,United States,United Kingdom,France,Spain,Brazil,Chile,Mexico,Japan,Portugal,China,Russia,Hong Kong,South Africa,Egypt,India
Israel,0.0,0.20170021057128906,0.3296999931335449,0.38700008392333984,0.42129993438720703,0.6771001815795898,0.8875002861022949,1.071000099182129,1.191999912261963,1.2361998558044434,1.3249001502990723,1.3474998474121094,1.7785000801086426,1.9052000045776367,1.939000129699707,2.1698999404907227,3.0760998725891113,3.586699962615967
Australia,0.20170021057128906,0.0,0.12799978256225586,0.18529987335205078,0.21959972381591797,0.4753999710083008,0.6858000755310059,0.8692998886108398,0.9902997016906738,1.0344996452331543,1.1231999397277832,1.1457996368408203,1.5767998695373535,1.7034997940063477,1.737299919128418,1.9681997299194336,2.8743996620178223,3.3849997520446777
Germany,0.3296999931335449,0.12799978256225586,0.0,0.05730009078979492,0.09159994125366211,0.3474001884460449,0.55780029296875,0.741300106048584,0.862299919128418,0.9064998626708984,0.9952001571655273,1.0177998542785645,1.4488000869750977,1.5755000114440918,1.609300136566162,1.8401999473571777,2.7463998794555664,3.256999969482422
United States,0.38700008392333984,0.18529987335205078,0.05730009078979492,0.0,0.03429985046386719,0.29010009765625,0.5005002021789551,0.6840000152587891,0.804999828338623,0.8491997718811035,0.9379000663757324,0.9604997634887695,1.3914999961853027,1.5181999206542969,1.5520000457763672,1.7828998565673828,2.6890997886657715,3.199699878692627
United Kingdom,0.42129993438720703,0.21959972381591797,0.09159994125366211,0.03429985046386719,0.0,0.2558002471923828,0.4662003517150879,0.6497001647949219,0.7706999778747559,0.8148999214172363,0.9036002159118652,0.9261999130249023,1.3572001457214355,1.4839000701904297,1.5177001953125,1.7486000061035156,2.6547999382019043,3.1654000282287598
France,0.6771001815795898,0.4753999710083008,0.3474001884460449,0.29010009765625,0.2558002471923828,0.0,0.21040010452270508,0.39389991760253906,0.514899730682373,0.5590996742248535,0.6477999687194824,0.6703996658325195,1.1013998985290527,1.2280998229980469,1.2618999481201172,1.4927997589111328,2.3989996910095215,2.909599781036377
Spain,0.8875002861022949,0.6858000755310059,0.55780029296875,0.5005002021789551,0.4662003517150879,0.21040010452270508,0.0,0.18349981307983398,0.30449962615966797,0.34869956970214844,0.43739986419677734,0.45999956130981445,0.8909997940063477,1.0176997184753418,1.051499843597412,1.2823996543884277,2.1885995864868164,2.699199676513672
Brazil,1.071000099182129,0.8692998886108398,0.741300106048584,0.6840000152587891,0.6497001647949219,0.39389991760253906,0.18349981307983398,0.0,0.12099981307983398,0.16519975662231445,0.25390005111694336,0.27649974822998047,0.7074999809265137,0.8341999053955078,0.8680000305175781,1.0988998413085938,2.0050997734069824,2.515699863433838
Chile,1.191999912261963,0.9902997016906738,0.862299919128418,0.804999828338623,0.7706999778747559,0.514899730682373,0.30449962615966797,0.12099981307983398,0.0,0.04419994354248047,0.13290023803710938,0.15549993515014648,0.5865001678466797,0.7132000923156738,0.7470002174377441,0.9779000282287598,1.8840999603271484,2.394700050354004
Mexico,1.2361998558044434,1.0344996452331543,0.9064998626708984,0.8491997718811035,0.8148999214172363,0.5590996742248535,0.34869956970214844,0.16519975662231445,0.04419994354248047,0.0,0.0887002944946289,0.11129999160766602,0.5423002243041992,0.6690001487731934,0.7028002738952637,0.9337000846862793,1.839900016784668,2.3505001068115234
Japan,1.3249001502990723,1.1231999397277832,0.9952001571655273,0.9379000663757324,0.9036002159118652,0.6477999687194824,0.43739986419677734,0.25390005111694336,0.13290023803710938,0.0887002944946289,0.0,0.02259969711303711,0.4535999298095703,0.5802998542785645,0.6140999794006348,0.8449997901916504,1.751199722290039,2.2617998123168945
Portugal,1.3474998474121094,1.1457996368408203,1.0177998542785645,0.9604997634887695,0.9261999130249023,0.6703996658325195,0.45999956130981445,0.27649974822998047,0.15549993515014648,0.11129999160766602,0.02259969711303711,0.0,0.4310002326965332,0.5577001571655273,0.5915002822875977,0.8224000930786133,1.728600025177002,2.2392001152038574
China,1.7785000801086426,1.5767998695373535,1.4488000869750977,1.3914999961853027,1.3572001457214355,1.1013998985290527,0.8909997940063477,0.7074999809265137,0.5865001678466797,0.5423002243041992,0.4535999298095703,0.4310002326965332,0.0,0.12669992446899414,0.16050004959106445,0.3913998603820801,1.2975997924804688,1.8081998825073242
Russia,1.9052000045776367,1.7034997940063477,1.5755000114440918,1.5181999206542969,1.4839000701904297,1.2280998229980469,1.0176997184753418,0.8341999053955078,0.7132000923156738,0.6690001487731934,0.5802998542785645,0.5577001571655273,0.12669992446899414,0.0,0.03380012512207031,0.26469993591308594,1.1708998680114746,1.68149995803833
