"","Valence Evaluation","Equality","Formality and Regulation","Concreteness","Goods Exchange","Coercion","Activeness","Activity Intensity","Communal Sharing","Uniqueness","Service Exchange","Importance for society","Endurance","Trust","Socioemotional","Expected Reciprocity","Love Expression","Generation Gap","Importance for individuals","Synchronicity","Attachment","Intimacy","Strategic","Information Exchange","Mating","Affiliation Coalition","Spatial Distance","Visibility","Money Exchange","Conflict","Negotiation","Occupational","Morality"
"捐款人-受惠者",71.3,26.1,55,89.9,50.5,15,53.7,34.3,51.5,28.3,25.7,39.6,19.1,54.1,46.3,35.1,62,48.7,53.6,64.2,34.2,33.1,35.3,24,3.5,41.7,41.8,59.1,74.4,8.4,33,18.9,89.7
"军官-部下",72.2222222222222,14.2222222222222,83.5555555555556,47.8888888888889,30.6666666666667,51.4444444444444,29.7777777777778,66.2222222222222,39.4444444444444,14.6666666666667,65.8888888888889,93.1111111111111,47.2222222222222,85.5555555555556,33.5555555555556,38,32.7777777777778,66.8888888888889,66.2222222222222,85.3333333333333,53.5555555555556,35.1111111111111,80.8888888888889,68.3333333333333,2.33333333333333,95.4444444444444,81.1111111111111,96.5555555555556,21,27.1111111111111,34.8888888888889,94,83.2222222222222
"考官-考生",54.3,10.6,93,25.4,22.6,25.2,38.4,26,29.2,31.4,35.9,81.9,27,55.1,16,34.8,13.2,75.1,53.8,56.4,35,20.1,50.3,30.7,3.4,47.4,59.1,81.2,21.2,32.8,21.6,78.4,81.1
"老师-家长",76.875,47.5,73.5,28.375,52.5,23.5,59.25,41.125,46.375,28.75,69.25,65.75,37.25,64.25,17.625,54.875,31.375,27.125,44.375,51.125,21.125,16.875,55.75,64.375,5,68.125,45.25,88.125,44.375,19.875,67.25,82.75,81
"老乡之间",75.1,72.4,28.5,33.6,32.7,11.4,53.3,43,47.4,22,27,48.4,78.4,52.8,63.5,52.8,50.8,27.7,53.5,40.6,53.6,52.3,36.4,63.4,13.9,56.3,51.5,78.2,27.7,30.1,61.6,13.3,63.2
"邻居之间",67.4,82,26.8,35.5,42.6,12.1,61.5,62.8,42.8,25.8,25.2,52.8,51.1,53.3,64.9,70,50.5,31.1,47.4,42.4,59,47.1,36.3,60.3,11,56.3,81.8,88.2,29.1,42,61.1,7.6,62.4
"旅伴之间",73.25,84.25,14.375,57.25,33.75,15.125,54.875,39.625,69.375,20.375,39,14.5,20.875,47.875,46.625,85.375,18,16.625,23.75,72.375,35.5,33.5,45.625,62.25,5.125,68.75,61.25,74.625,26,11.625,66.875,17.25,62.625
"卖家-买家",70.8888888888889,73.1111111111111,69.4444444444444,84.1111111111111,99,19.5555555555556,75.2222222222222,15.5555555555556,2.77777777777778,10.6666666666667,83.1111111111111,62.7777777777778,5.88888888888889,37.4444444444444,2.11111111111111,71.5555555555556,3.22222222222222,18.5555555555556,25.7777777777778,73.2222222222222,17.4444444444444,4.22222222222222,83.3333333333333,45,5.11111111111111,36,87.7777777777778,88.1111111111111,98,37.8888888888889,88.8888888888889,78.5555555555556,63.8888888888889
"陌生人之间",65.5555555555556,74,14.8888888888889,25,13.1111111111111,6.44444444444444,27,1.22222222222222,51.4444444444444,1.11111111111111,4.55555555555556,18,1.33333333333333,3.88888888888889,20,32.6666666666667,3,21,2.55555555555556,27.1111111111111,3.55555555555556,2.88888888888889,15,4.66666666666667,2.11111111111111,2,58.2222222222222,80.8888888888889,9.66666666666667,4.66666666666667,42.6666666666667,4.88888888888889,69.7777777777778
"玩伴之间",72.4444444444444,92.3333333333333,3.77777777777778,58.2222222222222,54.8888888888889,21.4444444444444,81.1111111111111,51.5555555555556,45.6666666666667,42.4444444444444,14.1111111111111,5,31.8888888888889,54.2222222222222,56.3333333333333,57.4444444444444,49.3333333333333,5.33333333333333,33.7777777777778,64.8888888888889,39.7777777777778,54.2222222222222,49.6666666666667,71.1111111111111,7.11111111111111,68.8888888888889,84.8888888888889,27.2222222222222,56.1111111111111,27.4444444444444,70,14.2222222222222,4.55555555555556
"朋友之间",74,71.25,19.125,45.375,23,17.5,61.625,48.875,46.625,28.375,44.125,23.75,57,54,60.125,46.125,49.375,20.125,41.125,39.875,39.875,44.625,35.25,43.875,14.625,44.625,46.875,56.5,30,21,60.625,22.375,56.625
"老朋友之间",83.875,86,20.25,22.375,25.75,20.75,74.75,69,70.25,68.25,54.25,28.125,84.25,76.125,71.125,51,72.75,16.25,75.5,58.75,72.75,69.625,24.5,77.25,17.625,62.75,58.25,29.875,13.25,14.625,70.625,9.25,75.5
"挚友之间",92.3,94.6,7.7,12.6,16.3,6.2,95.1,93.4,91.1,85.1,7,28.8,87.7,92,93.3,37.8,86.4,6.8,81.5,69.1,85.7,87.5,7.8,82.5,13.7,77.5,72.6,61.3,15,9,59.3,6.7,89.4
"知己之间",98.8888888888889,88,5.77777777777778,19.7777777777778,6.22222222222222,0.888888888888889,89.1111111111111,91.1111111111111,95.3333333333333,87.6666666666667,33.1111111111111,50.2222222222222,89.6666666666667,98.4444444444444,95.2222222222222,30.7777777777778,89.4444444444444,17.1111111111111,74.8888888888889,82.7777777777778,87.7777777777778,85,6.88888888888889,93.3333333333333,1.77777777777778,77.2222222222222,79.3333333333333,69.5555555555556,7.22222222222222,3.77777777777778,61.5555555555556,3,85.3333333333333
"乞丐-路人",64.25,24.125,26.25,84.25,66,29.75,27.625,7.375,20.625,18.125,57.625,22.375,5.625,29.5,42.25,16.125,33.5,29.375,10.625,35,12.375,8,54.375,9.875,4.625,19.75,51,74.625,82.125,15.375,28.5,14,66.625
"前任官员-现任官员",61.7777777777778,52.1111111111111,81.4444444444444,46.8888888888889,23.6666666666667,35.2222222222222,59.3333333333333,20.4444444444444,28.2222222222222,36.6666666666667,33.1111111111111,62,45,51.2222222222222,7.77777777777778,60,10.2222222222222,45,25.1111111111111,39,15.7777777777778,7.77777777777778,73.6666666666667,66.7777777777778,3.55555555555556,47.7777777777778,44.8888888888889,80.3333333333333,32.7777777777778,29.8888888888889,40.8888888888889,96,65.8888888888889
"狱警-囚犯",18.7777777777778,8,88.7777777777778,66.6666666666667,22.7777777777778,70.7777777777778,31.1111111111111,36.4444444444444,17.4444444444444,12.4444444444444,24.1111111111111,44.3333333333333,17.4444444444444,4.55555555555556,3.11111111111111,17.8888888888889,1.77777777777778,30.2222222222222,14.6666666666667,48.3333333333333,5.66666666666667,2.77777777777778,59.6666666666667,22.2222222222222,1.66666666666667,2.88888888888889,80.4444444444444,68.7777777777778,23.2222222222222,64.7777777777778,8.44444444444444,87.4444444444444,50.7777777777778
"原告-被告",3.55555555555556,76.5555555555556,97.4444444444444,50.2222222222222,19.8888888888889,49.3333333333333,30.3333333333333,16.5555555555556,19.3333333333333,59.4444444444444,3.44444444444444,59,15.4444444444444,9.66666666666667,8.33333333333333,3.55555555555556,1.66666666666667,18.3333333333333,22.8888888888889,78.1111111111111,2.88888888888889,4.11111111111111,87.3333333333333,18.2222222222222,3.11111111111111,3,75.5555555555556,82.8888888888889,26.8888888888889,91.4444444444444,60,28.3333333333333,35.1111111111111
"原配-第三者",20.875,11,41.75,36.25,23.75,42.875,27.25,30,33.375,57.625,26.125,23.5,54.125,24.75,27.75,28.125,11.625,20.875,18,23,19.75,14.375,66.625,25,40.125,40.875,55.5,18.75,17.125,72.75,34.25,18.25,25.5
"出轨者-小三",83.7777777777778,20.2222222222222,22.5555555555556,75.5555555555556,25.2222222222222,26.6666666666667,86.4444444444444,61.3333333333333,25.6666666666667,60.6666666666667,68.6666666666667,9.66666666666667,51.2222222222222,56.5555555555556,64.5555555555556,26.1111111111111,63.2222222222222,18.4444444444444,45.8888888888889,71.8888888888889,70.5555555555556,78.5555555555556,36,62.6666666666667,87.5555555555556,54.8888888888889,87.5555555555556,4.55555555555556,55.7777777777778,12,28.8888888888889,16.2222222222222,10.3333333333333
"远房亲戚之间",63.5,48.4,32.3,36.4,16.2,13.4,44.4,25.7,38.5,47.9,21.1,20.2,67.7,46.7,61.1,40.2,41.6,36.2,34.6,18,35.5,35.9,33.5,41.3,16,40,17.9,66.1,28.2,21.5,47.5,6.3,54
"岳父岳母-女婿",72.6,14.6,25.3,34.7,31.1,24.9,73.2,60.6,56.3,65.8,21.5,40.2,77.9,77.6,78.9,41,64.5,84.4,74.6,36.8,62.5,46.3,36.6,66.7,31.7,67.4,69.2,75.2,38.2,36.3,58.1,5.8,71.3
"战友之间",90.125,83.625,27.625,33.875,6.375,11.75,63.25,87.75,72.25,26.375,32.125,71.25,71.875,81.25,81.25,61.125,67.5,14.125,71.125,89,74.25,79.125,23.5,66.625,5.375,89.5,80.25,93,10.625,16.625,71.625,66,95.25
"政府官员-老百姓",50.75,8.5,73.625,55.125,44.5,55.875,53.125,33.5,33,13.25,55.875,79.5,60.5,37,24.625,61.125,38.625,35.5,49,46.125,38.875,25.875,68.875,46.625,13.625,47.625,55.75,82,60.5,55.5,31.75,76.25,60
"政治对手之间",8.5,64.375,70.375,17.375,23.125,73,48.375,55.5,21.125,33.125,18.625,64.125,61.5,8.125,22.25,17.5,8.75,26.75,34.5,36.75,7.375,7.875,83,28.875,7.125,6.5,48.25,71.5,31.625,89.375,20.875,68.25,37.625
"政治盟友之间",80.5,71.75,62,55.625,29.5,16.375,88.125,78,46.25,59.5,65.875,74.625,70.25,73.5,49.25,68.25,50.625,28.75,72.75,77.625,66.375,50.875,71.75,82.375,15.125,94.625,67.25,70.25,41.75,16.75,83.375,72,71.375
"中介-客户",70,45.375,76.875,83,82.625,32.625,71.25,40.625,27.75,24.875,83.625,45,32,54.125,9.125,82.75,13.625,32.125,51.375,65.625,17.75,16.375,84.375,72.625,9.125,62.5,62.5,73.25,86.75,28.375,74.25,83,54.125
"忠臣-反贼",9.5,39,56.625,29.25,10.375,79.625,59.5,28.5,23.5,44.75,13.5,69.125,38.25,9.875,16.375,16.875,5.75,32.25,22.25,34.375,7.125,7.875,82.25,39.125,5.5,17.125,33.625,79,17.625,88,18.5,59,56
"主人-客人",70.25,51.75,47.5,60,35,27.375,74.125,46.875,49.625,23.75,68.125,35.625,21.75,68,62.375,59.25,51.25,28.25,33.5,71.625,35,43.625,54,40.5,8.375,61.375,60.875,67.875,37.625,16.875,68.625,36.75,76.875
"主人-仆人",68.25,3.5,76.75,89.125,85.625,86.75,33.375,81.75,15.875,39.75,92,42,66.375,68.25,31.75,44.75,9.25,58.875,56.25,55.375,45.75,43.75,77.25,43.125,29.5,69.875,85.5,45,73.5,37.375,22,78.75,56.875
"保姆-雇主",81,27,52.125,72.25,78.125,42.375,67.75,78.5,28.5,42.75,84.625,29.125,54.875,58.625,33.5,78.75,24.25,41.25,47.375,56.25,43.375,36.625,58.625,56,27.375,59.25,89.375,51.625,72.375,26.75,33.75,80.25,61
"保姆-小孩",90.5555555555556,28.8888888888889,17.3333333333333,64.3333333333333,22.3333333333333,14.6666666666667,55.8888888888889,78.7777777777778,56.1111111111111,67.7777777777778,80.3333333333333,34.3333333333333,69.7777777777778,76.2222222222222,81.2222222222222,26.5555555555556,76.1111111111111,81.1111111111111,58.7777777777778,61.7777777777778,78.8888888888889,70.7777777777778,14.5555555555556,50,31.2222222222222,61.2222222222222,93.2222222222222,62.3333333333333,31.1111111111111,7.55555555555556,33.4444444444444,58.3333333333333,78.2222222222222
"主职-副职",59.5,10.875,81.875,45.125,25.125,44.375,55.875,67.375,34.125,34.5,67.25,58.25,54.25,53.875,9.75,66.625,14.125,52.75,45.875,71.5,27.375,20.75,76.375,72.625,5.25,68.25,82.375,81,66.125,36.125,41.5,86.75,65.125
"宗教领袖 - 信徒",85.875,5.875,79.875,29,51.25,60.125,69.625,61.625,33.5,19.25,69,77.875,74.75,87.375,60.5,31.25,40.5,71.375,66,75,50.5,47.25,52,72.125,7.875,89.25,60.375,79.25,27.375,14.375,36.375,55.75,78.75
"祖先-后代",96.4444444444444,4,34,13.8888888888889,7.88888888888889,11.6666666666667,81.2222222222222,46.2222222222222,79,67.2222222222222,59.1111111111111,83.4444444444444,96.6666666666667,85.6666666666667,77.8888888888889,13.5555555555556,88.2222222222222,98.3333333333333,85.5555555555556,11.5555555555556,69.7777777777778,45.1111111111111,13.6666666666667,51.1111111111111,74.2222222222222,76.1111111111111,44.1111111111111,89.6666666666667,5.88888888888889,6.22222222222222,14.2222222222222,14.3333333333333,85.8888888888889
"居委会-居民",71.875,8.125,79,68.625,38.5,49.875,31.875,36.5,28.75,29.375,70.25,81.5,59.625,67.5,19.625,44.125,25.375,51.75,48.25,67.375,24.5,20.125,66.5,61.5,6.5,71.5,62.375,93.75,44.5,35.625,52.875,84.5,74
"远房表兄弟姐妹之间",65.2,70.6,34.6,23.7,16.4,10.3,44.3,29.3,40.4,59.8,20.2,19.7,71.9,49.4,68.7,42,46.2,8.7,32.5,23.8,45.8,49.4,25.6,44.6,28.4,43.3,24.8,67.3,21.5,21.7,52,5.8,58.4
"君臣之间",59,1,77.7777777777778,37.1111111111111,22.4444444444444,72.8888888888889,61,78.3333333333333,35.1111111111111,59.2222222222222,88.8888888888889,99.1111111111111,87.3333333333333,70.4444444444444,31.1111111111111,41.8888888888889,35.5555555555556,61.4444444444444,74.6666666666667,78.8888888888889,50.8888888888889,27.4444444444444,69,84.7777777777778,1.44444444444444,75.2222222222222,61.6666666666667,96.3333333333333,31,32.2222222222222,48.2222222222222,86.6666666666667,88
"债主-欠债人",13,30.1111111111111,63,88,77.6666666666667,63,39.4444444444444,15.5555555555556,2.55555555555556,24,44.1111111111111,30.7777777777778,14.8888888888889,19.6666666666667,2.88888888888889,33.3333333333333,1.55555555555556,22.8888888888889,18.5555555555556,42.7777777777778,6.88888888888889,3.11111111111111,79.4444444444444,20.7777777777778,1.66666666666667,9.44444444444444,54.2222222222222,77.1111111111111,98.7777777777778,87.7777777777778,59,32.1111111111111,17.1111111111111
"亲家之间",75.3,78.6,32.7,43.2,44.1,19,79.1,61.9,53.3,74.5,16.1,38.3,82.9,73,75.8,50.8,62.3,6.8,65,50,64.1,56.7,38.8,68,45.1,64.4,63.5,74.8,38.8,35.2,69.2,8.2,71.2
"律师-法官",60.1,35.6,95.1,73.7,66.5,29.9,66.1,28.3,17.1,42.8,69.4,68,18.7,51.4,7.8,62.6,7.1,48.4,35.2,64.6,18.8,11.6,83.2,62.2,2.6,52.1,63.7,88.2,47.8,56.3,52.3,93.5,57.9
"律师-委托人",71.9,43.5,91.6,72.6,75.8,24.6,66.9,32.3,19.6,46.6,83,62.1,23.7,56.7,6.9,61.3,9.3,38.1,43.6,59.8,22.6,14.1,78.5,71.5,3,78.6,72.9,82.6,82.1,27.5,62.7,85.4,55.7
"警察-老百姓",54.5,10.625,60.875,52.5,37.625,48.5,58.125,39.5,20.125,17.625,57.25,66.375,45.625,38.875,15.25,45.375,20.875,33.375,49.875,41.875,33.75,18.875,68.625,43.5,8.375,41.125,70.625,84,40.875,52,22.5,75.125,53.375
"嫌疑人-警察",5.66666666666667,44.3333333333333,79.7777777777778,82.8888888888889,32.1111111111111,73.5555555555556,15.7777777777778,14.2222222222222,6,10.4444444444444,1.88888888888889,84.1111111111111,8.88888888888889,0.666666666666667,4.33333333333333,4.33333333333333,1.77777777777778,8.33333333333333,24.3333333333333,82.3333333333333,3.55555555555556,1.88888888888889,92.5555555555556,2.55555555555556,1,1.88888888888889,65.7777777777778,87,8.77777777777778,92,2.88888888888889,98.5555555555556,38.5555555555556
"罪犯 - 人质",2.66666666666667,27.1111111111111,52.1111111111111,65.8888888888889,28.4444444444444,97.3333333333333,5.44444444444444,7.11111111111111,17.6666666666667,46,3.44444444444444,26.1111111111111,2.44444444444444,3.88888888888889,22.7777777777778,3.44444444444444,1.55555555555556,18.1111111111111,15.2222222222222,81.6666666666667,11.3333333333333,2,61.7777777777778,3.22222222222222,2,1.88888888888889,72.6666666666667,70.3333333333333,41,90.5555555555556,2.77777777777778,29,7
"罪犯-被害人亲属",1.88888888888889,42.2222222222222,53.5555555555556,30.2222222222222,21.3333333333333,72,26.7777777777778,10.7777777777778,27.8888888888889,41.6666666666667,2.77777777777778,45.8888888888889,36.1111111111111,3.44444444444444,34,2.88888888888889,2,17.2222222222222,12.1111111111111,32,2.77777777777778,2.33333333333333,59,4.66666666666667,1.88888888888889,2.33333333333333,54.3333333333333,69.6666666666667,31.3333333333333,94.1111111111111,4.22222222222222,9.11111111111111,18.7777777777778
"罪犯-旁观者",29.375,31.875,33.375,24.875,25,47.125,22.125,16.75,34.875,26.25,17.625,41.875,13,16,37,21.375,9.375,29.125,20.625,33.875,9.75,9,36.5,24,6.375,17.5,64.875,64.5,22.625,46.5,5.375,22.625,23.375
"小偷-失主",4.55555555555556,65.8888888888889,27.6666666666667,66.5555555555556,68.6666666666667,71.4444444444444,15.4444444444444,3.88888888888889,8.22222222222222,3.77777777777778,2.77777777777778,45.2222222222222,2.88888888888889,0.888888888888889,2.22222222222222,3.11111111111111,1.33333333333333,10.7777777777778,19.8888888888889,81.2222222222222,3.44444444444444,2.44444444444444,92.3333333333333,2.77777777777778,2,3,72.5555555555556,26.4444444444444,90.7777777777778,85.6666666666667,2.55555555555556,35,7.33333333333333
"罪犯-受害人",0.666666666666667,47.7777777777778,40.7777777777778,69.6666666666667,46,91,13.7777777777778,11.6666666666667,3.77777777777778,15.1111111111111,11.5555555555556,51.1111111111111,9.55555555555556,1,8.88888888888889,1.66666666666667,1,6.66666666666667,22.5555555555556,80.8888888888889,2.66666666666667,2,85,2.33333333333333,8,2,70.5555555555556,22.3333333333333,46.1111111111111,98.5555555555556,3.11111111111111,25.4444444444444,3.44444444444444
"法官-检察官",59.3333333333333,43.2222222222222,91.5555555555556,24.7777777777778,5.77777777777778,31,48.2222222222222,34.7777777777778,53.1111111111111,27.2222222222222,6.55555555555556,95.3333333333333,43.3333333333333,61.6666666666667,15.4444444444444,47.8888888888889,8.66666666666667,13.8888888888889,31.3333333333333,65.8888888888889,7.77777777777778,12,83.2222222222222,64.4444444444444,2.22222222222222,48.6666666666667,63.2222222222222,91.1111111111111,13,52,43.2222222222222,99.4444444444444,86.6666666666667
"犯罪同伙之间",69.5555555555556,83.3333333333333,13.6666666666667,79.6666666666667,83.4444444444444,45.7777777777778,88.5555555555556,52.8888888888889,45.8888888888889,38.5555555555556,42.6666666666667,27,24.2222222222222,48,13.3333333333333,63.8888888888889,14.8888888888889,9,50.3333333333333,90.3333333333333,19.1111111111111,22.6666666666667,91.4444444444444,66.4444444444444,8,94,61.8888888888889,18.4444444444444,81.4444444444444,46.2222222222222,86.1111111111111,42.1111111111111,2.55555555555556
"赌徒之间",22.4,65.9,29.3,86,72.8,38.4,42.9,17.3,5.2,19.4,23,13.1,10.1,6.4,20,60.2,4.3,14.8,13.6,60.4,17.2,14,73.3,34.3,3,32.9,55.2,39.6,83.5,84.3,43.7,29.4,6.6
"作家-读者",88.4444444444444,72.2222222222222,22,15.1111111111111,43,7.11111111111111,65.8888888888889,33.5555555555556,38.8888888888889,24.4444444444444,63.8888888888889,42.6666666666667,40,54.1111111111111,45.5555555555556,28.4444444444444,27.4444444444444,29.1111111111111,27.6666666666667,41,31.1111111111111,13.8888888888889,32.2222222222222,57.1111111111111,2.11111111111111,39.8888888888889,32.3333333333333,77.4444444444444,47.5555555555556,13.4444444444444,45.5555555555556,74.1111111111111,76.5555555555556
"作家-评论家",66.25,56,45.125,13.625,30.875,19.125,77.25,40.625,46.5,29.125,62.375,49,44.375,49.5,36.5,54,23.25,32.875,50,48.875,39.75,34.625,44.75,68.875,6.375,46.75,33.625,74.75,33,42.75,50,56.375,58.875
