,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
暧昧对象之间,74.5,68.375,7.875,21.5,28.875,16.625,77.125,58.75,66.5,63.5,52.0,13.75,32.375,60.0,84.375,54.0,80.625,10.875,55.25,74.75,78.125,80.625,25.875,65.5,65.625,63.125,6.0,64.625,11.75,20.25,16.75,53.125,4.875,32.0,7.625
暗恋对象-暗恋者,74.625,39.375,26.75,19.875,16.125,13.375,28.5,48.125,66.125,58.0,37.125,12.375,41.5,56.375,80.875,14.25,67.0,10.875,49.75,37.125,53.5,28.25,27.875,35.375,43.25,37.25,18.5,66.5,19.5,8.25,12.375,26.25,7.0,58.875,12.5
报案人-受害者,65.55555555555556,62.55555555555556,53.888888888888886,47.44444444444444,23.666666666666668,22.88888888888889,44.44444444444444,21.33333333333333,50.0,48.0,21.22222222222222,49.888888888888886,17.555555555555557,42.77777777777778,12.0,20.33333333333333,26.33333333333333,18.88888888888889,18.11111111111111,34.77777777777778,14.77777777777778,11.555555555555555,33.44444444444444,28.88888888888889,11.11111111111111,42.333333333333336,22.0,65.66666666666667,86.66666666666667,12.444444444444445,23.11111111111111,41.888888888888886,16.11111111111111,61.11111111111112,18.666666666666668
报案人-罪犯,10.5,57.0,57.125,70.0,22.25,71.375,14.5,14.0,9.5,63.5,21.75,75.25,8.75,5.375,10.125,10.25,15.125,17.5,14.0,85.5,6.625,7.5,59.0,12.25,5.0,5.125,34.875,44.375,59.75,25.375,93.125,33.375,17.125,32.0,11.125
文选(诗集)的编者-作者,88.77777777777777,74.0,44.22222222222222,21.444444444444443,21.11111111111111,2.888888888888889,58.333333333333336,41.55555555555556,52.11111111111112,63.66666666666666,38.11111111111112,58.44444444444444,53.77777777777778,76.88888888888889,46.55555555555556,35.111111111111114,40.44444444444444,53.0,49.55555555555556,48.77777777777778,32.666666666666664,28.33333333333333,49.0,61.333333333333336,1.1111111111111112,59.333333333333336,41.22222222222222,27.77777777777778,90.55555555555556,22.0,10.666666666666666,36.333333333333336,55.22222222222222,82.11111111111111,2.888888888888889
表兄弟姐妹之间,73.66666666666667,83.88888888888889,33.44444444444444,39.44444444444444,12.88888888888889,4.777777777777778,31.33333333333333,75.77777777777777,80.55555555555556,66.11111111111111,10.88888888888889,25.11111111111111,90.0,70.0,82.44444444444444,50.333333333333336,63.22222222222222,14.555555555555555,54.888888888888886,38.333333333333336,64.11111111111111,68.11111111111111,14.333333333333334,71.55555555555556,43.333333333333336,74.0,4.444444444444445,60.888888888888886,66.77777777777777,6.222222222222222,22.22222222222222,54.888888888888886,7.555555555555555,73.88888888888889,11.77777777777778
厨子-食客,81.55555555555556,45.0,60.22222222222222,92.77777777777776,74.22222222222223,17.0,57.77777777777778,19.77777777777778,19.77777777777778,3.111111111111111,94.44444444444444,47.0,5.777777777777778,43.22222222222222,8.333333333333334,55.55555555555556,7.222222222222222,23.11111111111111,26.55555555555556,76.44444444444444,19.444444444444443,6.555555555555555,59.44444444444444,37.888888888888886,1.6666666666666667,33.888888888888886,19.77777777777778,81.0,81.11111111111111,87.33333333333333,18.22222222222222,52.77777777777778,93.11111111111111,69.55555555555556,10.88888888888889
敌人之间,1.8888888888888888,74.66666666666667,41.333333333333336,59.888888888888886,54.11111111111112,82.0,36.22222222222222,40.11111111111112,12.555555555555555,24.666666666666668,1.5555555555555556,57.55555555555556,46.11111111111112,2.2222222222222223,29.77777777777778,14.11111111111111,1.7777777777777777,16.0,27.444444444444443,69.11111111111111,8.444444444444445,3.0,96.55555555555556,1.4444444444444444,1.2222222222222223,1.2222222222222223,18.22222222222222,32.333333333333336,73.33333333333333,32.55555555555556,99.55555555555556,19.55555555555556,22.77777777777778,24.11111111111111,11.666666666666666
施恩者-受恩者,95.88888888888889,27.22222222222222,22.666666666666668,51.333333333333336,47.333333333333336,5.444444444444445,73.11111111111111,24.55555555555556,52.888888888888886,56.888888888888886,50.11111111111112,53.333333333333336,41.888888888888886,82.55555555555556,64.88888888888889,52.11111111111112,66.55555555555556,21.55555555555556,59.44444444444444,73.77777777777777,52.22222222222222,45.11111111111112,36.888888888888886,61.11111111111112,8.0,63.66666666666666,24.55555555555556,55.66666666666666,65.33333333333333,54.888888888888886,25.11111111111111,41.22222222222222,3.4444444444444446,96.88888888888889,13.11111111111111
青梅竹马之间,89.625,85.875,28.625,21.25,12.5,11.625,80.625,79.5,85.0,74.125,55.625,19.375,70.75,71.75,78.625,39.375,77.75,6.75,73.625,69.25,71.625,69.5,20.75,66.875,52.625,54.0,10.625,84.125,41.125,9.0,13.125,67.75,11.25,69.875,6.875
情敌之间,12.625,62.875,18.875,17.125,15.25,50.625,49.125,29.375,22.125,57.875,7.25,12.75,38.0,13.875,49.875,8.875,9.375,15.0,14.875,31.125,6.5,7.0,41.875,29.75,11.25,18.625,20.75,48.375,20.375,10.5,66.625,25.5,7.5,31.125,20.625
人神之间,66.2,10.7,75.0,24.0,43.7,31.3,22.5,37.1,37.4,33.7,33.6,76.8,86.2,66.4,64.1,41.2,38.2,89.8,59.0,7.4,51.0,21.3,29.5,28.1,10.5,35.2,29.9,12.0,72.2,26.2,26.5,18.8,12.2,84.6,19.7
泛泛之交之间,63.625,70.625,30.0,46.0,16.5,14.375,45.75,31.375,36.375,18.875,24.0,11.25,33.125,34.875,32.125,43.25,27.625,24.375,19.75,28.375,16.75,17.5,41.25,26.25,7.5,34.5,33.0,31.25,61.5,28.125,24.625,58.75,15.5,44.75,25.25
店主-顾客,88.22222222222223,64.55555555555556,45.55555555555556,82.22222222222223,76.22222222222223,14.0,65.44444444444444,27.666666666666668,4.777777777777778,4.222222222222222,96.0,49.55555555555556,14.22222222222222,48.888888888888886,10.22222222222222,61.44444444444444,1.8888888888888888,10.22222222222222,26.77777777777778,79.33333333333333,10.555555555555555,17.555555555555557,74.66666666666667,49.0,2.333333333333333,33.111111111111114,11.11111111111111,81.66666666666667,97.0,95.0,10.22222222222222,67.88888888888889,92.66666666666669,60.66666666666666,10.666666666666666
官场的上下级之间,61.0,6.777777777777778,82.66666666666667,62.22222222222222,35.0,38.333333333333336,62.55555555555556,57.11111111111112,13.11111111111111,31.444444444444443,75.22222222222223,82.77777777777777,50.55555555555556,51.55555555555556,16.77777777777778,62.66666666666666,16.444444444444443,63.22222222222222,41.66666666666666,34.55555555555556,17.555555555555557,8.777777777777779,76.33333333333333,62.66666666666666,3.111111111111111,55.44444444444444,72.22222222222223,56.55555555555556,86.33333333333333,40.44444444444444,41.44444444444444,17.88888888888889,96.11111111111111,64.22222222222223,8.333333333333334
生意合伙人之间,56.7,84.6,60.3,80.1,79.6,27.4,84.6,55.4,30.6,47.8,53.9,56.6,34.8,59.2,29.4,85.0,20.0,14.6,65.9,72.0,51.5,44.2,84.9,70.5,8.3,81.1,60.1,69.5,58.1,78.2,35.3,87.5,73.1,71.4,12.0
生意竞争对手之间,9.2,71.5,56.4,81.0,56.8,67.9,41.7,39.8,8.8,20.4,32.0,56.1,26.8,10.2,13.3,48.2,6.3,24.1,41.9,57.1,9.4,7.0,92.3,20.6,3.1,10.6,61.0,46.2,38.6,82.0,94.3,63.7,77.6,38.7,10.2
师傅-学徒,75.2,12.8,71.4,59.2,32.6,46.7,74.3,72.9,30.4,64.1,54.0,59.4,67.2,73.7,36.4,46.4,41.4,79.7,70.1,57.1,62.9,55.2,44.4,78.1,7.5,67.5,67.8,86.0,76.6,47.7,21.4,53.5,83.5,76.1,12.1
掌柜-客人,87.44444444444444,50.66666666666666,48.0,78.33333333333333,89.33333333333333,13.333333333333334,70.44444444444444,17.11111111111111,6.111111111111111,3.6666666666666665,83.33333333333333,48.888888888888886,12.88888888888889,42.11111111111112,9.22222222222222,72.33333333333333,3.111111111111111,11.11111111111111,29.22222222222222,85.44444444444444,12.11111111111111,10.333333333333334,77.77777777777777,44.0,2.7777777777777777,37.11111111111112,24.666666666666668,79.66666666666667,96.11111111111111,95.44444444444444,14.22222222222222,61.22222222222222,91.77777777777776,61.333333333333336,5.777777777777778
首领-反贼,11.0,40.875,62.875,45.375,15.5,73.125,47.0,35.25,14.125,33.75,16.0,72.75,41.25,11.625,19.5,9.375,7.25,31.0,19.25,42.875,15.25,14.0,81.375,35.5,5.25,17.375,62.875,31.875,75.875,21.25,75.625,26.375,73.625,49.0,12.375
叔侄,89.25,13.625,48.625,22.375,13.25,19.25,56.625,79.25,54.0,72.625,41.125,37.5,90.375,80.25,82.625,44.5,82.625,82.0,77.25,49.25,72.625,82.75,14.5,70.125,22.75,83.0,83.5,72.375,64.5,5.0,6.25,37.375,4.25,88.5,17.375
双胞胎之间,80.11111111111111,90.22222222222224,15.444444444444445,51.11111111111112,16.88888888888889,3.888888888888889,14.0,96.66666666666669,87.88888888888889,99.33333333333331,9.88888888888889,13.22222222222222,97.33333333333331,82.0,86.66666666666667,39.44444444444444,79.88888888888889,1.6666666666666667,82.22222222222223,76.33333333333333,79.66666666666667,92.11111111111111,10.555555555555555,75.22222222222223,43.55555555555556,84.66666666666667,13.555555555555555,93.77777777777776,61.0,3.888888888888889,16.22222222222222,44.888888888888886,2.888888888888889,74.44444444444444,26.0
政治谈判中对立的双方,13.11111111111111,67.66666666666667,94.55555555555556,56.11111111111112,57.55555555555556,42.22222222222222,61.11111111111112,21.11111111111111,2.2222222222222223,45.77777777777778,34.77777777777778,69.11111111111111,10.88888888888889,18.444444444444443,3.333333333333333,45.55555555555556,1.5555555555555556,21.0,16.444444444444443,83.22222222222223,4.222222222222222,2.4444444444444446,93.44444444444444,44.55555555555556,1.8888888888888888,11.333333333333334,71.0,65.0,76.55555555555556,36.44444444444444,85.44444444444444,94.77777777777776,75.55555555555556,54.0,7.888888888888889
堂兄弟姐妹之间,71.7,71.7,30.2,22.8,13.7,12.8,50.9,56.8,65.8,66.0,15.2,33.8,86.0,66.0,80.3,42.3,68.8,7.2,53.9,42.1,66.4,56.5,19.1,63.1,28.4,61.0,18.2,64.8,73.8,24.2,24.2,52.3,6.2,66.2,25.4
同父异母(或同母异父)的子女之间,31.88888888888889,54.0,47.11111111111112,45.333333333333336,23.77777777777778,19.77777777777778,24.77777777777778,71.44444444444444,64.88888888888889,77.0,6.777777777777778,26.33333333333333,80.33333333333333,55.11111111111112,72.11111111111111,43.22222222222222,55.11111111111112,17.666666666666668,46.888888888888886,44.66666666666666,60.66666666666666,59.55555555555556,38.888888888888886,62.0,31.88888888888889,64.66666666666667,4.777777777777778,66.55555555555556,66.44444444444444,15.555555555555555,42.11111111111112,48.0,9.77777777777778,56.66666666666666,14.666666666666666
继子女之间,63.75,71.625,44.25,45.75,32.75,23.125,34.375,42.25,59.375,70.875,30.875,24.25,80.375,50.75,53.625,51.125,58.0,4.875,42.5,48.5,47.5,52.625,54.25,55.125,15.0,57.75,6.625,76.0,59.625,19.25,52.0,60.5,10.25,65.125,10.75
同僚之间,53.55555555555556,73.55555555555556,57.22222222222222,41.888888888888886,45.0,16.0,54.77777777777778,76.88888888888889,49.333333333333336,36.0,22.11111111111111,77.88888888888889,70.77777777777777,66.66666666666667,26.0,88.44444444444444,33.111111111111114,10.22222222222222,53.0,69.77777777777777,35.55555555555556,24.55555555555556,81.22222222222223,64.66666666666667,1.2222222222222223,67.11111111111111,81.0,72.88888888888889,84.44444444444444,33.333333333333336,43.0,76.55555555555556,84.66666666666667,74.88888888888889,3.333333333333333
同窗之间,69.5,82.1,28.8,20.3,14.4,11.5,64.2,67.5,55.0,43.0,15.3,46.0,65.1,63.4,68.6,47.5,64.0,8.9,55.1,81.0,61.0,57.7,24.1,69.1,6.7,65.8,70.9,81.2,85.0,14.3,23.0,55.9,19.2,71.4,6.1
搭讪的人-被搭讪的人,63.75,71.625,31.125,36.375,35.0,19.5,42.5,18.5,31.75,31.125,20.125,8.25,9.0,19.5,56.0,34.5,29.25,15.375,13.125,50.125,12.125,16.5,63.875,23.875,27.125,23.5,21.25,56.375,60.5,25.0,20.25,66.75,9.625,39.125,12.625
