"","dyadic_chn_sim","triadic_chn_sim","group_chn_sim","nondyadic_chn_sim"
"dyadic_chn_sim",1,0.877020184809756,0.843133450487558,0.890259546933376
"triadic_chn_sim",0.877020184809756,1,0.856556321257361,0.960038811548767
"group_chn_sim",0.843133450487558,0.856556321257361,1,0.959614564994018
"nondyadic_chn_sim",0.890259546933376,0.960038811548767,0.959614564994018,1
