"","rsa","sub","p_value","FDR","Bonferroni"
"1",0.404951659672218,"sub-203",0.001,0.00103448275862069,0.06
"2",0.505088016016396,"sub-301",0.001,0.00103448275862069,0.06
"3",0.431385087258117,"sub-320",0.001,0.00103448275862069,0.06
"4",0.0964727735682302,"sub-502",0.001,0.00103448275862069,0.06
"5",0.20626985685404,"sub-651",0.001,0.00103448275862069,0.06
"6",0.30676721551766,"sub-653",0.001,0.00103448275862069,0.06
"7",0.257800241719799,"sub-690",0.001,0.00103448275862069,0.06
"8",0.0426530689643615,"sub-691",0.007,0.00711864406779661,0.42
"9",-0.00361142733099566,"sub-692",0.579,0.579,1
"10",0.48132645835606,"sub-693",0.001,0.00103448275862069,0.06
"11",0.440454290304948,"sub-694",0.001,0.00103448275862069,0.06
"12",0.442997373199674,"sub-695",0.001,0.00103448275862069,0.06
"13",0.416644054444878,"sub-696",0.001,0.00103448275862069,0.06
"14",0.551192541000132,"sub-697",0.001,0.00103448275862069,0.06
"15",0.0598080538187608,"sub-698",0.001,0.00103448275862069,0.06
"16",0.328736459879868,"sub-699",0.001,0.00103448275862069,0.06
"17",0.605577757799203,"sub-700",0.001,0.00103448275862069,0.06
"18",0.23129329817841,"sub-701",0.001,0.00103448275862069,0.06
"19",0.442336317267209,"sub-703",0.001,0.00103448275862069,0.06
"20",0.0763688800211376,"sub-704",0.001,0.00103448275862069,0.06
"21",0.35823127595648,"sub-705",0.001,0.00103448275862069,0.06
"22",0.37555815626339,"sub-706",0.001,0.00103448275862069,0.06
"23",0.432717155813689,"sub-715",0.001,0.00103448275862069,0.06
"24",0.421331526163428,"sub-716",0.001,0.00103448275862069,0.06
"25",0.372092332717791,"sub-719",0.001,0.00103448275862069,0.06
"26",0.298144449325501,"sub-720",0.001,0.00103448275862069,0.06
"27",0.472322896435412,"sub-721",0.001,0.00103448275862069,0.06
"28",0.198741399272661,"sub-722",0.001,0.00103448275862069,0.06
"29",0.381990527096954,"sub-723",0.001,0.00103448275862069,0.06
"30",0.201720727236933,"sub-724",0.001,0.00103448275862069,0.06
"31",0.263483834236456,"sub-726",0.001,0.00103448275862069,0.06
"32",0.329144780972023,"sub-727",0.001,0.00103448275862069,0.06
"33",0.18752780167098,"sub-729",0.001,0.00103448275862069,0.06
"34",0.459595266712319,"sub-730",0.001,0.00103448275862069,0.06
"35",0.525998988681625,"sub-738",0.001,0.00103448275862069,0.06
"36",0.466724827476779,"sub-739",0.001,0.00103448275862069,0.06
"37",0.531306643288555,"sub-740",0.001,0.00103448275862069,0.06
"38",0.197816682446696,"sub-743",0.001,0.00103448275862069,0.06
"39",0.432517666504226,"sub-744",0.001,0.00103448275862069,0.06
"40",0.297909297799018,"sub-745",0.001,0.00103448275862069,0.06
"41",0.429863875493968,"sub-746",0.001,0.00103448275862069,0.06
"42",0.402862253206525,"sub-747",0.001,0.00103448275862069,0.06
"43",0.159011869189802,"sub-748",0.001,0.00103448275862069,0.06
"44",0.402945498396755,"sub-749",0.001,0.00103448275862069,0.06
"45",0.390449009461744,"sub-751",0.001,0.00103448275862069,0.06
"46",0.530903469461955,"sub-752",0.001,0.00103448275862069,0.06
"47",0.265956874263911,"sub-753",0.001,0.00103448275862069,0.06
"48",0.566426528828603,"sub-754",0.001,0.00103448275862069,0.06
"49",0.216556680209112,"sub-755",0.001,0.00103448275862069,0.06
"50",0.199908823787458,"sub-757",0.001,0.00103448275862069,0.06
"51",0.448194576510617,"sub-758",0.001,0.00103448275862069,0.06
"52",0.46766234307146,"sub-759",0.001,0.00103448275862069,0.06
"53",0.241587978685739,"sub-760",0.001,0.00103448275862069,0.06
"54",0.524825000739627,"sub-761",0.001,0.00103448275862069,0.06
"55",0.44037791114879,"sub-762",0.001,0.00103448275862069,0.06
"56",0.563707748153403,"sub-763",0.001,0.00103448275862069,0.06
"57",0.3590563067215,"sub-764",0.001,0.00103448275862069,0.06
"58",0.445580957429849,"sub-765",0.001,0.00103448275862069,0.06
"59",0.424568905078152,"sub-766",0.001,0.00103448275862069,0.06
"60",0.512796342021103,"sub-767",0.001,0.00103448275862069,0.06
