,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,cl_k3
Between a person and their deceased spouse,-0.093865970681396,0.9672641782540996,0.1923765643694608,1.1826612538431849,-1.416618889511333,1.3907348076745416,-2.0191888458197376,1.0142333709856548,-1.0790859556011745,-1.7541402022897938,-1.6195639053590851,1.325326469579185,1.717709819957804,-2.7388106897952147,-1.2007031993517363,-1.7589428461594283,-1.8904748673956844,1.1654127266191407,1.0319283524152718,-1.3046395410389304,-2.603055575018081,-1.518340053844036,-0.7146695169313786,1.3464435944069628,0.6284637176049443,-1.0543660371136552,-2.399363978467321,1.2780136720691722,-2.7015520118044942,-2.506991247879459,1
Manager and Staff,0.2679068628275277,-1.102500203033456,0.1320365079125828,-1.0901315554518207,1.0567772040593315,-0.7978822305226089,0.96671721574349,-0.963525635696127,0.2281496677419611,1.2391716834721729,1.345333120471217,-0.4600471082964081,-0.9467770361672988,1.0529464273759408,0.953425865042276,-0.8533305242453656,0.9470151421233493,-0.6131096107340505,-0.7353577131865722,0.3488806335741765,0.2376689150881504,0.2297418897634734,0.4824671926133914,0.1328807479838928,0.5762963209102092,1.291048724008024,0.4856092689441456,-0.5524966510102034,0.4186354051657668,0.3806414306191699,0
Foreman and Laborer,0.2026775681765784,-1.0321328784180537,-0.0421744536981613,-1.127400151752077,1.1375557757513792,-0.9098724549865024,0.8231443103247349,-1.3227409458036377,-0.1669654556283011,1.4559224370902015,1.7073840134130835,-0.1202403923688144,-0.9908383714086878,0.793237035788875,1.4996111700756125,0.8879775451857469,1.4665423922768694,-0.6629885257928743,-0.8763841916481936,0.5258498679801699,-0.6956939674757017,0.3957410614152375,0.4895956625779925,-0.6834845654171849,0.0624577732292573,1.2797842508481525,-0.2307162330414382,-0.531178109442852,-0.0122302082778933,0.2134541535616324,0
Owner and Manager,-0.3123987990446542,-1.0337987171232346,-0.2745046224656345,-1.0349491568599063,1.2030013778166957,-0.7407205534524965,0.6748692355145353,-1.0818191247539506,-0.6308947971945872,1.1733867185664724,1.2881429157262594,-0.0532611825245749,-0.7697157445491248,0.8264848564509871,1.895190806647024,-0.0299036019318407,1.0547154928496192,-0.4488381367785428,-0.7395713894804768,0.0245962887344142,0.1954462473013194,0.7493667253682526,0.3372801375989239,-0.2955689826224267,0.4871374974682972,1.1496136820035323,0.3534992232525731,-0.1184128643480418,0.1673316175633365,0.0826260513204918,0
Union leader and union member,0.2972894279856131,-0.8379994822791036,-1.029509578882324,-1.086360328445247,1.079301998088845,-0.721061775624151,0.8137399715418469,-0.7721363547780649,0.04674222114613,0.9059965546267192,0.839845504338369,-0.7971619305145146,-0.9849412735102192,0.3718197025170432,1.3848603406667734,-0.7773581835619974,0.6816629205375847,-0.9622083107191056,-0.8550756925957457,-0.4667799895704239,0.904749027680633,-0.3760574401939053,1.0053001813587887,-0.3668380736134716,0.5593023962293483,1.2247899323358318,-0.3587143790057843,0.0309541201886749,0.1635955360397516,-0.2573832473611544,0
Manager and Assistant,-0.1930321280899334,-1.0237048834241176,-0.1004612721228261,-0.9891787094296974,0.96926708472628,-0.4688461370022458,0.9309325009901428,-0.74370137589881,0.0023652125980376,1.0034873458967788,0.7667896298899722,0.5328002030112933,-0.9172668208976033,0.9432913509280688,1.270825585076398,-0.2807853480808518,0.9755406720796956,-0.5543309392486568,-0.583270334453451,-0.132896108158162,-0.4257032765807884,0.4780766505545124,0.528097409903653,0.0299158225864438,0.6047512645618828,1.2468015384331292,0.5266264865201881,0.2165402059536144,0.3100855134930848,0.4912997887560283,0
Chief and Deputy,0.7023490762363587,-0.9637760487916628,0.8736020881184217,-0.9973013522130868,1.1347817863388774,-0.9600700934772626,1.0376384692848428,-0.1657857182026484,-0.0172975359146752,0.2612403834691989,0.2298289526942545,0.3130562193739836,-0.5242649048101791,1.217429042047749,0.1860868143907225,-0.8781041135986378,0.6479575628909562,0.1116213017897761,-0.7446721555204666,-0.2761091943991449,-0.8824974238844916,-0.1938879962918283,1.5324719388237882,0.6943175744599209,1.10088874361671,1.1537483757718088,-0.043290807264317,0.3553371512938156,0.4880459127152145,0.4293367540339866,0
Supervisor and Subordinate,0.2742031267899744,-1.3715810228484902,-0.0535798766959782,-1.1794806260691024,1.1774814090813135,-0.846822403018983,0.677063581230542,-0.9100029190411192,0.0263974607802425,1.4330342899288466,0.5395492179105933,-0.6535467620018954,-1.1201665498486906,1.1778313755526837,0.6310461770888376,0.0522817976686971,0.796256452797002,-0.7214315383613172,-0.8404362657658195,0.0114719223266996,0.1083001825268779,0.5613959384887606,0.5910430977851854,0.3309847137773815,0.4133578935714569,1.261899663181685,0.6233850510585456,-0.0691310023561618,0.554437870910287,0.4587568452637714,0
Boss and Secretary,0.5612259184573782,-1.3436668096384197,-0.0262214526607027,-1.1698374885774925,1.306673475106651,-0.8504836995889831,0.8114250573799052,-1.0619544087397017,0.1631142504390072,0.8749814566616951,0.9755480683268688,1.1226169032781013,-0.7325899898549917,1.0255326582639728,1.6019585779860588,-0.1697629661643353,1.6734276475463372,-0.4303200925295583,-0.6938793371684483,-0.400458191323439,-0.6567098924234391,-0.1298913632588434,-0.1533282520945148,0.0342245600153325,0.7351697562987215,1.450506623958561,0.4463449239140867,0.544407730537351,0.4648023611885786,0.7030918734877952,0
Entrepreneur and Investor,0.7132047037578183,-0.4139239465241912,-0.5745455531974616,-0.9801277646139208,0.9121691359856212,-0.9296143214785348,-0.4502031608782904,-1.215698525311897,0.7500351560444065,1.5672384432410331,2.4590293398401126,-0.3061874368411545,-1.0960315884396648,0.8909559735324935,2.389297085826079,1.376072307865995,1.2387035920069966,-0.6038202502074491,-0.8127840150870702,-0.2470317746120761,1.905549879156733,-0.9340229696298268,0.3492984367400922,0.0742342647121588,-0.0984456187840813,0.9108539109481496,-0.7156502220241606,-0.1455587862543573,-0.2881500927548851,-1.4260903328577923,0
