,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,cl_k3
Parent and Child,0.8145673239429381,-1.0935935037954134,1.4101980386086177,1.2866214879514757,-1.3290189299313309,1.759184052245521,0.8749496607267607,1.7383634897285771,-0.9072904822419048,-1.7064010000935184,-0.5695909409054265,1.457801163016201,1.620330253972469,0.6486805231353121,-1.191819211434265,-1.3720054185024677,-1.5396007324423877,1.6625132344299385,2.091790647862333,-0.5783806547047344,-0.3337598264776191,-0.6793008687759662,0.6502213139654132,0.8165864983443374,1.1576742881406217,-1.0201532417071273,0.6552027735191719,1.474553535499166,-0.1289366456468531,1.4991732877622912,0
Parent and Teenager,0.6099669801340966,-1.2025177723907474,0.958999135591125,1.4433629403353931,-0.3540419705598694,0.7584881105309766,0.7878330593524692,1.1985177170686483,0.6994987864625326,-0.4514335497636891,-0.2602325253194447,0.1102530376466173,1.585023917135026,1.0406687971129491,-0.4966965285593155,-0.8900626551520964,-0.5508191383140848,1.4776109936498183,2.553585647404412,0.4242631941848386,1.546868698629562,0.3268501844079108,1.4734256168212694,1.6303974574931923,0.0382583912135737,-0.7524306896341886,0.5793347963588971,1.4298983511130283,-0.281724255538863,0.4815993504017127,0
Wife and Husband,1.1141606845201704,0.8956497044910907,1.595192958516462,1.1337029978208242,-1.3108086766744862,1.9286347111234423,-0.1519324808030231,1.7258144432588511,0.1359145496924506,-1.152897456368095,-0.0876194963330639,1.0155735416583551,1.493919722472134,1.1558153525938804,-1.255273310584758,-1.3074389238909347,-1.263982169619167,1.9028861474440948,2.186869628742772,-0.745071808972679,0.8441536576629388,-1.1537290389925303,0.7889636121995462,1.1667718201599055,0.950803508404559,-0.8280964411707927,1.347602279361024,1.579280575071417,1.0464619904526102,1.203511934657523,0
Fiance and Fiancee,0.7242243149883844,1.3357477594217335,1.5587392485164069,1.592076171987452,-0.8307864008240621,1.80564632967979,0.6377008370721925,1.4037222505358726,-0.0255670565534961,-1.8626933230462892,-0.9506846412649688,1.233934297027383,1.5416409672955536,0.3781386161846747,-1.2745445555119448,-0.3112701498844253,-1.4703515685330533,1.7114780870809705,2.7481966753584226,-0.9910495025271618,1.1176996249512563,-0.937546305759828,-0.7073187118331816,1.6583465207366888,0.6357862127437235,-1.372797294740108,1.540190221383261,1.080776000457771,1.537191244042339,1.0616421724822511,0
Between Siblings,0.5205761156366623,1.195796577953789,1.741926799609122,1.0801815262750964,-1.6455971788580146,1.454250954126497,0.3226994872571324,1.333183192156514,0.1080194545635922,-1.6770485394414127,-0.1884972405458837,0.660139611386141,1.277143429497665,-0.4566447452578798,-1.334238411749816,-1.505750300197786,-1.0231604503523786,1.4181341061988797,0.111018663899987,-0.4320092899033368,-0.9133791821644988,-1.0624417923963685,0.6199502670779659,1.616359692696685,1.1154835370102407,-1.417976921613264,0.0320015325597684,1.5679234664883626,0.5124159958765846,0.69357557941016,0
Between divorced spouses,-1.9371301571311688,0.9743172318099432,-0.2850832766124477,1.4617131591510713,-0.2125903264155486,-1.3006887902113204,-0.5173041122496944,-0.7322934557296219,-0.8915547875538308,0.0547466390328289,0.3838026416549514,1.7273107880901175,-0.1756777173073872,-1.4435568892203272,-0.0049925421380045,-0.5695361283305574,-1.2123036890898136,-1.3603582474147549,1.3299552694152774,1.6381325714149757,0.8592337558596027,0.4612831445694235,-0.807834111113295,-1.4620841872724557,-1.6751332877563974,-0.8276336536996208,0.0590972386884381,0.515039573561133,-1.614174341806393,-1.8007889114070534,2
Between a person and their in-laws,0.6075312617554197,-0.7008059897698149,0.8480246481175664,0.9272630361444448,-1.278030220812166,0.3789811049334201,0.0601983624112488,1.4520143751186645,-0.2871610597619005,-1.3835239329203548,1.7505971759894343,1.464049874081423,0.9946235066866757,0.5028156557994029,-1.0909976983395924,-0.3769009273741703,-0.7811575086734903,0.6063292227010698,0.6511635578131606,-0.2189098029130668,-0.2026857171519671,-0.6011611284187461,-0.567242353039105,0.956660627070565,0.7203009589737672,-1.250621402350729,0.5359816665530251,1.2905200483320536,0.0192044716366344,0.3141435095923746,0
Between cousins,0.7279886070281575,1.4311940250848163,0.8578477486834081,1.5857682842695624,-1.5948886274812626,0.6193355418118729,1.050334184198353,1.3441340110098132,0.2773825321316603,-1.6393096614601337,-0.0708065389642605,0.7449047354013242,1.0238146936797246,-0.3067908946851788,-1.0978914770127326,-0.6064312681085763,-1.2743178657250378,0.8029979697126521,0.5136832397922738,-1.110053112145105,-0.3815426957635588,-0.8494382170053232,0.4484143347157647,0.7278071209826441,0.4567634225875156,-0.9133650327342137,0.0739998770592064,1.3766556312680185,-1.155811512130363,-0.0967621881365636,0
Employer and Employee,0.4087766420554022,-1.5821023447684266,-0.3766770521588056,-1.244179523710805,1.045598094761209,-0.4962636843293204,0.9923076197587366,-1.4794014446786308,0.8844329356501489,0.9604797105835216,1.6015222873193788,-1.094715802199991,-0.8670357902811057,0.2772716335415008,1.7914635093670672,1.3602114504161793,1.124547982847061,-0.5809672870355207,-0.6330044497745312,0.8830082716329835,0.7222854222364136,0.5000007454267509,0.8611096072812954,0.0422330402451243,0.658190234435787,0.9793431668645852,-0.0005133147946352,-0.1709223497597214,-1.06181321513549,-0.3284430602603265,1
Interviewer and Job applicant,-0.8417211735572085,-1.0407817372037365,-1.4765988263285452,-0.6210366764284005,1.1937081545835446,-1.4254341485327395,0.2020410754858663,-0.6376682333601891,-0.7660268594739684,0.8472630766396855,0.2699360637101536,-0.6635004020817241,-1.2200991586555343,-0.5496836287391794,0.6662108177649892,0.5195293369027495,0.5402593454774514,-0.9306006150561116,-0.6450397638100298,0.2920123610466348,0.4989839681704324,0.2264796296927275,0.1276253239501781,0.5224487632470103,-1.4436762764232005,1.2870736958203342,-0.3964977057893372,-1.5328490907283487,-0.5553206732524626,0.0982667027658785,1
Guard and Prisoner,-1.3282559196978767,-1.067187620499575,-1.060107531235475,-1.6111839000243684,1.0321225073511433,-1.328800420255584,0.2766466583368014,-0.7193554226442571,-0.9566433428545004,0.173554217862781,-0.078812709139881,-1.5763555837837002,-1.4130148292182945,-1.5758529316877798,-0.9396659991974904,-0.7745091270973289,0.3676797222942967,-1.1818995695709116,-0.4181278045715154,1.3967717620858888,-2.064902494460896,2.652177062877316,1.2236894799998297,-0.8544386711079774,-2.260683881401549,1.2445303047204608,-1.4636814457428,-0.3903320219600077,-0.406974563648011,0.7787542073284386,2
Nurse and Patient,0.9049103328974916,0.4940602293668794,-0.1297720919903627,-0.9058473642967388,0.8452853089359177,-0.1727096346852499,0.1716462083984485,-0.2718516900445792,0.2275307934980146,-0.8318174786226112,0.8845143207605655,-1.673292110221577,0.0013616396970974,0.4317803448676858,0.1343714608110414,0.0442298948516938,1.7850481816127066,-0.0361220175367663,-0.4717312416988511,-0.0674154403436203,0.728422671502497,0.0316426705397247,0.791486199440167,0.4654147390025291,-0.790812551697948,1.2539843916315438,-1.0079316686585753,-1.3278975815823768,1.174377198734293,0.7680900660032313,1
Therapist and Patient,0.8108030319031648,-0.4037398026916312,-0.1098604016541981,-1.392255594987319,0.9366400794410884,-0.5299615998310978,0.2020410754858663,-1.0844616425747882,0.6980782029143032,0.4363286275102042,1.638510793530746,-0.3113991177109621,0.4941427209942524,0.9181724614949378,0.7455049401849017,0.5929682341751871,1.468332922368524,0.1146573551721136,-0.7064198653910723,-0.3608838767130779,-0.6124786181473498,-0.073824629286687,0.6918440034356531,0.6488921188833615,-0.0903553501354912,1.362276659885766,1.05080008299775,-1.047111194911966,-1.342354524207817,-0.157960909074916,1
Salesperson and Customer,-0.4483526554009237,0.1705881589928574,-0.4471644359488288,-1.281316871313963,0.8962740180550824,-0.7180752575439606,1.0641500328744515,-1.298268981483523,1.670144781779658,1.2833567777566854,1.8789360839046336,-1.1768003197292245,-1.0414906311249412,-0.6282212793468417,1.783420767581737,2.69816706873994,2.019323960012444,-0.8533899217848979,-0.7511356859998859,0.2772729798631412,1.170742993608126,-0.7801779925977872,0.7107634077403078,-0.968865424151938,-0.8225690310433962,0.913164558487005,-0.1256954771090894,-1.3651102352374913,0.0429090382063166,0.4033187886739741,1
Between Business Partners,0.0319710088741185,0.619488175022113,-0.4762355038396293,-0.6860270347339275,1.3005416403570331,0.0279371247556805,0.0703299847737216,-0.0303417391177689,0.7165457890412791,1.7110640615445127,1.8789360839046336,-0.5591740956014984,-0.8444212738754233,0.8162555102607522,1.7190788332990974,2.149558808434896,1.4508606741895522,0.2749059638482178,-0.7858529380253625,-0.1853304898115698,1.9422829013444047,-0.0183155241148913,0.55310170520152,0.8797185000237644,1.1068988184179542,0.8701484630415779,1.0999892110467198,-0.0071302908686485,0.802001814625394,0.4627689747283732,1
Between opposing negotiators,-1.8505514402163885,0.7713220039731843,-0.3926064044277372,-1.7908631259278838,1.4316554638063144,-1.1217281453759649,-0.0748899357550539,-1.6565876668455226,-0.329003702455188,1.6176698685605395,0.5987227855889746,0.2815945062755994,-1.1744086051011966,-0.1826612745922602,1.2010759951876877,0.9030766141555612,-0.9115084306240876,-1.131821879359629,-0.5034528908352722,2.471309781333796,1.8331275393976243,0.2768919897532947,-0.598459370141785,0.1048338832565746,-1.8454068438072264,0.5127839778026434,0.7893265188560871,-1.662473167626998,0.1126809699963256,-0.1841889323342099,1
Between political opponents,-2.2877884386823366,0.5406372735137059,-0.181542486864391,-0.4895267749160404,0.2228588526169682,-1.019572489768686,0.1868436419421574,-1.6037080370674304,-1.8930661890552023,1.4804375849922529,-1.0534304918521002,0.0903296110618521,-1.110949502942394,-2.0266394467620628,-0.1629227444681208,0.6650320103954586,-0.3647766084084111,-1.2219617217399377,-0.5562191462280507,2.4144832514697234,-0.6905970338056482,1.5741019305009976,0.067503661382054,-1.031997425831364,-2.2209882822197384,0.7841162721507231,-0.4773977426592223,0.1287688609600788,-1.0001813420543153,-1.275274699920837,2
Between business rivals,-1.8354942720572964,0.4643536106590611,-0.8728100030349101,-1.442973560880652,0.5426916006513491,-1.1824693460073197,-0.0056571829448235,-1.291520909325274,-1.150912755359049,1.2078790217941278,0.9603881796556776,-0.2157666701040884,-1.5670089171236554,-1.7070182387495276,1.6141210530005408,0.4470567409102123,-0.5762608518054589,-1.1454794312354333,-0.6550691921729452,2.3880995054614043,0.423313707988605,1.6226190233867306,0.7667648444820847,-1.2697288696554536,-1.7597092174417237,0.9892699581212224,-1.1986854398044102,-0.3224041621133697,-0.6356229984515194,-1.019114339421733,2
Between enemies,-2.749410603713627,0.2993168400600701,-0.7669461827476344,-0.0984377364068993,-1.4175487765338373,-1.6541339721220076,-1.0846749645481653,-1.443885275424688,-1.9728218082629103,0.8766155372917908,-1.4830949579437414,-0.0857934799474737,-1.437890797264545,-2.786466717124072,-0.2835638712480708,-0.8490877643409313,-1.3811200588190358,-1.1543568399547062,-0.3273074732728689,2.5630071363417297,-1.3304558515196296,2.0049913593970614,-1.6929819450999462,-0.7419847931164995,-1.9062588887068144,-0.7764956381351269,-1.5941021112421303,-0.4381768623737265,-2.3177079873556488,-2.076353467468986,2
Teacher and Student,1.1550266262068574,-0.8955493790766244,0.442091654464288,-0.9727492037288988,0.6376884218078888,0.5265671626658033,1.2084488968248206,0.6423345065519059,-0.5028831287584048,-0.4117478249024238,0.781610399634069,-1.0293669630019606,0.6659053575040782,1.3875784195831582,-0.6204973038977879,-0.4334853003991128,0.3187044238234012,0.2967580468495046,-0.7353046190762687,-0.811713830358727,-0.0781872320399763,-0.1532026496823548,1.4019523116703527,0.9625792522280108,0.6794711998153339,0.9281820119265328,0.3670850983509842,1.0056740994447213,1.0720450321089472,0.6551078119631956,1
Professor and Graduate student,0.6737828016554254,-1.2223221848626264,0.3922205285146329,-0.5904529784022703,1.0267808330624693,-0.5908701315936684,1.1746768222832449,0.2946312095558067,0.0362892099465281,0.3385946101740716,0.8202802015823165,0.8848758632622943,-0.1046035228895283,0.8362749113960384,-0.4564828196326655,-0.1083468811053217,0.6756834662492452,-0.2968902080187904,-0.6558715464419784,-0.9169720618114968,1.0177501369036015,-0.4629434565409747,1.0487900979834686,1.1283007566365049,1.040943053623562,1.512080964304107,0.6850080502607087,0.2602760216145789,0.7650485322329085,0.8882457964902526,1
Master and Servant,0.056815336336621,-1.4220166772874054,0.8429139809312844,-0.3297269527295096,-0.1089319617227408,-0.6962887442596565,-0.2905116424435749,-0.7797329103759597,-0.513111330305653,0.1869939892236352,-0.0444662390864685,0.9087839751640128,-0.583815894343274,0.5051848156970699,1.6466941572311276,1.1020975123812204,1.5901464836162869,0.1167818632416829,-0.5367219374905431,-0.9047026974090266,0.5390446941490469,0.8232879089128725,-1.70839775601485,-0.3099251566229258,0.0699551779286733,0.0329890670651858,0.7202324682279794,-0.187837192330228,-0.5204993109980045,1.0747561841118984,1
Between Close Friends,1.0008997799117043,1.2393662853919227,1.4452426136002676,1.179960841085346,-1.6411947000486675,1.0032935554997706,0.4300025786415019,-0.1692987513238197,-0.1430364015961328,-1.3373986376099027,-1.2691967780850766,0.7208294339058879,1.2096229448006983,0.6370433712516009,-0.9808695840361812,-0.5215181890606357,-0.7403069002550487,0.8940483155513475,-0.3236968790622193,-1.1255512566534882,0.4500208586410146,-0.8426257359160574,0.3005907224153978,1.2157142974234032,0.5850855227997346,-0.8085822361363779,0.7881801620583354,1.3263231317729594,0.4196774698723643,0.7075638584817835,0
Between casual acquaintances,-0.97008353211347,0.5138646418387584,-1.605512798619258,-0.1362850627142358,-0.7857930673925352,-1.2345825351853572,-0.1775050853236874,-0.6414930515875366,0.2753900253367422,-0.0039582822713825,-0.2294087701433052,-1.6924185997429513,-0.8373138544336374,-1.566053224838339,-0.1596325319195766,0.4470567409102123,-0.6403951712316314,-1.21831970790639,-0.4247935169604069,-0.2165850812368093,-0.5025341812949301,-0.8267299467077704,-1.2485661390102945,-2.103268579329129,-0.6864698338486183,-0.7743899551412948,-2.486273395038795,-1.382025077807998,-1.8641904307205912,-1.373192653422201,2
Between teammates in sports,1.087854926030462,1.434219699212465,1.1035580074316809,0.4860931921175155,0.4935672746037186,0.9931700220612116,1.2759930459079716,0.6586719444087191,1.6757238008054296,0.1763496903058385,-0.5756622866219385,-0.4874497598963431,0.7930188205975567,0.97487076540956,-1.0134426882667675,-0.3139055170114266,-0.6728787875643681,1.1632771843236134,-0.4719318302661094,-1.0790568231283384,1.384771131475353,-1.0341321487587525,0.6363470841419998,1.0691145050620423,1.0937076654590756,0.6965568826050016,0.6093485016091152,-0.0926307927190906,1.8976795582907184,1.2288458207602502,0
Between second cousins,0.3314831788387284,1.0320801015195902,-0.127382689150023,1.1337029978208242,-0.6734498126849244,-0.4320394218435799,0.7390170606969194,0.9422548958363542,0.261442477772313,-0.6748716686052292,0.2144533043931027,0.3349892895227706,1.245160042009628,-1.1618153172989003,-0.7347616854050834,-1.0261134830835408,-1.0917205678546549,0.1321390215731429,-0.2226002411640317,-0.9362524915868068,-0.4041628430585543,-0.5845083968672073,-0.7926985876695714,0.2103758003998465,-0.1297003907790726,-1.4648534358807166,-0.9476587756923566,1.2777399450565596,-1.51577802774356,-2.258587135569275,0
Parent and Infant,0.7766107125418928,-0.8138561776301237,1.6555100635501672,0.944466366284143,-1.1724107519224671,1.8325029762399347,-0.0613811059384237,1.4992212834186962,-0.9938368030263112,-1.36126767154678,1.173352306327187,1.5399581293693791,1.7142497251674969,0.6241812560117099,-0.9519157136089932,-1.5195859776145433,-1.0825332824272138,1.855539967607973,2.93305909894368,-0.9545181619002586,-0.6761306605355929,0.018017708361193,0.6058237785304907,1.643221145334326,0.8283142309292589,-0.8357324344451289,0.6010113612618326,1.4689716374508988,0.7948954141653012,1.303314672514317,0
Grandparent and Grandchild,1.1665286296617192,-0.4162825972571544,1.59418205731478,1.5075037514735274,-0.6656053958973607,1.5094702274277287,0.1716462083984485,1.3720005438090608,-1.1387363249456588,-1.5344794448454702,-0.8442025779292144,0.4449666042706752,1.7213571446092828,0.8709238748994186,-1.3487540553463342,-1.4009944568994823,-0.5730217447637331,1.842792919190556,1.705457067322831,-1.001566100586422,-1.2074410969994396,-0.8134834557008647,0.0952521210288806,1.15197525726629,0.7054537738252462,-0.9823010831275264,1.0426713711591489,1.6755018652367848,-0.6134259476026388,1.162182928309545,0
Step-parent and Step-child,0.2093849883178845,-1.3857085877556274,0.5472253794392381,1.1631398071709746,-0.8868739808551435,0.5652206539766655,-0.3703955879938405,0.3564885376730903,-0.4773126248902847,-1.1277382043805757,0.0973230347237728,1.3295667446342567,0.9999540712680152,-0.0344407084944661,-0.6897223314072354,-0.0902067707144623,-1.30187972200736,0.9654317866888849,0.9530092338234636,0.2692817491010061,-0.4357663046639059,-0.0273988322339125,0.2016212163417163,0.7435901214025007,0.4085100708548214,-1.429257366223079,-0.5489304068389105,1.3108178594166615,-1.4862591335247102,0.4015702537900212,0
Foster-parent and Foster-child,0.1743481162553811,-0.4367471568114295,0.8932905574817814,0.7705215837605269,-0.4257903683918375,1.384674669766945,-0.2671309754532537,0.7168638217247947,-0.7082995098323032,-0.7664233911153688,0.1466410430055958,0.8274963946981699,1.1456561698246257,0.7407977675200567,-0.1629227444681208,-0.7175778766898582,-0.7275595417244748,1.3687241185237475,0.0090795540193146,-0.4850904348445495,0.1117302837104921,-0.113690259364613,0.8822993401025089,0.9300268138620568,0.199221864818936,-0.7734875195725096,0.0524738438569853,0.9157912283085216,-1.243220237789513,0.3709708933208445,0
