sub_id,exp,imp,dim
sub-301,0.44111483964887505,0.4269416531343041,0.8463153232418331
sub-693,0.432367929326519,0.44500864066409557,0.8966440174747308
sub-700,0.5284345064054636,0.5552280649491184,0.8206687173315865
sub-701,0.3270870847362637,0.1886379267812587,0.7327719075431571
sub-706,0.32052048659225507,0.36081752965069425,0.8412067812797346
sub-716,0.34422765799825783,0.38646227442839826,0.7756409167267843
sub-720,0.453411596982093,0.2720564632468219,0.8309552718140907
sub-722,0.35968067108526147,0.16030939268580777,0.802117167232643
sub-754,0.5568252241127153,0.5475068930384217,0.8301205536390053
sub-759,0.41317126627440903,0.44854485168683533,0.8257462394487637
sub-762,0.35351414957675553,0.4215721817932922,0.7604965528406021
sub-765,0.42292201109523686,0.3721905784098078,0.8128867835111627
sub-766,0.4394192353370609,0.39784296553974036,0.7724893741368621
sub-767,0.4680192543631493,0.43438914133474865,0.8312052149354185
