sub_id,exp,imp,dim
sub-301,0.47941728539759215,0.446154508945711,0.6553120823962967
sub-693,0.3214934845429074,0.48350317836902784,0.7291010677665061
sub-700,0.5519850686921065,0.5756908815733685,0.6870715461052456
sub-701,0.19709129829129035,0.1872179840652304,0.5797625772775781
sub-706,0.3282317856393937,0.39297650647686766,0.6721745377631273
sub-716,0.16092997414466845,0.4044866781939203,0.546831256967177
sub-720,0.38649767217439324,0.26975976166515486,0.6924772317450735
sub-722,0.3989364199372821,0.172831169975134,0.7032823045246157
sub-754,0.36396365767726396,0.6036180828051312,0.703679745471705
sub-759,0.10808368947326515,0.44784036322479454,0.6828697100206146
sub-762,0.16264966941601042,0.4647262204863393,0.6714107495196511
sub-765,0.32406346702755295,0.38183217816553616,0.7119652306968569
sub-766,0.4323172800713274,0.43052913803552784,0.6049877217442232
sub-767,0.39919222920489444,0.4695656408681215,0.6282439071052609
