,V1,V2,V3,V4,V5,cl_k3
parent and child,0.092993944804429,-2.37343303290525,0.195404798912832,-0.364072269928146,0.0563707362537509,1
parent and teenager,0.764419969175743,-2.49216218813328,-0.207197959922674,-0.997900834615226,0.486171765954839,1
wife and husband,-0.923106052491191,-2.00797798319265,0.187543942568101,0.129795749760306,-0.301226278019673,1
fiance and fiancee,-1.17152036085142,-1.62207839262025,0.36737420009779,-0.0231589162011461,-0.996813813141078,1
siblings,-1.3120114527257,-0.727339637946419,0.647310946778283,-0.822333206658179,-1.21954163619594,1
divorced spouses,-1.51590606150806,0.0439857321592522,-1.81289620685982,-0.17439377313084,-0.59367462831629,2
a person and their in laws,-0.785217755729843,-0.147446140501242,-0.612956765837355,-0.926002903684791,0.226644304988737,1
employer and employee,0.83761772523797,-0.210800505003622,-1.52945365057417,1.24747609671181,0.14067454774079,0
interviewer and job applicant,1.0712721055426,0.510392438870771,0.152434409878881,-0.876944555969248,-1.12812652237777,0
guard and prisoner,0.568494098947633,0.750620404500481,-1.07319231911614,-0.150116765743212,0.424341506990044,2
nurse and patient,1.4001378517869,0.865212229886294,2.13426746049978,-0.622402434060216,-1.16365883583646,0
therapist and patient,1.91577942262109,-1.47865433181114,0.88679721359027,-0.207299730037522,0.232294793857147,0
salesperson and customer,1.03395030855646,0.642022341531755,-0.517598313800972,0.150242665836273,0.781860509423504,0
business partners,0.35505132166049,-0.446310951575106,0.222708285611564,1.68871899310252,-0.25754452657949,0
opposing negotiators,-0.964695600249465,0.985072722661898,-1.84642077238897,-0.424548877639375,-2.04423206457363,2
political opponents,-1.24639151094859,1.1172220744635,-1.95954358527578,1.37635787011561,0.0825431531226391,2
business rivals,-0.478671103424518,0.900062050234796,-2.04653030939758,0.267658721587614,1.42351141126545,2
enemies,-1.95254247753282,0.167796509028468,-2.3757143297856,-1.02190863199913,-0.390787815011331,2
teacher and student,0.747929375111926,-0.939267978596944,0.614937728289476,1.26395522698826,0.159985456269685,0
professor and graduate student,1.2024231265138,-1.06121914046535,0.239713675484333,0.908456768737302,0.575788824876945,0
master and servant,0.797608052172626,-0.0308040972625163,-1.94164554845331,-1.13537647109156,0.856475554600716,2
close friends,-0.730799129256504,-1.43799109392846,0.902372312021727,-0.988631946101177,-0.623585774093919,1
casual acquaintances,-1.47992188052386,1.35383628248153,0.92661043872532,-0.989356005799915,-0.307495700248187,1
teammates in sports,-1.01983055757102,0.116204276054258,-0.138925608045193,1.97676307198123,-0.994774625518059,0
second cousins,-1.32820893097711,0.919155226946444,0.659619551217127,-0.366170954262699,1.11688243421333,1
grandparent and grandchild,0.306105875308968,-1.64685023876946,0.135268736483911,-1.44583816677211,1.07371845846521,1
foster parent and foster child,0.479755523497079,-1.56313983737689,-0.919087597970948,-0.739582129266883,-0.903122831222435,2
godparent and godchild,0.0500650263483343,0.368505159973959,0.736626750780256,-1.05352349523066,1.75618602365489,1
step grandparent and step grandchild,0.121325451326301,-0.276757994555032,0.501979296645507,-1.97010458946886,0.962714766492523,1
ancestor and descendant,-0.12149035787744,0.607165664000766,0.658898351228606,-1.18285203973727,2.16576676501023,1
man and his mistress,-0.791939859226665,-1.14196910212697,-1.49917714100816,-0.284363420190237,-0.768989904008456,2
step siblings,-1.19204396001329,-0.182286773142765,0.613902850936888,-0.664487993999289,-0.222078225860056,1
distant relatives,-0.814992195637638,0.300356349299988,0.0035771563436726,-1.1393054594266,1.21264589748756,1
twins,-1.14984337279632,-1.03354459036994,0.986293317211537,-0.682146878718458,-0.629350082219601,1
a person and their family friends,-0.747699140674717,0.108716636081552,0.762325965849823,-0.820490856272741,0.684940921524524,1
manager and staff,1.15449833866951,-0.461045065775168,-1.50876076160494,1.85577849621702,0.990401410804314,0
union leader and union member,1.34478136421129,0.161441242308993,0.655270074297645,1.37723511018805,0.310473049296811,0
manager and assistant,1.02790217626923,-0.160449245922746,-1.11947393317733,0.812673224426484,0.297321797253595,0
entrepreneur and investor,1.45597601617989,0.239315575039274,-0.534072771364698,-0.477795694436354,-0.282362304105745,0
drug dealer and addict,1.1603245584484,0.507084472482649,0.816522318755686,-1.72318635943769,-1.10574451094606,0
victim and witness,-0.489843242382918,1.82810390316117,1.20354912751511,-0.924131445353848,-0.583484733305209,1
criminal and police officer,0.365451592194897,1.0774147406895,-1.53144476259248,-1.31308902312728,-0.271326244456845,2
criminal and prosecutor,0.226160103754478,0.193553000864972,-1.99790242382963,-0.0848997935503696,-1.04951343291425,2
customer and businessman,1.3253979924204,0.27639819580446,-0.37867544677887,0.554456918967977,1.62678484520542,0
representative and citizen,0.905917083499336,0.889335464806764,-0.0026065129953667,0.933132875380233,1.52488511157983,0
officer and soldier,1.07686850750273,0.366693793137997,-1.16059677536319,0.765237031717646,0.665268478629567,0
religious followers,-1.770544319635,1.73473724581917,0.83758853163009,0.269473777792846,0.834151735903962,1
reader and writer,0.308803143120147,0.577622865813057,1.65890105374681,-1.20980231229276,0.755060301330122,1
reviewer and writer,1.16257601632569,0.655329849960368,0.721325814183412,0.335553322710739,1.64100964795009,0
sugar daddy and sugar baby,0.501498646792636,-1.32397434164572,-1.62318859689559,0.129903289900468,-1.02165888552016,2
director and performer,0.359117586023335,0.67973259003304,0.65425749144946,1.25163792481744,-1.21476950774452,0
psychologist and client,1.98001999926345,-1.33918568418274,0.780097997486031,-1.11212501596549,-0.33439621574613,0
judge and contestant,0.391978125697667,0.877460304624709,-0.821128623772754,0.632179718039073,-0.521510210543864,0
