"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",0,0.416666666666667,0.372549019607843,0.346153846153846,0.410714285714286,0.4,0.375,0.409090909090909,0.369565217391304,0.463414634146341,0.37037037037037,0.381818181818182,0.318181818181818,0.30952380952381,0.41304347826087,0.381818181818182,0.386363636363636,0.357142857142857,0.446428571428571
"UK",0.416666666666667,0,0.245614035087719,0.390625,0.233333333333333,0.603448275862069,0.610169491525424,0.619047619047619,0.53968253968254,0.620689655172414,0.333333333333333,0.369230769230769,0.555555555555556,0.557377049180328,0.571428571428571,0.463768115942029,0.603174603174603,0.590163934426229,0.447761194029851
"Australia",0.372549019607843,0.245614035087719,0,0.345454545454545,0.259259259259259,0.5,0.541666666666667,0.557692307692308,0.518518518518519,0.583333333333333,0.368421052631579,0.379310344827586,0.480769230769231,0.509803921568627,0.470588235294118,0.459016393442623,0.509803921568627,0.549019607843137,0.491803278688525
"South Africa",0.346153846153846,0.390625,0.345454545454545,0,0.383333333333333,0.530612244897959,0.510204081632653,0.5,0.403846153846154,0.58,0.426229508196721,0.409836065573771,0.452830188679245,0.509433962264151,0.471698113207547,0.409836065573771,0.42,0.46,0.492063492063492
"Germany",0.410714285714286,0.233333333333333,0.259259259259259,0.383333333333333,0,0.529411764705882,0.538461538461538,0.603448275862069,0.517241379310345,0.60377358490566,0.232142857142857,0.333333333333333,0.482142857142857,0.535714285714286,0.526315789473684,0.4375,0.610169491525424,0.571428571428571,0.515151515151515
"Japan",0.4,0.603448275862069,0.5,0.530612244897959,0.529411764705882,0,0.178571428571429,0.303030303030303,0.351351351351351,0.25,0.52,0.5,0.333333333333333,0.323529411764706,0.405405405405405,0.529411764705882,0.371428571428571,0.382352941176471,0.672727272727273
"Israel",0.375,0.610169491525424,0.541666666666667,0.510204081632653,0.538461538461538,0.178571428571429,0,0.272727272727273,0.324324324324324,0.214285714285714,0.529411764705882,0.48,0.257142857142857,0.342857142857143,0.378378378378378,0.538461538461538,0.342857142857143,0.303030303030303,0.60377358490566
"CHN",0.409090909090909,0.619047619047619,0.557692307692308,0.5,0.603448275862069,0.303030303030303,0.272727272727273,0,0.236842105263158,0.382352941176471,0.545454545454545,0.471698113207547,0.35,0.425,0.375,0.471698113207547,0.25,0.351351351351351,0.614035087719298
"HK(region)",0.369565217391304,0.53968253968254,0.518518518518519,0.403846153846154,0.517241379310345,0.351351351351351,0.324324324324324,0.236842105263158,0,0.421052631578947,0.482142857142857,0.407407407407407,0.30952380952381,0.380952380952381,0.292682926829268,0.436363636363636,0.3,0.263157894736842,0.576271186440678
"France",0.463414634146341,0.620689655172414,0.583333333333333,0.58,0.60377358490566,0.25,0.214285714285714,0.382352941176471,0.421052631578947,0,0.596153846153846,0.576923076923077,0.405405405405405,0.352941176470588,0.473684210526316,0.576923076923077,0.4,0.411764705882353,0.690909090909091
"Spain",0.37037037037037,0.333333333333333,0.368421052631579,0.426229508196721,0.232142857142857,0.52,0.529411764705882,0.545454545454545,0.482142857142857,0.596153846153846,0,0.322033898305085,0.384615384615385,0.411764705882353,0.517857142857143,0.453125,0.578947368421053,0.537037037037037,0.484375
"Mexico",0.381818181818182,0.369230769230769,0.379310344827586,0.409836065573771,0.333333333333333,0.5,0.48,0.471698113207547,0.407407407407407,0.576923076923077,0.322033898305085,0,0.365384615384615,0.481481481481482,0.5,0.387096774193548,0.481481481481482,0.518518518518519,0.492307692307692
"Chile",0.318181818181818,0.555555555555556,0.480769230769231,0.452830188679245,0.482142857142857,0.333333333333333,0.257142857142857,0.35,0.30952380952381,0.405405405405405,0.384615384615385,0.365384615384615,0,0.189189189189189,0.317073170731707,0.482142857142857,0.365853658536585,0.333333333333333,0.543859649122807
"Portugal",0.30952380952381,0.557377049180328,0.509803921568627,0.509433962264151,0.535714285714286,0.323529411764706,0.342857142857143,0.425,0.380952380952381,0.352941176470588,0.411764705882353,0.481481481481482,0.189189189189189,0,0.35,0.535714285714286,0.439024390243902,0.368421052631579,0.571428571428571
"Brazil",0.41304347826087,0.571428571428571,0.470588235294118,0.471698113207547,0.526315789473684,0.405405405405405,0.378378378378378,0.375,0.292682926829268,0.473684210526316,0.517857142857143,0.5,0.317073170731707,0.35,0,0.444444444444444,0.390243902439024,0.315789473684211,0.535714285714286
"Russia",0.381818181818182,0.463768115942029,0.459016393442623,0.409836065573771,0.4375,0.529411764705882,0.538461538461538,0.471698113207547,0.436363636363636,0.576923076923077,0.453125,0.387096774193548,0.482142857142857,0.535714285714286,0.444444444444444,0,0.452830188679245,0.490566037735849,0.492307692307692
"Egypt",0.386363636363636,0.603174603174603,0.509803921568627,0.42,0.610169491525424,0.371428571428571,0.342857142857143,0.25,0.3,0.4,0.578947368421053,0.481481481481482,0.365853658536585,0.439024390243902,0.390243902439024,0.452830188679245,0,0.277777777777778,0.571428571428571
"Qatar",0.357142857142857,0.590163934426229,0.549019607843137,0.46,0.571428571428571,0.382352941176471,0.303030303030303,0.351351351351351,0.263157894736842,0.411764705882353,0.537037037037037,0.518518518518519,0.333333333333333,0.368421052631579,0.315789473684211,0.490566037735849,0.277777777777778,0,0.470588235294118
"India",0.446428571428571,0.447761194029851,0.491803278688525,0.492063492063492,0.515151515151515,0.672727272727273,0.60377358490566,0.614035087719298,0.576271186440678,0.690909090909091,0.484375,0.492307692307692,0.543859649122807,0.571428571428571,0.535714285714286,0.492307692307692,0.571428571428571,0.470588235294118,0
