"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",0,0.259259259259259,0.218181818181818,0.166666666666667,0.277777777777778,0.166666666666667,0.169491525423729,0.2,0.309090909090909,0.166666666666667,0.280701754385965,0.2,0.183333333333333,0.163934426229508,0.160714285714286,0.259259259259259,0.246153846153846,0.183333333333333,0.375
"UK",0.259259259259259,0,0.127659574468085,0.288461538461538,0.155555555555556,0.333333333333333,0.310344827586207,0.338983050847458,0.234042553191489,0.305084745762712,0.274509803921569,0.22,0.35,0.3,0.277777777777778,0.352941176470588,0.4,0.322033898305085,0.3125
"Australia",0.218181818181818,0.127659574468085,0,0.245283018867924,0.224489795918367,0.266666666666667,0.271186440677966,0.327868852459016,0.26,0.295081967213115,0.264150943396226,0.211538461538462,0.254237288135593,0.290322580645161,0.267857142857143,0.37037037037037,0.363636363636364,0.338709677419355,0.365384615384615
"South Africa",0.166666666666667,0.288461538461538,0.245283018867924,0,0.274509803921569,0.25,0.254237288135593,0.254237288135593,0.339622641509434,0.25,0.277777777777778,0.259259259259259,0.23728813559322,0.245901639344262,0.185185185185185,0.22,0.26984126984127,0.23728813559322,0.377358490566038
"Germany",0.277777777777778,0.155555555555556,0.224489795918367,0.274509803921569,0,0.377049180327869,0.298245614035088,0.383333333333333,0.291666666666667,0.35,0.1875,0.204081632653061,0.310344827586207,0.344262295081967,0.264150943396226,0.270833333333333,0.365079365079365,0.310344827586207,0.333333333333333
"Japan",0.166666666666667,0.333333333333333,0.266666666666667,0.25,0.377049180327869,0,0.131147540983607,0.1,0.35,0.1875,0.375,0.25,0.203125,0.15625,0.26984126984127,0.333333333333333,0.260869565217391,0.230769230769231,0.409836065573771
"Israel",0.169491525423729,0.310344827586207,0.271186440677966,0.254237288135593,0.298245614035088,0.131147540983607,0,0.163934426229508,0.355932203389831,0.161290322580645,0.327868852459016,0.192982456140351,0.147540983606557,0.129032258064516,0.216666666666667,0.310344827586207,0.264705882352941,0.206349206349206,0.389830508474576
"CHN",0.2,0.338983050847458,0.327868852459016,0.254237288135593,0.383333333333333,0.1,0.163934426229508,0,0.327586206896552,0.21875,0.380952380952381,0.283333333333333,0.234375,0.1875,0.274193548387097,0.310344827586207,0.264705882352941,0.234375,0.416666666666667
"HK(region)",0.309090909090909,0.234042553191489,0.26,0.339622641509434,0.291666666666667,0.35,0.355932203389831,0.327586206896552,0,0.35,0.358490566037736,0.339622641509434,0.39344262295082,0.370967741935484,0.327272727272727,0.372549019607843,0.415384615384615,0.419354838709677,0.36734693877551
"France",0.166666666666667,0.305084745762712,0.295081967213115,0.25,0.35,0.1875,0.161290322580645,0.21875,0.35,0,0.32258064516129,0.25,0.203125,0.126984126984127,0.213114754098361,0.305084745762712,0.285714285714286,0.230769230769231,0.383333333333333
"Spain",0.280701754385965,0.274509803921569,0.264150943396226,0.277777777777778,0.1875,0.375,0.327868852459016,0.380952380952381,0.358490566037736,0.32258064516129,0,0.211538461538462,0.283333333333333,0.34375,0.327586206896552,0.274509803921569,0.388059701492537,0.338709677419355,0.333333333333333
"Mexico",0.2,0.22,0.211538461538462,0.259259259259259,0.204081632653061,0.25,0.192982456140351,0.283333333333333,0.339622641509434,0.25,0.211538461538462,0,0.175438596491228,0.245901639344262,0.280701754385965,0.288461538461538,0.348484848484849,0.266666666666667,0.28
"Chile",0.183333333333333,0.35,0.254237288135593,0.23728813559322,0.310344827586207,0.203125,0.147540983606557,0.234375,0.39344262295082,0.203125,0.283333333333333,0.175438596491228,0,0.142857142857143,0.229508196721312,0.35,0.223880597014925,0.19047619047619,0.4
"Portugal",0.163934426229508,0.3,0.290322580645161,0.245901639344262,0.344262295081967,0.15625,0.129032258064516,0.1875,0.370967741935484,0.126984126984127,0.34375,0.245901639344262,0.142857142857143,0,0.209677419354839,0.327868852459016,0.257142857142857,0.2,0.403225806451613
"Brazil",0.160714285714286,0.277777777777778,0.267857142857143,0.185185185185185,0.264150943396226,0.26984126984127,0.216666666666667,0.274193548387097,0.327272727272727,0.213114754098361,0.327586206896552,0.280701754385965,0.229508196721312,0.209677419354839,0,0.245283018867924,0.261538461538461,0.2,0.363636363636364
"Russia",0.259259259259259,0.352941176470588,0.37037037037037,0.22,0.270833333333333,0.333333333333333,0.310344827586207,0.310344827586207,0.372549019607843,0.305084745762712,0.274509803921569,0.288461538461538,0.35,0.327868852459016,0.245283018867924,0,0.375,0.293103448275862,0.3125
"Egypt",0.246153846153846,0.4,0.363636363636364,0.26984126984127,0.365079365079365,0.260869565217391,0.264705882352941,0.264705882352941,0.415384615384615,0.285714285714286,0.388059701492537,0.348484848484849,0.223880597014925,0.257142857142857,0.261538461538461,0.375,0,0.169230769230769,0.492537313432836
"Qatar",0.183333333333333,0.322033898305085,0.338709677419355,0.23728813559322,0.310344827586207,0.230769230769231,0.206349206349206,0.234375,0.419354838709677,0.230769230769231,0.338709677419355,0.266666666666667,0.19047619047619,0.2,0.2,0.293103448275862,0.169230769230769,0,0.4
"India",0.375,0.3125,0.365384615384615,0.377358490566038,0.333333333333333,0.409836065573771,0.389830508474576,0.416666666666667,0.36734693877551,0.383333333333333,0.333333333333333,0.28,0.4,0.403225806451613,0.363636363636364,0.3125,0.492537313432836,0.4,0
