,0
0,0
1,1
2,2
3,3
4,4
5,517
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,15
14,527
15,532
16,533
17,20
18,24
19,537
20,27
21,29
22,543
23,547
24,548
25,552
26,40
27,42
28,555
29,556
30,47
31,562
32,566
33,572
34,575
35,577
36,66
37,582
38,584
39,589
40,590
41,79
42,83
43,598
44,601
45,90
46,603
47,607
48,95
49,98
50,101
51,615
52,623
53,113
54,118
55,121
56,123
57,127
58,128
59,129
60,130
61,131
62,132
63,133
64,134
65,135
66,137
67,650
68,141
69,653
70,654
71,144
72,658
73,147
74,149
75,150
76,151
77,152
78,153
79,154
80,666
81,156
82,157
83,158
84,670
85,155
86,673
87,160
88,163
89,676
90,165
91,678
92,167
93,684
94,690
95,178
96,180
97,182
98,699
99,700
100,701
101,702
102,191
103,192
104,703
105,194
106,717
107,205
108,206
109,211
110,212
111,725
112,216
113,729
114,730
115,217
116,732
117,220
118,222
119,736
120,225
121,227
122,742
123,234
124,747
125,240
126,242
127,244
128,758
129,247
130,763
131,251
132,253
133,766
134,255
135,254
136,258
137,262
138,263
139,265
140,266
141,779
142,780
143,784
144,273
145,786
146,787
147,788
148,274
149,794
150,668
151,290
152,298
153,312
154,314
155,315
156,316
157,317
158,320
159,322
160,323
161,324
162,326
163,327
164,328
165,329
166,330
167,331
168,333
169,334
170,335
171,336
172,337
173,338
174,339
175,340
176,342
177,344
178,347
179,348
180,349
181,350
182,352
183,354
184,357
185,358
186,359
187,362
188,363
189,366
190,369
191,371
192,374
193,383
194,387
195,388
196,389
197,393
198,395
199,399
200,400
201,403
202,407
203,408
204,409
205,410
206,413
207,414
208,417
209,420
210,423
211,424
212,431
213,432
214,437
215,438
216,439
217,441
218,443
219,447
220,450
221,455
222,456
223,457
224,460
225,462
226,463
227,466
228,472
229,476
230,477
231,483
232,484
233,490
234,492
235,493
236,496
237,501
238,503
239,507
