,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,cl_k2,cl_k3,cl_k4,cl_k5
parent and child,0.7998152366841822,-1.1408236490949546,1.7887973544223683,1.4651093233257133,-1.1415113467496216,1.5976980383191486,-0.5671880840575049,1.2158694746358971,0.2614632325481957,-1.234579213552458,-1.0877487461070183,1.650848713775242,1.8783662477282816,1.2177698401423278,-0.2572715176605895,0.6682503345913499,-0.4938811128980879,1.8013656963700448,1.0172451569402663,-0.089846882703779,0.4154495526295489,0.0707627672908964,1.0842398116158305,1.7371761626316953,0.4566964067844565,-1.128308762740337,-0.0761219986016165,1.7419676724816169,0.2896530527599765,0.2239814306161232,1,1,1,0
parent and teenager,0.295349969025532,-1.081190373031653,1.5414395916021089,1.3532613992207811,-1.0473555362180025,0.7718701455874994,-0.7538417915592568,1.3247459495951277,0.2340839820376826,-0.9445791483906232,-1.084975300779388,1.6114884828822362,1.524930228151635,1.1100060509728338,-0.1324829821473863,0.5774199508856976,-0.7058143776979703,1.5773554478752434,1.03139011871886,0.6857315496025709,0.2887733984821647,0.0483944173917861,0.8899044745731957,1.519942549047252,0.0003543303644848,-1.1156795839343594,-0.2622112647155784,1.0268607810228516,0.0643578987200775,0.2581017156153696,1,1,1,0
wife and husband,0.9225951430984566,1.375315869963064,1.8456612079442665,1.547876787163363,-1.158630585028098,2.8515297558552413,-0.9171637856232896,1.564274194505433,1.4661502550107723,-1.3525453417538824,-0.8492324479308256,1.8111010824110512,1.953131559561803,1.01530453927843,-0.4970612525683131,0.1509120621808969,-0.8641820920539264,1.810797706832984,3.0682646148362887,-0.3205745166873883,-0.0946787438018095,-0.8335576643445652,-0.0780349926199265,1.893217209009253,0.6989520769827136,-1.1391337731454607,0.3188429743749548,1.607089860213594,0.3166884712447645,0.8665801314352701,1,1,1,0
fiance and fiancee,0.965301197503422,1.3272245182991107,1.8115428958311277,1.5456398286812645,-1.1457911563192409,2.8597605986399417,-0.5380234422603561,1.5555640765086949,1.329254002458207,-1.2370368412233212,-0.9379826984149904,1.7745522965818317,1.9146160958899887,1.0120389699096577,-0.7172763152386715,-0.0583927350538663,-0.8781557139088637,1.7094035943563894,3.2776100491594686,-0.48180587537473,0.3503996356349462,-0.7281068719630449,-0.2761075476826117,1.8259053850816789,0.7327551937545629,-1.1661962991582695,0.7289989078506247,1.2024564234095236,0.2896530527599765,0.8381465606025642,1,1,1,0
siblings,0.3780929494351517,1.1060043006449274,1.538596398926014,1.4830049911825025,-1.2463666812052887,1.2492590271001471,-0.5846868691357939,1.5098359570258184,1.2909230517434884,-1.3181385543618005,-1.2846633643687588,1.476539119820503,1.8103977824250803,0.8422293627334859,-0.8640863570189107,-0.370375357347193,-1.0807732308054545,1.6410215185000818,-0.2982362884689057,-0.3650521328769999,-0.0398998663326705,-0.6162651224674931,-0.137830480940737,1.7310569059110068,0.8059952800935709,-1.1481546151497304,0.1783265897582895,1.462032590415908,0.217558603467209,0.599304565607837,1,1,1,0
divorced spouses,-1.677135918803793,1.0848441059127878,-0.0109436095457238,0.0289819778183848,-0.242751337129619,0.0146326093950234,-1.4537931946908265,-0.7961677826106701,0.450380061070736,0.2424550166362085,-0.1142694361088365,1.3162867511846936,-0.4461552656412021,-1.3293742675002531,0.3813521640834502,0.166708650651445,-0.6848539449155644,-0.6651050396885034,1.4642259491438134,2.072877204516078,2.271084026896639,0.6459489075537341,-1.3972729536978112,-0.0527064281697034,-1.6982522874209656,-0.974954448667752,-1.2040508156597096,0.9505148495503858,-0.7827518804699433,-1.9199098101698808,0,0,2,3
a person and their in laws,0.079150568600396,0.46927480461419,0.3217099335573833,0.8991588273547568,-0.5145192448004293,0.272532349982316,-0.6517655452692361,1.0394895852019452,-0.2560046021005019,-0.9396638930488972,-0.9352092530873602,0.8242838650221226,0.9041515783823968,0.4013774979491926,-0.7588724937430726,-0.4730531824057561,-0.67320926003645,0.6742404460488344,0.165718457868953,0.1770188144338896,-0.0741366647508822,-0.5267917228710517,-0.7694203263292995,0.7856317425646264,-0.1996474438689594,-1.059750363507887,-0.6571762376921495,1.2533537110578346,-0.7151633342579727,-1.0953362560214177,1,1,1,0
employer and employee,-0.3505791038495649,-1.0369463295008163,-0.4089905841990142,-0.977649339126004,1.2059642021864332,-0.657552884688877,0.9114592550579363,-1.1249747369875442,-0.2039840261305271,1.3877095112583693,1.2197577664812649,-0.5027182050849258,-0.7973256697077422,0.7965113915706704,2.1577536696243422,0.7985721894733722,1.3902289005426247,-0.7971531861696494,-0.4113959826976517,0.1103023901494726,0.8673752917499473,0.2113638237995901,1.3159473288589711,-0.2515822715920812,0.3693716884571782,1.3181435888176096,0.5581006022357625,-0.3753594936881079,-0.3276556693093465,0.1557408606176294,0,2,0,1
interviewer and job applicant,-0.3292260766470825,-1.098503259630676,-1.406951213508335,-0.953042795822919,1.1824252495535286,-0.6987070986123811,-0.6838466512460998,-1.0923117944997751,-0.4367076554698885,1.3975400219418217,1.1365544066523598,-1.1240475641816583,-0.7044354337933671,0.1499286565537074,0.6186950649615031,-0.1650197072300667,0.505232849729929,-1.12019954452531,-0.5783065316850521,-0.3150148146636869,1.4733666237522998,0.1602361668873379,0.4675988383074706,-0.8573886869402471,-0.2334505606408091,1.135922580331361,0.2314949515051356,-1.579080346570656,0.7582669731629668,0.4997870676933673,0,2,0,1
guard and prisoner,-1.912019218031101,-1.19660961702514,0.0260178952435103,-1.1364733913550078,0.919216961021956,-0.802964440551925,0.0219376802448997,-1.1903006219630825,-1.071906267313793,0.6676246036955087,0.3821772775369598,-1.1099903388627277,-1.125839918673215,-1.9302390313544,-0.2499310155715775,-0.7652900691108975,0.5401669043672722,-1.0801135000578193,-0.4764628068791806,2.1757316919545544,-1.1594431746082026,2.9850392112892745,1.0618165034955265,-1.1664111513350184,-1.8447324600989807,1.0060224554698771,-0.3001886659633253,-0.4924232552792227,0.2400881188711992,0.7585325622709884,0,0,2,3
