,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,cl_k2,cl_k3,cl_k4,cl_k5
nurse and patient,0.5756084510581155,-0.788794954914819,-0.4345793182838685,-0.6085511895797281,1.0711502007434328,-0.0896247325445201,-0.164716027256852,-0.6698710716579636,-0.6913346852176605,-0.41864682682594,1.0394838201853045,-0.4661694192557061,0.1406391514764355,0.7018098798762669,0.7165684261483292,0.2693864757100083,1.3087161063888235,-0.1746404956156755,-0.4594888527448688,-0.7319924664412945,-1.1457484552409178,-0.1465297745861756,2.224091307731283,0.1216923883699199,-0.1292242839276058,1.0024141186681694,0.4555616188668448,-1.3093247220346091,0.9249853871524928,1.074145198514021,0,2,0,1
therapist and patient,0.8291756490875954,-0.5637274291275192,0.6970113668019144,-0.3870922998519625,1.1717257256294809,0.2039419934431425,-1.736690220123169,-0.6089002456807948,-0.6420520342987368,0.0999126117261543,0.5014354266250561,0.0398906922257953,-0.0111570877007139,1.4398285572188605,1.842112079796828,-0.378273651582467,1.3552948459052816,0.2804540092211311,-0.5415296310607096,-0.3789513879362534,-0.0398998663326705,-0.4501002375026733,1.5065454478815556,0.5592192438991508,0.2735961909369371,1.0926225387108666,0.6074712238578333,0.3168436183289174,0.9069617748293004,0.7158822060219301,0,2,0,1
salesperson and customer,-0.3799395162529786,-0.250171816278546,-1.495090186467278,-1.0939711801951333,1.03905162897129,-0.6328603563347747,1.264351420803436,-1.17505791546879,0.1765875559656051,1.5990654909525883,1.932533215682212,-1.343340279156976,-0.7542789750157147,-0.2974543469681304,1.7711538929363793,3.788076557524616,1.5765438586084553,-1.2781857197795383,-0.5104107151478045,-0.1232050948459876,2.3600997027839905,0.4510247155757726,0.452649966227268,-1.3040944275505106,-0.6447218146983146,0.9428765614399892,0.0416079452663995,-1.678330057484862,0.3347120835679568,-0.0091738502120629,0,2,0,4
business partners,0.4635050582450821,1.2656675881692512,0.532106191588408,-0.827773120825395,0.7694236260852889,-0.4792179576870259,0.0394364653231891,0.17501037402566,1.6605429336354154,1.4024552772835477,1.6024932216942245,0.568442364217586,-0.0972504770847689,0.832432654627168,1.73689821652099,1.173741165648892,0.6216796985210731,0.4125021557022771,-0.5104107151478045,-0.2455185393674191,1.5076034221705117,-0.1209659461300494,0.8188973321922332,0.5745173857008723,1.014447833519978,1.2928852312056542,0.4061909972447733,0.7520154277219742,0.5374777222038657,0.3689926418629217,0,2,0,1
opposing negotiators,-2.368440174484165,0.99058505665144,-0.9378244219526716,-1.127525557426613,1.2059642021864332,-0.7206560127049167,-0.0363916033493978,-1.1946556809614512,0.0451671535151421,1.8030485876342173,0.8092878579920028,-0.4071290729161976,-1.1235743031631085,-0.6403391306892471,0.7239089282373412,0.4747421258271346,-0.2446848564850394,-1.0164474294329813,-0.5358716463492723,2.5009742603410885,2.887346398424455,1.997636337171403,-0.2723703296625612,-0.9461179093902308,-2.472907046775856,0.9663307506510906,-0.0875152189759411,-1.0497485550282246,0.2536058281135928,-0.211052203124273,0,0,2,3
political opponents,-2.531257006903095,0.8617002341920464,0.119843253554643,-1.127525557426613,0.8421803887688131,-0.800220826290358,1.3839264521717458,-0.8201206071017008,0.0834981042298604,1.3999976496126845,-0.3305981716639879,-0.2778025999820361,-0.9445906778646784,-1.3489676837128883,-0.3257828704913676,-0.9390525422869274,-0.4566181212849218,-1.1060515288309016,-0.5726485469736148,2.4481570911159247,1.8842082047708435,1.981658944386324,1.0879770296358808,-0.3617288925644749,-2.194031333408095,0.7841097421648422,-0.3761434684588199,-0.2837443759211487,-0.3952442155213161,-1.7208748143409414,0,0,2,3
business rivals,-2.4805435672971994,1.148324690109206,-0.1360440872939006,-0.9105405846630448,0.7737034356549083,-0.8358878116907283,0.0744340354797674,-1.1619927384736826,-0.6502658094518908,1.5056756394597937,0.3183880350014665,-0.2524995944079612,-1.008027912147666,-1.4959183053076526,0.9367834888186878,-0.4809514766410303,-0.752393117214428,-0.8796832777203656,-0.3944220285633398,2.181291393978256,1.719871572363426,1.767561881066268,-0.1041955187602812,-0.9675353079126408,-2.132058952659704,1.179222621951856,-0.9230180464263802,0.1081647389708436,-0.341173378551741,-1.5417433180948958,0,0,2,3
enemies,-2.304381092876718,1.0983096843786948,0.2563165020071998,0.2258343242430653,-0.6386337223193821,-0.5779880711034358,-0.7800899691766905,-0.7373744861326861,0.2094426565782207,0.1048278670678801,-1.154311433970142,0.0736280329912289,-1.017090374188093,-1.7081803142778678,-0.8224901785145096,-0.7889849518167198,-0.7500641802386051,-0.9740033823497556,-0.538700638704991,2.248007818262673,-0.5842649611822411,2.627145612903509,-1.4271706978582166,-0.2179263596282943,-2.374314622857961,-0.911808554637864,-1.0217592896705232,0.3295679402409952,-0.4853622771372759,-1.1038663272712292,0,0,2,3
teacher and student,0.3247103814289452,-1.0754194108319788,0.5207334208840285,-0.4720967221717108,0.8764188653257654,-0.0320088330516144,1.025201358066817,0.0160507205851844,-0.6228865589413777,-0.5169519336604603,-0.1725117879890696,-0.5589471063606483,0.2811073131030516,1.279815658149006,-0.5411042651023847,0.328623682474564,0.5471537152947409,0.1672698836658633,-0.3915930362076211,0.1075225391376217,-0.5979596805495259,-0.3190856166650269,2.0073326625683445,0.4766092781698553,0.2707792645392831,0.7877180789665503,0.4707525793659433,-0.085244954092737,0.834867325536533,0.4514499972777679,0,2,0,1
professor and graduate student,0.3834312062357727,-0.9215270855073292,0.1966094558092062,-0.6577642761858982,0.8015221978574318,-0.196625688745631,0.3019182414975275,-0.2169449358275673,0.1930151062719128,0.5668618691901254,-0.2668089291284947,0.2170117312443209,0.1293110739259018,1.5149366527006287,-0.1080146418506798,-0.3348330332884595,0.9640334339670372,0.037579739800452,-0.3152102426032176,-0.2649774964503741,0.3675180348440521,-0.60348320823943,0.4900221464277747,0.326687488512986,0.5524719043046976,1.051126665491226,-0.0115604164804465,0.2252285005619582,0.2806412465983808,0.2552583585320991,0,2,0,1
master and servant,-2.0908508208518928,-1.2697084715543483,0.0174883172152255,-0.9105405846630448,1.152466582566195,-0.4874488004717267,-0.9638272124987276,-1.277401801930466,-1.1649957190495372,0.4857601560516463,0.9424132337182494,0.6331056006846666,-0.9287313692939312,-1.407747932350794,0.4033736703504859,0.2535898872394601,1.2854267366305947,-0.7499931338549545,-0.3293552043818109,1.5864032774422028,-1.0533090995117451,2.9690618185041964,-1.4757545321188752,-0.4443388582937703,-1.6926184346256574,0.7732847317597189,-0.5850191753214299,0.2634014662981911,-0.1429136429966291,0.3178122143640514,0,0,2,3
close friends,0.9359407851000084,1.3926287565620867,1.6551672986459065,1.5702463719843496,-1.2057084902939077,1.548312981610944,-0.8909156080058557,1.4183797180600652,1.299136826896642,-1.3844945014751016,-1.2430616844543063,1.1672801628040297,1.5022740730505677,1.204707562667238,-0.805362340306815,-0.3585279159942818,-1.1017336635878603,1.7306256178980024,0.1261125648888919,-0.7514514235242494,-0.1152208228527368,-0.795211921660376,0.3405334256257479,1.7953091014782363,0.8454322496607289,-1.1463504467488763,0.4555616188668448,1.5536477081828677,0.2220645065480069,0.6305814935238134,1,1,1,0
casual acquaintances,-0.2037770418324976,1.2887514369679482,-1.057238514348659,0.2146495318325722,-0.9874382022433356,-0.1719331603915284,0.383579238529544,0.6410016868511641,0.6064417889806609,-1.0797486702880883,-0.9740374876741824,-1.2055794710314558,-0.314749566055013,-1.6820557593276877,-0.9179167056716648,-0.6902562738757936,-1.1879043316933071,-0.3845027284160682,-0.069087907655695,-1.0516753328041268,-1.0361907003026396,-0.619460601024509,-0.6348804776074756,-1.6957268576745774,-0.630637182710044,-1.0525336899044715,-2.3091931919691544,-0.5407756785451178,-1.2603776070345287,-0.7001096214468097,1,0,3,2
teammates in sports,0.8398521626888369,1.2118052743056238,1.0666264146942552,0.1833321130831912,-0.2898292423954286,0.3767896919218597,1.0018696446290978,0.8369793417777779,1.3840125034792332,-0.1827145704230914,-0.5191924539428381,-0.2131393635149555,0.91547965593293,0.7246688654576746,-0.6609991325562466,-0.3861719458177411,-0.5986832768101177,0.7897825742198373,-0.2020505483744715,-0.4873655773984314,0.4154495526295489,-0.4117544948184841,-0.6236688235473236,0.7856317425646264,1.1383925950167604,-0.1612744998826236,0.744189868349724,0.3422922621530728,0.947514902556482,0.8978570593512459,1,1,1,0
second cousins,-0.1023501626207052,1.169484884841345,-0.4573248596926281,0.9260023291399404,-0.7777275333320016,-0.1554714748221268,-0.1705489556162819,0.7825411042981627,0.2970562582118626,-1.3402572033995674,-0.9851312689847028,0.1495370497134539,0.3762631645275334,-1.1628302296928534,-1.05004574327388,-0.8087306874049051,-1.201877953548245,0.1932079124389455,-0.0436269764542271,-1.009977567626366,-1.0772748584044938,-0.7057385220639346,-1.356163555477254,-0.5514258509058199,-0.0785196087698312,-1.1030504051283818,-1.8192847158732155,1.5205644712114657,-1.5442495011248016,-1.604297173926848,1,1,3,2
grandparent and grandchild,0.9119186294972156,-0.7060778300528199,1.120647075540059,1.4069484027911483,-0.9574795352560022,1.117565542544934,-0.4826106228457733,1.47281795553968,0.001360352698321,-1.3722063631207864,-1.0378267302096758,1.0829368108904462,1.556648845293129,0.7409967123015369,-0.3062081982540024,0.0837765611810671,-0.7756824869726568,1.4146532673895456,1.039877095786016,-0.7987088907257116,-0.7451779137478375,-0.5811148583403197,-0.563873335226513,1.1803238010490378,0.3186670132994033,-1.0886170579215504,-0.2925931857137761,1.7063395711277995,-0.4673386648140845,-0.4356774127026473,1,1,1,0
foster parent and foster child,0.4821889570472543,-0.7522455276502148,0.9756442490592176,1.1966743054738762,-1.1479310611040503,1.0818985571445638,-0.8121710751535544,0.9480333462361922,-0.4859903063888121,-0.9642401697575276,-0.4664969927178653,1.0829368108904462,1.2553219824489366,0.9140718888464816,-0.504401754657325,0.2654373285923713,-0.5544334742694829,1.2236550555150312,0.0440717865730509,0.3076718119908734,-0.0125104275981007,-0.277544395423822,0.3068984634452921,1.1497275174455948,0.3017654549134784,-1.027275332292516,0.1213604878866687,0.3117538895640865,-0.1699490614814171,0.3633059276963808,1,1,1,0
godparent and godchild,0.5275641398525295,-0.5367962721957056,0.171020721724352,1.0244285023522808,-0.8248054385978113,0.321917406690521,-0.5496892989792156,1.2224020631334511,0.1136152797914248,-1.17068089411002,-0.8825137918623874,1.344401201822555,1.187353517145735,0.1891154889789777,-0.6952548089716357,-0.5006972122292155,-0.7826692979001255,0.8440166343817365,-0.2105375254416275,-0.7097536583464887,-1.108087976980885,-0.7281068719630449,-0.8180041605899582,0.6448888379887904,0.3130331605040952,-1.1337212679428987,-0.0837174788511665,1.3729623370313642,-0.9945293252674482,-0.8934579031092078,1,1,1,0
step grandparent and step grandchild,0.5355715250534608,-0.7003068678531457,0.1852366851048265,1.221280848776961,-0.8312251529522398,0.6045096756319159,-0.3630355914774637,1.1940941796440516,0.06159470382145,-1.3255114373743893,-0.7077867362216881,1.2066403936970354,1.1148538208223209,-0.0655989217852802,-0.6707864686749292,-0.1531722658771555,-1.0388523652406427,0.8534486448446752,0.4825656017094418,-0.8543059109627259,-0.9677171034662154,-0.7281068719630449,-0.8553763407904648,0.5653385006198391,-0.0475334183956356,-1.0868128895206963,-0.098908439350265,1.4213147602972596,-0.3051261539053563,-0.8934579031092078,1,1,1,0
ancestor and descendant,-0.1770857578293941,0.2345890084940997,-0.9321380366004816,0.6821738545911885,-0.9638992496104308,-0.4956796432564275,-0.8034216826144096,0.6540668638462717,-0.9048928391996628,-1.229663958210732,-1.0905221914346486,0.4166243307731353,0.2539199269817709,-0.9375059432475482,-0.8567458549298986,-0.1689688543477036,-0.9666553189901332,-0.0378763439030599,0.4344727316622248,-0.9432611433419488,-1.2416114908119114,-0.740888786191108,0.1424608705630627,0.054380564442346,0.4989503027492686,-1.153567120352292,-2.658585283448429,1.4747569123279858,-3.999966680159702,-2.4345574422418523,1,1,3,2
man and his mistress,0.2766660702233598,0.5289080806774918,0.8931916614524648,1.0982481322615356,-1.1457911563192409,2.3604228030347585,-2.349147697863293,0.5408353298886724,0.652986514848533,-0.5513587210525424,-0.1641914520061791,0.6893345019603894,1.0264948159281588,-0.1537692947421388,-0.4358904018265468,0.5260810383564162,-0.3751053271311209,1.035014846256251,3.0060267830104777,0.1325411982442783,0.4257205921550125,0.3040327019530474,-1.5280755843995844,0.6112329260250031,-0.1151396519393349,-1.0254711638916625,0.4707525793659433,-0.3219173416573817,1.0421388672532397,0.8125563468531293,1,1,1,0
step siblings,0.4928654706484953,1.2098816202390654,0.9216235882134138,1.2056221394022706,-1.0601949649268596,0.5386629333543093,-0.5671880840575049,1.1418334716636214,0.8993997694431513,-1.205087681502102,-1.007318831605744,1.1419771572299546,1.26665005999947,0.0388992980154409,-0.8273838465738508,-0.4256634169941116,-0.9200765794736756,1.1599889848901928,-0.1879055865958783,-0.2427386883555683,-0.5568755224476715,-0.5875058154543512,-0.7619458902891981,0.7825721142042823,0.344019350878291,-1.0435128479002018,-0.0723242584768419,1.0955721193480712,-0.3456792816325388,0.1301506468681945,1,1,1,0
distant relatives,-0.1717475010287736,1.1233171872439502,-1.0259633949116145,0.823102238963403,-0.7092505802180966,-0.1390097892527252,-0.6605149378083808,0.5582555658821491,0.3983594851007612,-1.3255114373743893,-0.9795843783294426,-0.1456646819840886,-0.135765940756583,-1.4730593197262447,-0.6977016430013063,-0.465154888170482,-1.2670881888712853,-0.1369124537639194,0.092164656620268,-0.8376268048916217,-1.2176457319191631,-0.536378158542099,-1.3187913752767473,-1.0103701049574605,-0.5799325075522694,-1.0507295215036174,-2.742135566193473,1.1617385932908753,-1.990333906123802,-2.309449730577948,1,1,3,2
twins,0.7677856958804583,1.3849341402958542,1.6807560327307605,1.5993268322516316,-1.3940201113571464,1.1477452994221704,-0.750925327379542,1.4771730145380495,1.055461497353076,-1.3574605970956084,-1.248608575109567,1.8364040879851264,1.5521176142729152,0.5777182438629099,-0.9130230376123236,-0.4414600054646598,-1.113378348466975,1.7259096126665328,-0.295407296113187,-0.7014141053109366,-0.5671465619731351,-0.7472797433051395,-1.0160767156526431,1.8289650134420232,0.7581075313334507,-1.124700425938629,-0.0001671961061219,1.5790963520070227,0.1409582510936437,0.3803660701960037,1,1,1,0
a person and their family friends,0.506211112650047,1.036752754248835,0.7197569082106737,1.1922003885096786,-1.2592061099141458,0.3767896919218597,-0.4534459810486245,1.220224533634267,0.598228013827507,-1.0969520639841297,-1.1071628634004294,0.2395032917546097,0.7002461824727926,-0.1015201848417781,-0.7539788256837313,-0.1847654428182517,-0.8967872097154468,0.9807807860943518,-0.4962657533692112,-0.9154626332234416,-0.6938227161205195,-0.6737837364937769,-0.7058876199884381,0.5745173857008723,0.3862732468431032,-1.1156795839343594,-0.3951321690826938,1.0192261878756053,-0.6881279157731857,-0.4811711260349764,1,1,1,0
manager and staff,-0.5827932746765627,-1.146594611294629,-0.1189849312373312,-0.9261992940377352,1.0882694390219094,-0.802964440551925,1.1943562804902792,-1.1010219124965137,-0.4230180302146321,1.0805060524004937,1.3556565875351418,-0.0894357807083661,-0.5662328876768579,0.9924455536970224,1.92285760277596,0.4865895671800458,1.1387037071537531,-0.8537452489472834,-0.4594888527448688,0.1686792613983377,0.5181599478841851,0.5852348149704347,0.5124454545480784,-0.5728432494282297,0.0228897415457179,1.1954601375595413,-0.5508395141984572,-0.4567951539254052,0.1364523480128459,0.2780052151982635,0,2,0,1
union leader and union member,0.5409097818540812,-0.8157261118466327,-0.7757624394152605,-0.8322470377895922,1.1738656304142905,-0.5286030143952308,0.6168963729067343,-0.3062236452941358,0.1683737808124511,0.5398279648106323,0.6539749196447143,-0.7782398213359656,-0.5390455015555773,0.6397640618695885,0.5306090398933597,0.245691593004186,1.040888354169192,-0.1039004171436329,-0.5188976922149604,-0.5151640875169385,1.2097432759320674,-0.0762292463318286,1.443012741540694,-0.8267924033368044,0.9130384832044284,1.1864392955552714,-0.7862994019344902,0.1692414841488165,0.244594021951997,-0.3702801997874245,0,2,0,1
manager and assistant,-0.3105421778449102,-1.0080915185024446,-0.5994844934973746,-1.0290993842142728,0.9277765801611944,-0.8166825118597597,0.5935646594690154,-0.71559919114084,-0.3189768782746822,1.4417773200173554,1.1254606253418395,0.7146375075344643,-0.4959988068635498,0.6299673537632704,1.514236319820961,0.3641660065332974,1.485715316551363,-0.9032633038777133,-0.3265262120260922,0.2159367285997996,0.069657888605608,0.1889954739004798,0.3293217715655958,-0.5116506822213442,0.4228932900126071,1.2549976947877215,-0.7141423395637706,-0.3066481553628886,0.7087020392741895,0.4514499972777679,0,2,0,1
entrepreneur and investor,0.0204297437935691,-0.5233306937297988,-1.0885136337857029,-1.102919014123528,1.107528582085195,-0.706937941397082,0.1035986772769162,-1.1554601499761286,0.0889739543319632,1.7022858531288343,1.8576501918361985,-0.2637453746631056,-0.7746695146066751,0.5026101483811417,2.1822220099210483,2.247909181646168,1.1945981945735025,-0.8042271940168536,-0.5556745928393029,-0.0537088195497197,2.319015544682136,-0.0506654178757026,0.4489127482072174,0.124752016730264,-0.4757062308390658,1.1900476323569795,0.4061909972447733,-0.889422098936046,0.1139228326088557,-0.6290256943650457,0,2,0,4
drug dealer and addict,0.0604666697982238,-0.7156961003856105,-0.707525815188982,-0.6376316498470105,-0.3861249577118575,-0.4298329009788209,-1.902928678366917,-1.3078872149190504,0.255987382446093,0.5103364327602764,1.8631970824914588,-0.8429030578030463,-0.6999042027731536,-1.9563635863045807,2.0770081466452104,3.6577547026425927,1.1247300852988158,-0.4623168147353149,-0.3633031126504346,0.5022613828204235,1.2953352719775972,1.700456831368937,-0.9488067912917316,-0.1291971371783105,-0.5855663603475775,0.443121914403447,0.3947977768704487,-0.4440708320133274,0.753761070082169,0.6561717072732483,0,2,0,4
victim and witness,-0.4199764422576333,0.2615201654259134,-0.7188985858933618,-0.7561904493982384,0.2579863825158112,-0.7151687841817828,-0.698428972144674,0.0770215465623531,-1.0938096677222031,-0.5734773700903094,-0.4193484221481526,0.4503616715385689,-0.6342013529800591,-1.0746598567359948,-0.7392978215057073,-0.986442307698572,-0.5800517810035347,-0.6863270632301162,-0.4962657533692112,-0.1120856907985847,-0.8958198267879702,0.3679422730933626,0.9795977070544116,-0.6891091271213121,-0.9545837184402708,-0.6826791677294132,0.0112260242682018,-1.2915106713577005,-0.2510553169357812,0.3832094272792747,0,0,2,3
criminal and police officer,-2.2109615988658566,-1.1581365356939777,-1.0600817070247537,-1.0984450971593307,0.9042376275282894,-0.8770420256142324,0.0744340354797674,-1.2534489774394355,-1.5373535259925155,0.7315229231379468,0.6650687009552348,-1.3067914933277562,-1.1303711496934283,-1.456731472882382,-0.2915271940759785,-1.0061880432867571,0.1186293117433302,-1.2640377040851298,-0.5811355240407707,2.5454518765307,-1.0738511785626728,3.352519245346088,1.614924770463025,-1.1480533811729527,-2.2391021557705617,1.024064139478417,0.2466859120042349,-1.3780360603598287,-0.0978546121886497,0.6931353493557657,0,0,2,3
criminal and prosecutor,-2.515242236501233,-0.8772830419764924,-0.3521267306771155,-1.0805494293025415,1.101108867730766,-0.8660675685679646,0.6577268714227426,-1.1140870894916213,-1.2005887447132042,1.1149128397925756,0.742725170128879,-0.415563408107556,-1.1439648427540687,-0.881991263978415,-0.3306765385507089,-1.0259337788749423,0.2537076563410576,-1.167359596840005,-0.5415296310607096,2.1562727348715995,0.8639516119081262,2.4162440281404685,1.4243266514404411,-0.3433711224024095,-2.402483886834502,0.8887515094143711,-0.0001671961061219,-1.393305246654322,0.3392179866487547,0.1728010031172529,0,0,2,3
customer and businessman,-0.05697497981543,-0.3425072114733357,-1.4296967549170945,-0.9977819654648918,0.9448958184396706,-0.6548092704273101,0.8706287565419281,-1.207720857956559,-0.2477908269473482,1.53516717151015,1.985228676907185,-1.256185482179606,-0.7361540509348611,-0.0427399362038724,1.9424322750133247,3.4760939352312894,1.3739263417118646,-1.0753974948263498,-0.473633814523462,-0.1843618171067032,2.3121681849984936,0.6523398646677658,0.4339638761270145,-1.1664111513350184,-1.0672607743464366,0.9609182454485286,-0.2166383832182815,-1.629977634218967,-0.3006202508245585,-0.2423291310402492,0,2,0,4
representative and citizen,-0.3959542866548404,-0.8599701553774693,-1.3159690478732975,-1.0067297993932864,0.9320563897308134,-0.6465784276426093,1.3664276670934563,-0.6872913076514403,-0.4503972807251452,0.9404212751613024,0.0909655181357943,-1.1324818993730168,-0.5481079635960041,-0.166831572217229,0.3006066411043187,-0.378273651582467,1.2039139424767935,-0.9339173378822648,-0.5613325775507402,0.4077464484174991,1.3466904696049156,0.118694945646133,2.5342804033954884,-0.5483662225454756,0.1412006502471921,0.7498305425486176,-2.153485846853391,-0.6603843045186478,-1.4000606025392663,-1.803332169755788,0,2,0,1
