,Australia,Brazil,Chile,China,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,10.748983240025089,4.135977317654761,7.278097926043767,3.363519515864109,4.1307009793729,3.9323498604577014,3.9424620202515293,3.879561341410377,3.7934043261589423,3.1632382315542555,3.6882884481362512,4.2337022593274565,3.5254127017289574,3.3532969002180693,1.5889388584445157,4.545177410700248,2.989997017925655,1.4839102063787817
Brazil,10.748983240025089,0.0,7.417309442393194,4.174131423675959,11.727106427194395,7.289705723879666,7.130566610927406,10.511738535083163,8.178076296074732,8.00059207086585,10.58170161695762,7.932451743634821,10.939559148705905,10.184782608916725,9.315694436980836,10.962490391882021,6.559995317855671,13.50296982687065,10.47152703458725
Chile,4.135977317654761,7.417309442393194,0.0,3.7809441440849696,4.646768591476571,1.9300938034521764,2.1409795934247424,3.694673690181997,1.731339758266129,1.4647948860667999,4.019402976057596,1.8684875925845688,4.541918175740348,4.0251864361220155,2.501987073867987,4.153188551574698,1.3632487549595278,6.66374664369307,3.357185499530735
China,7.278097926043767,4.174131423675959,3.7809441440849696,0.0,7.922207729784518,3.841291183792804,3.7061650354543536,6.516639500616659,4.416128424181854,4.361587007048296,6.701148922288099,4.599772835858409,7.134875333752939,6.264697840963742,5.5504682724641174,7.529313759308707,3.0116764818850315,9.872104716447826,6.81740934142653
Egypt,3.363519515864109,11.727106427194395,4.646768591476571,7.922207729784518,0.0,4.646039825259168,4.935953464901627,2.567724164520533,3.98924080198002,3.7791389371728563,2.3178231658401702,4.727858691884199,2.2139446090782005,4.29860373134558,2.7943333438775597,2.5179890111052123,5.2184369535626995,3.3340534859216855,2.8944340721341026
France,4.1307009793729,7.289705723879666,1.9300938034521764,3.841291183792804,4.646039825259168,0.0,0.9865988376798883,3.814411320686218,1.704893975585707,1.1983925180240398,3.500683734363307,2.5299699409840826,4.014313808729845,4.163914511591273,2.449611119881536,4.161577794736771,1.204377046738414,6.483301491905945,3.9186692812947044
Germany,3.9323498604577014,7.130566610927406,2.1409795934247424,3.7061650354543536,4.935953464901627,0.9865988376798883,0.0,4.269636333087228,2.0732906451789184,1.706369975160513,3.777533455893102,2.281533647183693,4.503741157375874,4.089269189691382,2.7733526852269823,4.118337189725052,1.189091344896016,6.4557032556482055,3.841966498410772
Hong Kong,3.9424620202515293,10.511738535083163,3.694673690181997,6.516639500616659,2.567724164520533,3.814411320686218,4.269636333087228,0.0,2.8888724451956733,3.128322301149758,1.6357358146826795,4.401350349356393,1.9325208542304768,2.8580622991317064,2.366033335750573,3.9595692516263576,4.346890807227338,4.869422972602189,3.2485598773615387
India,3.879561341410377,8.178076296074732,1.731339758266129,4.416128424181854,3.98924080198002,1.704893975585707,2.0732906451789184,2.8888724451956733,0.0,1.148904180552373,2.9291186928799244,1.99713794581905,3.741268858148295,3.0994663738014916,1.299078399241837,3.9059609403974385,2.0279945276990867,6.101347573783016,3.196063996455631
Israel,3.7934043261589423,8.00059207086585,1.4647948860667999,4.361587007048296,3.7791389371728563,1.1983925180240398,1.706369975160513,3.128322301149758,1.148904180552373,0.0,3.069814612700192,2.092228697994163,3.511825466139585,3.870950541777323,1.530817197101892,3.555364070015758,1.5610216744800955,6.002931099337511,3.225668586714341
