Country Name,Australia,Brazil,Chile,China,"Egypt, Arab Rep.",France,Germany,"Hong Kong SAR, China",India,Israel,Japan,Mexico,Portugal,Qatar,Russian Federation,South Africa,Spain,United Kingdom,United States
Australia,0.0,0.724617216472778,1.598278262308508,6.354932129725749,1.690916673988,1.0138537587275473,1.6241980665684395,3.865915809273712,1.3221167099053974,2.4841872760179102,1.6587836280308275,1.4631341410526975,1.0639605957076397,1.8203533286649258,0.8114398862543319,1.3570046419447004,1.055737119078838,0.6552102866339369,4.309943093519694
Brazil,0.724617216472778,0.0,0.9018646739276847,6.444787338656903,1.123153289041357,1.4600826748462836,2.0903927369139406,3.9609787660840645,0.6719788304700046,3.173522317958993,2.193047853144782,0.9453396537523113,0.7021675607005352,1.221317528834966,0.18236967417394764,0.7384673971734554,0.6148918495596282,0.8942148907745929,4.577862894379732
Chile,1.598278262308508,0.9018646739276847,0.0,6.808907743256383,0.5544960979695305,2.265548406934862,2.7852753467620626,4.4906788792503285,0.5002301537361848,3.9417750657913357,2.948288914968884,1.1581516800662537,0.8550445301361363,0.5345421878426471,0.7970028483331763,0.3768325205934819,0.7613090018356776,1.7039530320601495,5.141011016592497
China,6.354932129725749,6.444787338656903,6.808907743256383,0.0,6.894826391448605,5.923885291147323,5.599653998055589,5.853164316962181,6.551209138047901,6.750365990105647,5.270945459187124,6.288884908382298,6.685941943112645,6.94269763082293,6.457455045603365,6.738583219328953,6.623053987551712,6.069588498791334,5.392644475133421
"Egypt, Arab Rep.",1.690916673988,1.123153289041357,0.5544960979695305,6.894826391448605,0.0,2.4193227497964185,2.7100929529740965,4.90837396767459,0.6651889219680451,3.8297508788809798,2.890184974888666,1.6343995599625016,0.6940823033017642,0.15600974267293008,0.9706152078922076,0.3938539366481409,0.6759866135505587,1.9128723382430932,5.144619152749117
France,1.0138537587275473,1.4600826748462836,2.265548406934862,5.923885291147323,2.4193227497964185,0.0,1.2338095860495908,3.139399622146778,2.068870866614411,2.2904887532641984,1.5777262690827847,1.721535697872493,1.810300920031008,2.5373023571854647,1.5471905844162397,2.088518547830105,1.7655853027005297,0.5923523284031531,4.501469308975647
Germany,1.6241980665684395,2.0903927369139406,2.7852753467620626,5.599653998055589,2.7100929529740965,1.2338095860495908,0.0,3.969615412479355,2.4937424410847884,1.9104472012692508,1.0992519687246727,2.57294433259748,2.125373984433012,2.8456515042298265,2.1086304518039167,2.502371124831365,2.127083131646381,1.5539914898380651,4.169329320956623
"Hong Kong SAR, China",3.8659158092737123,3.9609787660840645,4.4906788792503285,5.853164316962182,4.90837396767459,3.139399622146778,3.969615412479355,0.0,4.413430764798414,4.872456293046691,4.193435066186071,3.3566266000371314,4.552210256293471,4.953552705683156,4.093989013819254,4.55234590884371,4.443910040722355,3.301142784693949,5.68282184886618
India,1.3221167099053974,0.6719788304700046,0.5002301537361851,6.551209138047902,0.665188921968045,2.068870866614411,2.4937424410847884,4.413430764798414,0.0,3.6876441521060097,2.586713803002563,1.1448554083304665,0.7372919056611796,0.7165303660726452,0.5897431004990422,0.3876791951297702,0.6508894401948416,1.5138954049139388,4.65114444484585
Israel,2.4841872760179102,3.173522317958993,3.9417750657913357,6.750365990105647,3.8297508788809798,2.2904887532641984,1.9104472012692508,4.872456293046691,3.6876441521060097,0.0,1.8838298779676772,3.8451676369997903,3.1548639118854087,3.9841153416147823,3.2038909416879533,3.6253519948301793,3.2193675608141166,2.6809760940555183,4.744481166635427
