Country,Australia,Brazil,Chile,China,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,3.2999999999999994,3.3999999999999995,1.7000000000000022,4.5,0.3000000000000057,0.3000000000000057,1.6000000000000008,1.5999999999999996,1.0999999999999988,0.6000000000000054,4.5,4.199999999999999,0.09999999999999006,0.6999999999999988,1.9999999999999991,1.6999999999999986,0.5000000000000036,1.5
Brazil,3.2999999999999994,0.0,0.10000000000000338,5.0,1.2,3.6,3.0,4.9,1.7000000000000002,2.2,3.9000000000000004,1.2,0.8999999999999997,3.4000000000000004,2.600000000000001,1.3000000000000005,1.6,2.8,1.8000000000000005
Chile,3.3999999999999995,0.10000000000000338,0.0,5.1,1.1,3.6999999999999997,3.1,5.0,1.7999999999999996,2.3,4.0,1.1,0.8000000000000003,3.5,2.7000000000000006,1.4000000000000004,1.6999999999999997,2.8999999999999995,1.9
China,1.7000000000000013,5.0,5.1,0.0,6.2,1.4000000000000004,2.000000000000001,0.09999999999999006,3.3000000000000003,2.7999999999999994,1.1000000000000036,6.2,5.9,1.6000000000000008,2.3999999999999995,3.6999999999999997,3.4,2.2000000000000006,3.200000000000001
Egypt,4.5,1.1999999999999997,1.1,6.2,0.0,4.8,4.2,6.1,2.9,3.4,5.1000000000000005,0.0,0.29999999999999977,4.6000000000000005,3.8000000000000007,2.5,2.8,3.9999999999999996,3.0
France,0.29999999999999977,3.6,3.6999999999999997,1.4000000000000004,4.8,0.0,0.6000000000000025,1.2999999999999992,1.9,1.4000000000000004,0.2999999999999938,4.8,4.5,0.19999999999999787,1.0,2.3,1.9999999999999996,0.8000000000000004,1.8000000000000016
Germany,0.3000000000000057,3.0,3.1,2.0000000000000018,4.2,0.5999999999999995,0.0,1.9000000000000037,1.3000000000000005,0.8000000000000026,0.9000000000000052,4.2,3.9,0.40000000000000463,0.4000000000000002,1.7000000000000013,1.400000000000001,0.20000000000000676,1.200000000000002
Hong Kong,1.5999999999999996,4.9,5.0,0.09999999999999006,6.1,1.2999999999999992,1.9000000000000026,0.0,3.2,2.700000000000001,1.0000000000000036,6.1,5.8,1.5000000000000024,2.300000000000001,3.6,3.3000000000000007,2.100000000000001,3.1000000000000005
India,1.5999999999999996,1.7000000000000002,1.7999999999999998,3.3000000000000003,2.9,1.9,1.3000000000000005,3.2,0.0,0.5,2.2000000000000006,2.9,2.6,1.7000000000000002,0.9000000000000012,0.4000000000000002,0.09999999999999894,1.1000000000000003,0.10000000000000782
Israel,1.0999999999999988,2.2,2.3,2.7999999999999994,3.4,1.4000000000000004,0.8000000000000026,2.700000000000001,0.5,0.0,1.7000000000000002,3.4,3.1,1.199999999999999,0.40000000000000463,0.9000000000000012,0.5999999999999981,0.5999999999999995,0.4000000000000002
Japan,0.6000000000000025,3.9000000000000004,4.0,1.1000000000000036,5.1000000000000005,0.2999999999999938,0.9000000000000032,1.0000000000000036,2.2000000000000006,1.7000000000000002,0.0,5.1000000000000005,4.800000000000001,0.5,1.3000000000000018,2.600000000000001,2.300000000000001,1.1000000000000036,2.100000000000002
Mexico,4.5,1.1999999999999997,1.1,6.2,0.0,4.8,4.2,6.1,2.9,3.4,5.1000000000000005,0.0,0.29999999999999977,4.6000000000000005,3.8000000000000007,2.5,2.8,3.9999999999999996,3.0
Portugal,4.199999999999999,0.8999999999999998,0.8000000000000004,5.9,0.29999999999999977,4.5,3.9,5.8,2.6,3.1,4.800000000000001,0.29999999999999977,0.0,4.3,3.5000000000000004,2.2,2.4999999999999996,3.6999999999999997,2.6999999999999997
Qatar,0.10000000000000782,3.4000000000000004,3.5,1.6000000000000008,4.6000000000000005,0.19999999999999787,0.4000000000000002,1.5000000000000024,1.7000000000000002,1.199999999999999,0.5,4.6000000000000005,4.3,0.0,0.8000000000000004,2.100000000000001,1.8,0.5999999999999995,1.6000000000000019
Russia,0.6999999999999988,2.600000000000001,2.7000000000000006,2.3999999999999995,3.8000000000000007,1.0,0.4000000000000002,2.300000000000001,0.9000000000000012,0.40000000000000463,1.3000000000000018,3.8000000000000007,3.5000000000000004,0.8000000000000004,0.0,1.3000000000000018,1.0000000000000027,0.20000000000001564,0.8000000000000026
South Africa,1.9999999999999991,1.3000000000000005,1.4,3.6999999999999997,2.5,2.3,1.7000000000000013,3.6,0.4000000000000002,0.9000000000000012,2.600000000000001,2.5,2.2,2.100000000000001,1.3000000000000018,0.0,0.3000000000000027,1.5,0.5
Spain,1.699999999999999,1.6,1.7,3.4000000000000004,2.8,2.0,1.4000000000000015,3.300000000000001,0.09999999999999894,0.5999999999999995,2.300000000000001,2.8,2.5,1.8000000000000005,1.0000000000000036,0.3000000000000027,0.0,1.200000000000002,0.20000000000000676
United Kingdom,0.5000000000000036,2.8,2.8999999999999995,2.2000000000000006,3.9999999999999996,0.8000000000000004,0.20000000000000676,2.100000000000001,1.1000000000000003,0.5999999999999995,1.1000000000000036,3.9999999999999996,3.6999999999999997,0.5999999999999995,0.20000000000001564,1.5,1.2000000000000013,0.0,1.0000000000000018
United States,1.5,1.8000000000000005,1.9000000000000001,3.2,3.0,1.8000000000000016,1.200000000000002,3.1,0.10000000000000782,0.4000000000000002,2.100000000000001,3.0,2.7,1.6000000000000019,0.8000000000000026,0.5,0.20000000000000231,1.0000000000000018,0.0
