,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Russia,Israel,Japan,China,Hong Kong,Qatar
United States,0.0,5.0,5.0,28.0,2.0,9.0,37.0,23.0,41.0,17.0,29.0,23.0,40.0,53.0,27.0,14.0,40.0,28.0,53.0
United Kingdom,5.0,0.0,0.0,33.0,3.0,14.0,42.0,28.0,46.0,22.0,34.0,28.0,45.0,58.0,22.0,19.0,45.0,33.0,58.0
Germany,5.0,0.0,0.0,33.0,3.0,14.0,42.0,28.0,46.0,22.0,34.0,28.0,45.0,58.0,22.0,19.0,45.0,33.0,58.0
France,28.0,33.0,33.0,0.0,30.0,19.0,9.0,5.0,13.0,11.0,1.0,5.0,12.0,25.0,55.0,14.0,12.0,0.0,25.0
Australia,2.0,3.0,3.0,30.0,0.0,11.0,39.0,25.0,43.0,19.0,31.0,25.0,42.0,55.0,25.0,16.0,42.0,30.0,55.0
South Africa,9.0,14.0,14.0,19.0,11.0,0.0,28.0,14.0,32.0,8.0,20.0,14.0,31.0,44.0,36.0,5.0,31.0,19.0,44.0
India,37.0,42.0,42.0,9.0,39.0,28.0,0.0,14.0,4.0,20.0,8.0,14.0,3.0,16.0,64.0,23.0,3.0,9.0,16.0
Chile,23.0,28.0,28.0,5.0,25.0,14.0,14.0,0.0,18.0,6.0,6.0,0.0,17.0,30.0,50.0,9.0,17.0,5.0,30.0
Mexico,41.0,46.0,46.0,13.0,43.0,32.0,4.0,18.0,0.0,24.0,12.0,18.0,1.0,12.0,68.0,27.0,1.0,13.0,12.0
Spain,17.0,22.0,22.0,11.0,19.0,8.0,20.0,6.0,24.0,0.0,12.0,6.0,23.0,36.0,44.0,3.0,23.0,11.0,36.0
Brazil,29.0,34.0,34.0,1.0,31.0,20.0,8.0,6.0,12.0,12.0,0.0,6.0,11.0,24.0,56.0,15.0,11.0,1.0,24.0
Portugal,23.0,28.0,28.0,5.0,25.0,14.0,14.0,0.0,18.0,6.0,6.0,0.0,17.0,30.0,50.0,9.0,17.0,5.0,30.0
Egypt,40.0,45.0,45.0,12.0,42.0,31.0,3.0,17.0,1.0,23.0,11.0,17.0,0.0,13.0,67.0,26.0,0.0,12.0,13.0
Russia,53.0,58.0,58.0,25.0,55.0,44.0,16.0,30.0,12.0,36.0,24.0,30.0,13.0,0.0,80.0,39.0,13.0,25.0,0.0
Israel,27.0,22.0,22.0,55.0,25.0,36.0,64.0,50.0,68.0,44.0,56.0,50.0,67.0,80.0,0.0,41.0,67.0,55.0,80.0
Japan,14.0,19.0,19.0,14.0,16.0,5.0,23.0,9.0,27.0,3.0,15.0,9.0,26.0,39.0,41.0,0.0,26.0,14.0,39.0
China,40.0,45.0,45.0,12.0,42.0,31.0,3.0,17.0,1.0,23.0,11.0,17.0,0.0,13.0,67.0,26.0,0.0,12.0,13.0
Hong Kong,28.0,33.0,33.0,0.0,30.0,19.0,9.0,5.0,13.0,11.0,1.0,5.0,12.0,25.0,55.0,14.0,12.0,0.0,25.0
Qatar,53.0,58.0,58.0,25.0,55.0,44.0,16.0,30.0,12.0,36.0,24.0,30.0,13.0,0.0,80.0,39.0,13.0,25.0,0.0
