,Australia,Brazil,Chile,China,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,3.4520185599835,2.2129832127110673,4.396530192033723,2.9399497834052735,2.23230663780712,4.266698817220098,3.713513459161985,4.243755366231873,3.499042362157994,3.972406608701545,5.196495638548974,1.3157664295993294,3.1172033434484003,7.041672362562982,1.269860732260805,1.9255665603929537,1.4767490452800187,1.32501790753683
Brazil,3.4520185599835,0.0,2.57113164669494,3.182805488763557,2.8435789397742632,3.528535055789558,4.495583001840721,4.145017922201953,2.655460334766135,1.9616169784364257,4.742460822612783,4.003411690134833,3.2084987808224237,0.8539853628549756,6.61367076330614,3.403394812855177,2.7731801656337605,4.44868887246688,3.178750343398984
Chile,2.2129832127110673,2.57113164669494,0.0,3.570710863821061,2.96749490553231,1.9994140190291605,3.320225624817733,3.114957418569838,3.822518553629555,2.752670037543649,3.432563957023199,3.9367318457201166,1.4742540744306938,2.45972768633275,5.9871733083099175,2.348091525743346,2.1198616523633387,2.638036749269827,2.228090432279602
China,4.396530192033723,3.182805488763557,3.570710863821061,0.0,4.168780084493014,4.0013282044443255,4.359639510008415,2.515469973151817,4.279656073462787,3.5264817661869503,3.4858164284981212,3.0615239905418723,4.163932693386409,2.9648395933493688,4.782704308221988,3.9515277272482936,3.5466869171562925,4.858564041566368,4.420861881340136
Egypt,2.9399497834052735,2.8435789397742632,2.96749490553231,4.168780084493014,0.0,3.185079588018019,4.180468018909252,4.470522447777495,3.46939412085022,2.4340504945973165,4.933715823953453,3.8030309652737904,2.711116938669546,2.4782392039584367,6.879051419357146,3.005866373541059,2.33186049829188,3.662859134856575,2.745532500678812
France,2.23230663780712,3.528535055789558,1.9994140190291605,4.0013282044443255,3.185079588018019,0.0,2.142152653167762,2.527236161285317,5.280998079405913,2.6550076876009627,2.4564164101326336,3.827899069459593,1.4555372541431004,3.471381372233046,5.155628648266674,1.622831207015806,2.0918738305785904,1.7648241096264612,2.1949859342616915
Germany,4.266698817220098,4.495583001840721,3.320225624817733,4.359639510008415,4.180468018909252,2.142152653167762,0.0,2.764143666454524,6.411950076436533,3.297428816133511,2.6340179823162324,2.8631174503734687,3.4138501263134593,4.634397913906841,3.7014178002027607,3.6576969357315567,3.3442165726234796,3.6882065623298486,4.209587836115709
Hong Kong,3.713513459161985,4.145017922201953,3.114957418569838,2.515469973151817,4.470522447777495,2.527236161285317,2.764143666454524,0.0,5.730712578376136,3.7027725073425293,1.188238564955821,3.2910390032677888,3.298074330772586,4.022080324704054,3.631382424390853,3.0148299245251278,3.1535699124462537,3.402235359971475,3.874768062691365
India,4.243755366231873,2.655460334766135,3.822518553629555,4.279656073462787,3.46939412085022,5.280998079405913,6.411950076436533,5.730712578376136,0.0,4.252242097875256,6.526898700144937,5.4436608676385445,4.466335679858781,2.3849229771842215,8.522909451926536,4.792362557286151,3.811242114632607,5.549468013370274,4.375437939691139
Israel,3.499042362157994,1.9616169784364257,2.752670037543649,3.5264817661869503,2.4340504945973165,2.6550076876009627,3.297428816133511,3.7027725073425293,4.252242097875256,0.0,3.963648060360236,3.1991653375453546,2.8115491951283196,2.081650266222745,5.590677352588534,2.9165672503776054,2.828255550288764,3.9600063417975377,2.8524552567425303
Japan,3.972406608701545,4.742460822612783,3.432563957023199,3.4858164284981212,4.933715823953453,2.4564164101326336,2.6340179823162324,1.188238564955821,6.526898700144937,3.963648060360236,0.0,3.822809822009839,3.3481658131826233,4.620651021638196,3.432891005744294,3.082584022753656,3.792296036901759,3.2933998385595467,3.915082046140168
Mexico,5.196495638548974,4.003411690134833,3.9367318457201166,3.0615239905418723,3.8030309652737904,3.827899069459593,2.8631174503734687,3.2910390032677888,5.4436608676385445,3.1991653375453546,3.822809822009839,0.0,4.459179758395463,4.017216977686267,3.7467079394981107,4.666196702583626,3.863978960962023,5.225052134829656,5.036077006479435
