"","Activeness","Exchange","Formality","Valence","Equality","cl_k3"
"Teach Assistant-Student",0.608313133392386,0.200505193439676,0.981136515321621,0.385752018266167,-0.264186994318948,1
"Senior student-Junior student",-0.455989236178977,-0.816253457691003,0.086525541773849,1.22688027011931,-0.0154123907073464,0
"President of student union-Member of student union",0.368972608350286,-0.0554769591237369,0.709257091101609,0.150360700468405,0.236684672330911,1
"Club president-Club member",0.472998342142016,-0.146689308208108,0.850010907104331,0.0235012865605682,0.408628263429311,1
"Teacher-Parent",0.0661018848522066,-0.284640140137439,1.13563796479347,0.655202902751914,0.256232819809462,1
"Examer-Examinee",-1.17299029815849,-1.051866497409,1.70072898725206,0.0709062305393252,-0.766347257212975,1
"Parent-Head teacher",-0.261312132199816,-0.281743818590272,0.92879611852166,0.789288297310405,0.10455063658673,1
"Private Teacher-Student",0.723637840838607,1.27006092250619,0.512300579853124,0.201434842586134,-0.134310295730774,1
"Graduate advisor-College student",0.377892241625648,0.107219281147896,0.945289803143947,0.434315272009111,-0.622684785500146,1
"Head teacher-Student",0.939831247222252,-0.425997011430054,1.5943085509517,0.266132583635852,-0.630821660106562,1
"Class leader-Class member",0.368559394596043,-0.463354478240969,0.846066868388266,0.530163048383863,0.812108936692028,1
"Creditor-Debtor",-0.147796539378906,1.45419998032408,-1.24735688113525,-1.76029302791468,-0.757057723654834,2
"Original partner-Mistress",-1.14449508225786,-0.284368275043332,-2.48307102328259,-1.74488353753637,-0.657092629996887,2
"Adoptive father-Adoptive child",0.934674188648536,-0.928371977286021,-0.658471856910654,0.504036802092996,-1.08021713088731,0
"Net friends",-1.74105028970342,-0.609944673855169,-1.227038071015,0.910126131658462,1.19889956509067,0
"Local-Visitor",-2.14615137108034,-0.262928550648806,-0.577127665554892,0.861111858674887,0.232698653977333,0
"Master-Apprentice",1.31457876367802,-0.206728372012002,0.241246572171251,-0.0911901325867155,-0.897688798445068,1
"Sport mates",0.309399673165658,-0.469873383267154,0.164881348618605,0.498829120494222,1.98194606605021,0
"Childhood sweetheart",1.19506997900159,-0.903245393044672,-1.03733390728397,0.493908834806545,0.634213998691858,0
"Beggar-Passerby",-3.02532047467744,-0.372312774934192,-1.02940392143706,1.85687498529232,-0.777217508390585,0
"Travel mates",0.651852783380237,-0.0988247133007754,-0.968444153132386,0.163857181995327,1.91248812165684,0
"Fellow townsman",-0.341128913939655,-0.391791455090193,-0.808628885025332,1.14921330329018,0.43132282363279,0
"Old friends",1.08438512100698,-0.890526334584514,-0.553886253856268,0.590726255621122,1.05474420566408,0
"God Parent-God Child",0.6873358770492,-0.846752808012078,-0.894545947387802,0.761430729061922,-1.05021960424333,0
"Accosting people-Accosted people",-1.80983487423429,-0.48873709651332,-1.43219506942552,0.45383746358501,0.497753200198509,0
"Reporter-Victim",-0.722515054426554,-0.831241114534825,-0.0640464677050228,-0.850182227505129,-0.562888194299575,2
"People who are flirting",1.03230102566379,0.280469201521486,-2.42747241055393,-0.063426290344074,0.998940432018931,0
"Parent-Son/Daughter",1.86814727272751,-0.994934085055372,-0.79992646640091,0.148324691957403,-1.74905443128919,0
"Family in law",0.793963982298812,-0.870136788669211,-0.7615088540517,0.604599871092758,0.775616946098581,0
"Mother in law-Wife",1.13397773734523,-0.590981163588661,-0.732623265925064,-0.388231631798231,-0.420392079530791,0
"Criminal-Passerby",-2.53729267410908,-1.21084623270939,-0.434881507844854,-0.208425609817256,-0.761102076319675,2
"Criminal-Victim's family",-1.33535774445099,-1.04874584730447,-0.64245957559346,-1.98373328106731,-1.12825172722371,2
