,Dim1,Dim2,cl_k2,cl_h2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6
USA,6.3049135,-3.7415054,1,0,1,2,3,2,0,2,2,0
UK,6.6591187,-3.4597871,1,0,1,2,3,2,0,2,2,0
Australia,6.079749,-3.3617659,1,0,1,2,3,2,0,2,2,0
South Africa,6.384095,-3.074868,1,0,1,2,3,2,0,2,2,0
Germany,5.408632,-3.2009811,1,0,1,0,0,0,4,1,1,1
Japan,2.8315148,-1.6474197,0,1,2,1,1,3,3,3,0,3
Israel,5.00689,-4.109444,1,0,0,0,0,0,2,4,4,4
CHN,2.9243345,-1.2834568,0,1,2,1,1,3,3,3,0,3
HK(region),2.6523798,-1.1799378,0,1,2,1,1,3,3,3,0,3
France,4.7941794,-3.2091422,0,0,0,0,0,0,4,1,1,1
Spain,4.4874897,-2.8280783,0,0,0,0,2,0,4,1,1,1
Mexico,3.6840599,-2.7399306,0,0,0,0,2,1,1,0,5,2
Chile,4.49904,-3.4586704,0,0,0,0,2,0,4,1,1,1
Portugal,4.145813,-3.9873357,0,0,0,0,2,1,1,0,3,5
Brazil,3.7530365,-3.840521,0,0,0,0,2,1,1,0,3,5
Russia,5.5784206,-4.149999,1,0,1,0,0,0,2,4,4,4
Egypt,6.4640355,-2.5805378,1,0,1,2,3,2,0,2,2,0
Qatar,4.0027347,-3.3135338,0,0,0,0,2,1,1,0,3,2
India,6.835478,-2.9955826,1,0,1,2,3,2,0,2,2,0
