,0
0,Parent and Child
1,Parent and Teenager
2,Wife and Husband
3,Fiance and Fiancee
4,Between Siblings
5,Between divorced spouses
6,Between a person and their in-laws
7,Between cousins
8,Employer and Employee
9,Interviewer and Job applicant
10,Guard and Prisoner
11,Nurse and Patient
12,Therapist and Patient
13,Salesperson and Customer
14,Between Business Partners
15,Between opposing negotiators
16,Between political opponents
17,Between business rivals
18,Between enemies
19,Teacher and Student
20,Professor and Graduate student
21,Master and Servant
22,Between Close Friends
23,Between casual acquaintances
24,Between teammates in sports
25,Between second cousins
26,Parent and Infant
27,Grandparent and Grandchild
28,Step-parent and Step-child
29,Foster-parent and Foster-child
30,Godparent and Godchild
31,Step-grandparent and Step-grandchild
32,Ancestor and Descendant
33,Bride and Groom
34,Man and His Mistress
35,Man Wife and Man Mistress
36,Brother and Sister
37,Between step-siblings
38,Between distant relatives
39,Between close relatives
40,Between twins
41,Between a person and their family friends
42,Between a person and their deceased spouse
43,Manager and Staff
44,Foreman and Laborer
45,Owner and Manager
46,Union leader and union member
47,Manager and Assistant
48,Chief and Deputy
49,Supervisor and Subordinate
50,Boss and Secretary
51,Entrepreneur and Investor
52,Intern and Employee
53,Lawyer and Client
54,Judge and Lawyer
55,Victim and Criminal
56,Drug dealer and Addict
57,Victim and Witness
58,Criminal and Police officer
59,Criminal and Prosecutor
60,Criminal and Hostage
61,Defendant and Plaintiff
62,Police officer and Offender
63,Police officer and Civilian
64,Parole officer and Parolee
65,Consultant and Client
66,Chef and Customer
67,Customer and Server
68,Customer and Businessman
69,Doctor and Patient
70,Doctor and Nurse
71,Patient and Caretaker
72,Driver and Passenger
73,Coach and athlete
74,Team Captain and Team Members
75,Club Member and Club President
76,Politician and Supporter
77,Leader and Follower
78,Representative and Citizen
79,Officer and Soldier
80,Babysitter and Infant
81,Religious leader and Congregant
82,Between religious followers
83,Prostitute and Customer
84,Guide and Tourist
85,Athlete and Referee
86,Slave and Master
87,Reader and Writer
88,Reviewer and Writer
89,Performer and Audience
90,Dealer and Buyer
91,Sugar-daddy and Sugar-baby
92,Director and Performer
93,Psychologist and Client
94,Judge and Contestant
95,Man and God
96,Between Co-workers
97,Between sports rivals
98,Between romantic rivals
99,Between criminal and their accomplice
100,Between diplomats
101,Principal and Teacher
102,Professor and Teaching Assistant
103,University student and Administrator
104,Student and Dorm Resident assistant
105,Mentor and Mentee
106,Athletic trainer and Trainee
107,Researcher and Research Subject
108,Between peers
109,Between classmates
110,Between roommates
111,Between sorority sisters
112,Between fraternity brothers
113,Bride and Bridesmaid
114,Groom and Groomsman
115,Predecessor and Successor
116,Landlord and Tenant
117,Landlord and Housekeeper
118,Guest and Host
119,Television host and Guest
120,Volunteer and Organizer
121,Celebrity and Fans
122,Celebrity and Haters
123,Native and Tourist
124,Bully and Victim
125,Between friends
126,Between Facebook Friends
127,Between a person and their social media follower
128,Between childhood friends
129,Between pen-friends
130,Between friends with benefits
131,Between political allies
132,Between romantic lovers
133,Between ex-lovers
134,Between life-partners
135,Between soul-mates
136,Between strangers
137,Between neighbors
138,Between church members
139,Between fans of the same sports team
140,Between fans of opposing sports teams
141,Superior and Subordinate
142,Aunt and Niece/Nephew
143,Uncle and Niece/Nephew
144,Between frenemies
145,Between half-siblings
146,Between adoptive parents and adopted kids
147,Mother and Infant
148,Between alumni
149,Between a monarch and their minister
150,Between confidants
151,Between a person and their significant other
152,Between companions
153,Between playmates
154,Between competitors in sports
155,Between a person and their crush
156,Between cohabitants
157,Between long-distance lovers
158,Between brothers-in-arms
