"Australia1999-2014","Brazil1999-2014","Chile1999-2014","China1999-2014","Egypt1999-2014","France1999-2014","Germany1999-2014","Great Britain1999-2014","Hong Kong1999-2014","India1999-2014","Israel1999-2014","Japan1999-2014","Mexico1999-2014","Qatar1999-2014","Russia1999-2014","South Africa1999-2014","Spain1999-2014","United States1999-2014"
NA,0.10991071330181,0.0857487393090621,0.159657484087641,0.398445323021187,0.0590646689626438,0.0526263139143889,0.0309409569837515,0.0930254156357457,0.129383492688033,0.0880052846853544,0.103049980589897,0.119470203555177,0.231514706335506,0.114210843106594,0.163761646709097,0.0556898067842561,0.0391414430596926
0.10991071330181,NA,0.0393699269293708,0.183125770514295,0.196808377927245,0.117545096376988,0.119083079304643,0.118216475958846,0.129846585538637,0.0574888687282408,0.078922886787579,0.169106183221475,0.030002409731423,0.111800173522136,0.0913943690899227,0.035911385137566,0.0772136866499981,0.0616742738595365
0.0857487393090621,0.0393699269293708,NA,0.136808502576361,0.185079542688373,0.0939395691435741,0.0805968837683052,0.0884888302254357,0.0940310799104587,0.053344605156501,0.0659684545582513,0.114879347960732,0.0199491123647605,0.154776550365618,0.0485593039523193,0.041465354476938,0.0398179057365879,0.0607866802309397
0.159657484087641,0.183125770514295,0.136808502576361,NA,0.213248757955908,0.225073961974245,0.134535785566629,0.231525555371691,0.112824550708231,0.131668967763095,0.153493440237168,0.15749630077966,0.124603707453313,0.27041871745561,0.104969081127038,0.17399462527426,0.12551466920153,0.156864732461228
0.398445323021187,0.196808377927245,0.185079542688373,0.213248757955908,NA,0.648737732323584,0.333667517941749,0.583846527217031,0.397125703251112,0.120905493469282,0.268172313752532,0.332327669804844,0.133712511635437,0.0591657120528429,0.20714484895045,0.0956737508286027,0.26789388357899,0.205006926204638
0.0590646689626438,0.117545096376988,0.0939395691435741,0.225073961974245,0.648737732323584,NA,0.089417080461302,0.0236192314466282,0.107705029037484,0.178823634297165,0.0832750778840524,0.212960449738565,0.1405006492614,0.209204045345245,0.127637693632323,0.188254882381665,0.046272726656783,0.083782859440023
0.0526263139143889,0.119083079304643,0.0805968837683052,0.134535785566629,0.333667517941749,0.089417080461302,NA,0.0770745385391447,0.0726915892082333,0.126058797899107,0.0804139775047183,0.0745336207404404,0.121686518016714,0.317944979644836,0.0971061125730044,0.146014465701429,0.0435420545519364,0.0830835266843804
0.0309409569837515,0.118216475958846,0.0884888302254357,0.231525555371691,0.583846527217031,0.0236192314466282,0.0770745385391447,NA,0.0936120955197668,0.174603958458959,0.0656080052264634,0.193309361117177,0.135449899985898,0.194617213500665,0.132715921906048,0.166285663963204,0.0463499015784092,0.0543937312504288
0.0930254156357457,0.129846585538637,0.0940310799104587,0.112824550708231,0.397125703251112,0.107705029037484,0.0726915892082333,0.0936120955197668,NA,0.13937772282427,0.102079314000449,0.101482760566371,0.137391312834559,0.244490295912226,0.100867825100735,0.187107079711194,0.0741977569138307,0.109864833100528
0.129383492688033,0.0574888687282408,0.053344605156501,0.131668967763095,0.120905493469282,0.178823634297165,0.126058797899107,0.174603958458959,0.13937772282427,NA,0.109804358091197,0.130795089559762,0.0500969045104467,0.144274371793346,0.076194119934954,0.0389687833078257,0.084302165043055,0.0794144725319235
0.0880052846853544,0.078922886787579,0.0659684545582513,0.153493440237168,0.268172313752532,0.0832750778840524,0.0804139775047183,0.0656080052264634,0.102079314000449,0.109804358091197,NA,0.141354438204635,0.0792281777642792,0.140443878014494,0.130566215868618,0.102192784270458,0.0718756936059257,0.0835091739213456
0.103049980589897,0.169106183221475,0.114879347960732,0.15749630077966,0.332327669804844,0.212960449738565,0.0745336207404404,0.193309361117177,0.101482760566371,0.130795089559762,0.141354438204635,NA,0.139192102936938,0.380941953691997,0.135936603924612,0.179449035322733,0.0871266955854563,0.129563208252733
0.119470203555177,0.030002409731423,0.0199491123647605,0.124603707453313,0.133712511635437,0.1405006492614,0.121686518016714,0.135449899985898,0.137391312834559,0.0500969045104467,0.0792281777642792,0.139192102936938,NA,0.114990281616855,0.0699434855364344,0.0314825410634318,0.0640244532076429,0.0604088212811359
0.231514706335506,0.111800173522136,0.154776550365618,0.27041871745561,0.0591657120528429,0.209204045345245,0.317944979644836,0.194617213500665,0.244490295912226,0.144274371793346,0.140443878014494,0.380941953691997,0.114990281616855,NA,0.186865149964644,0.126399093066367,0.237477817419691,0.185383261591289
0.114210843106594,0.0913943690899227,0.0485593039523193,0.104969081127038,0.20714484895045,0.127637693632323,0.0971061125730044,0.132715921906048,0.100867825100735,0.076194119934954,0.130566215868618,0.135936603924612,0.0699434855364344,0.186865149964644,NA,0.0682120178547964,0.0584495037964002,0.0889178811016966
0.163761646709097,0.035911385137566,0.041465354476938,0.17399462527426,0.0956737508286027,0.188254882381665,0.146014465701429,0.166285663963204,0.187107079711194,0.0389687833078257,0.102192784270458,0.179449035322733,0.0314825410634318,0.126399093066367,0.0682120178547964,NA,0.0956166017645534,0.0576457358653488
0.0556898067842561,0.0772136866499981,0.0398179057365879,0.12551466920153,0.26789388357899,0.046272726656783,0.0435420545519364,0.0463499015784092,0.0741977569138307,0.084302165043055,0.0718756936059257,0.0871266955854563,0.0640244532076429,0.237477817419691,0.0584495037964002,0.0956166017645534,NA,0.075955544802109
0.0391414430596926,0.0616742738595365,0.0607866802309397,0.156864732461228,0.205006926204638,0.083782859440023,0.0830835266843804,0.0543937312504288,0.109864833100528,0.0794144725319235,0.0835091739213456,0.129563208252733,0.0604088212811359,0.185383261591289,0.0889178811016966,0.0576457358653488,0.075955544802109,NA
