,Dim1,Dim2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
guide and tourist,9.639709,13.244206,1,0,0,0,4,4,4,4,4,1
salesperson and customer,9.960616,13.323705,1,0,0,0,4,4,4,4,4,1
sports rivals,16.666508,8.129035,1,0,3,0,0,0,5,1,5,0
drug dealer and addict,10.012348,13.440417,1,0,0,0,4,4,4,4,4,1
facebook friends,4.1629834,16.330303,0,0,0,1,1,1,1,0,1,4
close friends,3.0737133,17.63038,0,0,0,1,1,1,1,0,6,6
chief and deputy,13.217933,9.059553,1,0,3,0,0,0,0,2,0,2
a person and their significant other,5.055247,-6.8012037,2,1,2,3,3,3,3,3,3,3
friends with benefits,4.844221,-6.970759,2,1,2,3,3,3,3,3,3,3
police officer and civilian,15.261086,8.261342,1,0,3,0,0,0,5,1,5,0
consultant and client,9.786609,13.253315,1,0,0,0,4,4,4,4,4,1
customer and businessman,9.878403,13.373737,1,0,0,0,4,4,4,4,4,1
chef and customer,9.823567,13.478624,1,0,0,0,4,4,4,4,4,1
athlete and referee,13.263514,9.094628,1,0,3,0,0,0,0,2,0,2
performer and audience,9.466286,13.588392,1,0,0,0,4,4,4,4,4,1
wife and husband,4.965806,-6.6052356,2,1,2,3,3,3,3,3,3,3
half siblings,-6.980856,9.198099,0,2,1,2,2,2,2,5,2,5
victim and witness,3.480816,16.326406,0,0,0,1,1,1,1,0,1,4
principal and teacher,13.050476,8.816002,1,0,3,0,0,0,0,2,0,2
parent and teenager,-7.6465836,9.156484,0,2,1,2,2,2,2,5,2,5
classmates,4.1591387,16.430567,0,0,0,1,1,1,1,0,1,4
guest and host,9.501173,13.299714,1,0,0,0,4,4,4,4,4,1
judge and lawyer,13.351374,8.862453,1,0,3,0,0,0,0,2,0,2
babysitter and infant,10.153809,12.537569,1,0,0,0,4,4,4,4,4,1
bride and bridesmaid,2.9981363,17.532543,0,0,0,1,1,1,1,0,6,6
a person and their family friends,2.832762,17.659855,0,0,0,1,1,1,1,0,6,6
playmates,2.7718427,17.418207,0,0,0,1,1,1,1,0,6,6
coach and athlete,12.071285,9.080616,1,0,3,0,0,0,0,2,0,2
university student and administrator,12.473434,9.421908,1,0,3,0,0,0,0,2,0,2
religious followers,3.9831007,16.784466,0,0,0,1,1,1,1,0,1,4
criminal and police officer,15.665677,8.086776,1,0,3,0,0,0,5,1,5,0
leader and follower,12.830542,9.192385,1,0,3,0,0,0,0,2,0,2
man and his mistress,4.7921367,-6.911103,2,1,2,3,3,3,3,3,3,3
man and god,12.715199,8.768723,1,0,3,0,0,0,0,2,0,2
volunteer and organizer,12.878228,9.261344,1,0,3,0,0,0,0,2,0,2
romantic rivals,16.70439,8.40804,1,0,3,0,0,0,5,1,5,0
foster parent and foster child,-7.716421,9.359658,0,2,1,2,2,2,2,5,2,5
television host and guest,9.30111,13.230718,1,0,0,0,4,4,4,4,4,1
siblings,-6.899839,8.979468,0,2,1,2,2,2,2,5,2,5
manager and staff,13.443717,9.201772,1,0,3,0,0,0,0,2,0,2
owner and manager,13.575767,8.9874325,1,0,3,0,0,0,0,2,0,2
adoptive parents and adopted kids,-7.521271,9.147212,0,2,1,2,2,2,2,5,2,5
