,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,-19.943687,-4.214026,2,3
nurse and patient,-22.854643,-4.6945615,0,0
man wife and man mistress,-22.164349,-2.8199117,2,2
parent and infant,-11.323321,0.4835301,1,1
a person and their crush,-11.312848,1.0316832,1,1
volunteer and organizer,-23.709581,-5.4392676,0,0
doctor and patient,-22.65233,-4.559786,0,0
prostitute and customer,-22.482187,-1.5221969,2,4
distant relatives,-19.857817,-4.0931964,2,3
landlord and tenant,-23.523687,-4.2186985,0,0
ancestor and descendant,-20.063206,-4.108192,2,3
representative and citizen,-22.775991,-4.580079,0,0
a person and their deceased spouse,-12.194687,1.3195297,1,1
television host and guest,-22.819162,-5.259278,0,0
guest and host,-22.510061,-4.900739,0,0
neighbors,-20.782486,-3.3003378,2,5
dealer and buyer,-22.568886,-5.1496925,0,0
friends,-11.443571,0.23440497,1,1
judge and lawyer,-23.828953,-5.539225,0,0
officer and soldier,-24.012379,-5.0435624,0,0
teammates in sports,-23.097052,-4.3469663,0,0
patient and caretaker,-22.954239,-5.623565,0,0
frenemies,-20.160467,-4.1511064,2,3
enemies,-22.307974,-2.69335,2,2
slave and master,-22.246546,-1.5583214,2,4
therapist and patient,-23.457949,-5.3883224,0,0
godparent and godchild,-11.37391,0.68624115,1,1
step parent and step child,-19.88605,-4.3671665,2,3
wife and husband,-21.435297,-2.274376,2,2
romantic rivals,-19.932102,-4.084116,2,3
romantic lovers,-21.297314,-2.258537,2,2
brothers in arms,-11.811107,1.3142612,1,1
driver and passenger,-23.051146,-4.198387,0,0
employer and employee,-22.806965,-5.6672516,0,0
university student and administrator,-23.9974,-5.229547,0,0
athletic trainer and trainee,-23.833977,-4.3833385,0,0
native and tourist,-19.940943,-4.3952656,2,3
co workers,-23.989672,-4.6713023,0,0
bride and bridesmaid,-11.72507,0.6239667,1,1
alumni,-20.802607,-2.9844077,2,5
sports rivals,-22.395159,-2.8046632,2,2
classmates,-20.832762,-3.1410437,2,5
psychologist and client,-23.211966,-5.63813,0,0
reader and writer,-23.717745,-5.291622,0,0
aunt and niece/nephew,-11.637593,1.2316966,1,1
guard and prisoner,-22.19223,-1.5251721,2,4
criminal and police officer,-22.34619,-1.6762387,2,4
church members,-12.134986,0.21635062,1,1
friends with benefits,-21.511442,-2.35796,2,2
parent and child,-12.014402,1.3051412,1,1
predecessor and successor,-20.99513,-3.3845165,2,5
defendant and plaintiff,-22.868359,-5.408564,0,0
roommates,-11.584677,0.51742065,1,1
mentor and mentee,-23.152666,-5.6106043,0,0
customer and businessman,-22.779358,-4.9929004,0,0
superior and subordinate,-22.299559,-1.6997697,2,4
victim and witness,-20.915705,-3.4124236,2,5
leader and follower,-23.818884,-5.013061,0,0
bride and groom,-12.499404,0.40472588,1,1
union leader and union member,-23.677147,-4.5951896,0,0
foster parent and foster child,-20.164068,-4.2304373,2,3
police officer and civilian,-22.291838,-1.4379125,2,4
political opponents,-22.317915,-2.9071484,2,2
teacher and student,-23.282951,-4.152833,0,0
politician and supporter,-23.830198,-4.6785336,0,0
