,Dim1,Dim2,cl_k3,cl_k6
cousins,10.96441,7.0591497,0,3
brother and sister,10.965871,7.2991,0,3
political allies,19.634243,-5.9459653,2,2
supervisor and subordinate,10.80704,10.894132,0,4
religious leader and congregant,17.196548,8.473482,0,0
fans of the same sports team,19.849354,-5.9607916,2,2
principal and teacher,17.484463,8.548143,0,0
celebrity and haters,-17.317343,1.5496513,1,1
a person and their in laws,14.170244,9.030061,0,5
police officer and offender,10.70382,11.158419,0,4
customer and server,19.080713,8.851747,0,0
foreman and laborer,-17.542526,1.6408434,1,1
