,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,4.8609715,16.989935,0,4
nurse and patient,8.847654,16.499624,2,5
man wife and man mistress,8.191834,15.837861,0,5
parent and infant,19.884914,15.051443,1,1
a person and their crush,7.0133705,16.601015,0,2
volunteer and organizer,8.137744,15.40478,0,3
doctor and patient,8.677368,16.731863,2,5
prostitute and customer,8.396251,16.53237,2,5
distant relatives,19.546364,15.375295,1,1
landlord and tenant,7.881292,17.00432,2,5
ancestor and descendant,19.71958,14.897797,1,1
representative and citizen,8.36893,14.377107,0,3
a person and their deceased spouse,19.259897,15.363951,1,1
television host and guest,8.197568,14.573655,0,3
guest and host,6.908699,16.660236,0,2
neighbors,6.753089,16.586857,0,2
dealer and buyer,6.4640517,15.782901,0,2
friends,7.483446,15.570403,0,3
judge and lawyer,7.9989667,15.302512,0,3
officer and soldier,8.926907,18.45829,2,0
teammates in sports,8.332667,14.393101,0,3
patient and caretaker,8.546158,16.51926,2,5
frenemies,8.155036,15.872215,0,5
enemies,5.194721,17.016827,0,4
slave and master,4.9511414,16.653347,0,4
therapist and patient,8.582664,16.780165,2,5
godparent and godchild,19.426231,15.454611,1,1
step parent and step child,19.346561,14.789057,1,1
wife and husband,19.36552,15.05613,1,1
romantic rivals,5.942586,16.055813,0,2
romantic lovers,6.1867013,16.243404,0,2
brothers in arms,6.6759133,14.938507,0,3
driver and passenger,8.427456,14.313483,0,3
employer and employee,8.934713,18.447298,2,0
university student and administrator,9.056838,18.307274,2,0
athletic trainer and trainee,8.885339,16.526072,2,5
native and tourist,6.091891,15.938697,0,2
co workers,7.5388365,17.276684,2,5
bride and bridesmaid,6.941713,17.538902,0,2
alumni,6.4927,16.674788,0,2
sports rivals,6.8350005,15.117555,0,3
classmates,8.104611,14.397295,0,3
psychologist and client,8.568917,16.558615,2,5
reader and writer,6.726127,16.89052,0,2
aunt and niece/nephew,19.686216,15.222418,1,1
guard and prisoner,6.3428597,15.592512,0,2
criminal and police officer,5.0085187,16.934967,0,4
church members,8.36826,14.544092,0,3
friends with benefits,6.9170613,16.739342,0,2
parent and child,19.601177,14.952215,1,1
predecessor and successor,6.3256598,16.680809,0,2
defendant and plaintiff,5.074931,16.934816,0,4
roommates,7.6854033,15.807353,0,5
mentor and mentee,7.0051236,15.665538,0,2
customer and businessman,7.9946494,17.270483,2,5
superior and subordinate,8.861355,17.962505,2,0
victim and witness,5.032507,16.73791,0,4
leader and follower,7.989725,15.318345,0,3
bride and groom,19.629755,14.824606,1,1
union leader and union member,7.843449,17.115295,2,5
foster parent and foster child,19.238316,14.842231,1,1
police officer and civilian,6.392135,15.704373,0,2
political opponents,4.908043,17.021393,0,4
teacher and student,6.878766,15.802197,0,2
politician and supporter,7.3829775,16.968557,0,5
siblings,6.6273594,17.52382,0,2
second cousins,19.489565,14.999572,1,1
manager and staff,8.672233,18.434324,2,0
drug dealer and addict,7.9141655,15.931222,0,5
team captain and team members,8.108689,14.616957,0,3
life partners,6.7140994,17.282204,0,2
soul mates,19.469118,15.328756,1,1
close friends,7.4776754,15.67994,0,3
salesperson and customer,7.929798,16.969877,2,5
competitors in sports,6.90493,14.985165,0,3
boss and secretary,8.929558,18.172644,2,0
bully and victim,5.1231112,16.895273,0,4
director and performer,8.082415,15.321673,0,3
confidants,7.0024,15.575344,0,2
playmates,7.546893,15.871187,0,5
uncle and niece/nephew,19.120628,15.231874,1,1
step grandparent and step grandchild,19.336632,14.911827,1,1
guide and tourist,8.616877,16.700212,2,5
fiance and fiancee,6.673702,17.44939,0,2
criminal and prosecutor,6.9896636,15.146216,0,3
long distance lovers,5.4347014,16.496878,0,4
fraternity brothers,5.613751,16.955881,0,4
chief and deputy,7.7255883,16.269482,0,5
adoptive parents and adopted kids,19.634617,14.867828,1,1
master and servant,7.934376,16.3732,0,5
a person and their family friends,6.802796,17.230268,0,2
owner and manager,8.915926,18.095612,2,0
groom and groomsman,7.1603537,16.940912,0,2
strangers,6.027502,16.111849,0,2
a monarch and their minister,8.0363,14.323817,0,3
step siblings,19.579758,15.104565,1,1
business rivals,7.827031,16.416533,0,5
interviewer and job applicant,8.5971775,18.170008,2,0
student and dorm resident assistant,6.465533,16.382946,0,2
manager and assistant,8.579632,18.297335,2,0
a person and their significant other,7.128271,16.377413,0,2
ex lovers,7.4882545,16.087877,0,5
chef and customer,7.648072,16.604326,0,5
professor and teaching assistant,7.546542,17.272623,2,5
grandparent and grandchild,7.4703865,15.127267,0,3
business partners,7.633343,16.716986,0,5
peers,6.369964,16.515749,0,2
twins,7.5271063,16.108196,0,5
performer and audience,6.789759,16.04404,0,2
celebrity and fans,7.2530212,15.330529,0,3
cohabitants,6.949878,16.329191,0,2
pen friends,6.5760055,16.041752,0,2
judge and contestant,6.9278154,15.49969,0,2
casual acquaintances,6.4279103,16.02678,0,2
