,Dim1,Dim2,cl_k3,cl_k6
parent and child,5.052408,9.952131,2,1
parent and teenager,5.091342,9.965426,2,1
wife and husband,4.427929,9.854853,2,1
fiance and fiancee,3.3554091,9.512136,2,5
siblings,4.9714003,9.843844,2,1
divorced spouses,5.520359,9.097007,2,1
a person and their in laws,5.3124475,9.598635,2,1
employer and employee,11.870512,5.1266727,0,4
interviewer and job applicant,11.654186,4.7793274,0,4
guard and prisoner,9.822596,3.6500003,0,2
nurse and patient,11.261036,5.9020824,0,4
therapist and patient,10.70187,6.63633,0,0
salesperson and customer,11.494512,4.6539426,0,4
business partners,10.271074,6.449892,0,0
opposing negotiators,9.219495,2.3977964,0,2
political opponents,9.275356,2.5723944,0,2
business rivals,9.24946,2.4560065,0,2
enemies,9.305566,2.4742842,0,2
teacher and student,11.148895,6.2778006,0,4
professor and graduate student,10.793039,6.6169963,0,0
master and servant,10.152289,3.8891249,0,2
close friends,4.492218,9.660817,2,1
casual acquaintances,7.3807263,7.7614584,1,3
teammates in sports,8.869918,6.845627,1,0
second cousins,6.2489295,8.3373165,1,3
grandparent and grandchild,5.2504373,9.767533,2,1
foster parent and foster child,5.253157,9.59799,2,1
godparent and godchild,5.1423717,9.806665,2,1
step grandparent and step grandchild,5.94231,8.867675,2,1
ancestor and descendant,6.5423164,8.55842,1,3
man and his mistress,3.0058694,8.936583,2,5
step siblings,5.5712028,9.059456,2,1
distant relatives,6.5232725,8.478595,1,3
twins,4.3522506,9.7972355,2,1
a person and their family friends,4.576445,9.615855,2,1
manager and staff,11.701891,4.932278,0,4
union leader and union member,11.449541,6.108184,0,4
manager and assistant,11.590318,4.666853,0,4
entrepreneur and investor,11.518213,4.4513903,0,4
drug dealer and addict,11.256559,5.0510983,0,4
victim and witness,9.561887,3.1692073,0,2
criminal and police officer,9.73294,3.5711842,0,2
criminal and prosecutor,9.478668,2.765113,0,2
customer and businessman,11.773522,4.9977784,0,4
representative and citizen,11.840892,5.63109,0,4
officer and soldier,11.36298,5.2407436,0,4
religious followers,6.7016587,8.387979,1,3
reader and writer,8.516788,7.341624,1,0
reviewer and writer,11.863667,5.5144005,0,4
sugar daddy and sugar baby,2.9057329,8.922504,2,5
director and performer,10.931859,6.149273,0,4
psychologist and client,10.8365965,6.544088,0,0
judge and contestant,11.850352,4.653328,0,4
man and god,6.522573,8.611226,1,3
university student and administrator,11.264717,4.6475444,0,4
student and dorm resident assistant,11.033165,4.9282894,0,4
athletic trainer and trainee,10.46976,6.4445558,0,0
researcher and research subject,11.325487,5.8053746,0,4
peers,6.915783,7.9234943,1,3
classmates,7.268576,7.687785,1,3
bride and bridesmaid,3.354298,9.483886,2,5
guest and host,10.761662,6.3181376,0,0
television host and guest,9.404669,6.495532,0,0
volunteer and organizer,11.308698,6.05035,0,4
bully and victim,9.510056,3.1369407,0,2
a person and their social media follower,7.8623466,7.527727,1,3
childhood friends,4.6248994,9.527412,2,1
pen friends,4.919495,9.433421,2,1
friends with benefits,2.9214692,8.895964,2,5
life partners,3.377215,9.48238,2,5
soul mates,4.3090544,9.807059,2,1
church members,6.681998,8.075469,1,3
