,Dim1,Dim2,cl_k3,cl_k6
parent and child,7.6870556,8.84266,0,0
parent and teenager,7.7251916,8.785194,0,0
wife and husband,5.5169253,9.819358,0,2
fiance and fiancee,5.441874,10.009601,0,2
siblings,7.3780336,8.725649,0,0
divorced spouses,8.664551,6.9634447,1,3
a person and their in laws,8.043127,8.038736,0,0
employer and employee,11.38678,6.5773554,1,5
interviewer and job applicant,11.245505,5.457805,1,5
guard and prisoner,9.569286,5.632809,1,3
nurse and patient,11.643922,6.1031036,1,5
therapist and patient,11.86157,6.1799426,2,5
salesperson and customer,11.602523,5.0821614,1,5
business partners,11.18694,6.3367863,1,5
opposing negotiators,8.820477,5.238705,1,3
political opponents,8.736917,5.3396316,1,3
business rivals,8.741339,5.337456,1,3
enemies,8.776903,5.4715514,1,3
teacher and student,10.599569,6.525213,1,5
professor and graduate student,10.497718,6.488776,1,5
master and servant,9.429686,5.7525926,1,3
close friends,5.981933,9.661243,0,2
casual acquaintances,8.550442,7.5656385,1,0
teammates in sports,7.13286,8.761172,0,0
second cousins,7.4649606,8.278326,0,0
grandparent and grandchild,7.80954,8.711858,0,0
foster parent and foster child,7.690389,8.692325,0,0
godparent and godchild,7.871059,8.670292,0,0
step grandparent and step grandchild,7.9131255,8.770385,0,0
ancestor and descendant,8.788338,7.433525,1,0
man and his mistress,5.672867,10.155593,0,2
step siblings,7.7517085,8.519665,0,0
distant relatives,8.544566,7.6881523,1,0
twins,7.5532346,8.634162,0,0
a person and their family friends,7.5672994,8.331157,0,0
manager and staff,11.317534,6.512473,1,5
union leader and union member,10.4745035,5.5184484,1,5
manager and assistant,11.405768,6.5549746,1,5
entrepreneur and investor,11.633474,5.1836457,1,5
drug dealer and addict,11.007854,5.307132,1,5
victim and witness,9.538742,5.6667223,1,3
criminal and police officer,9.711325,5.5725503,1,3
criminal and prosecutor,9.589308,5.424954,1,3
customer and businessman,11.565707,5.1498537,1,5
representative and citizen,9.86627,6.674827,1,3
officer and soldier,10.144746,6.404263,1,3
religious followers,9.792018,6.869504,1,3
reader and writer,11.1364355,6.4699087,1,5
reviewer and writer,10.982696,6.304061,1,5
sugar daddy and sugar baby,5.6897573,10.069773,0,2
director and performer,11.057272,6.57087,1,5
psychologist and client,11.699198,6.1557326,1,5
judge and contestant,10.989159,5.4227877,1,5
man and god,9.220334,7.1007032,1,3
university student and administrator,10.51817,6.221034,1,5
student and dorm resident assistant,10.422834,6.372824,1,5
athletic trainer and trainee,11.24471,5.8683033,1,5
researcher and research subject,11.115836,5.6875315,1,5
peers,6.2186623,9.394812,0,2
classmates,5.8503737,9.667771,0,2
bride and bridesmaid,7.3171635,8.734616,0,0
guest and host,10.950439,5.3728204,1,5
television host and guest,11.017361,5.27581,1,5
volunteer and organizer,10.661088,6.128673,1,5
bully and victim,8.791042,5.426252,1,3
a person and their social media follower,8.842541,7.396341,1,0
childhood friends,5.8880243,9.799751,0,2
pen friends,8.495489,7.6199923,1,0
friends with benefits,5.6865606,10.084347,0,2
life partners,5.6893697,9.932017,0,2
soul mates,5.6304045,9.985484,0,2
church members,6.915134,8.20045,0,0
fans of the same sports team,6.6046634,8.937532,0,2
fans of opposing sports teams,8.850511,5.460091,1,3
superior and subordinate,9.544236,6.270346,1,3
a monarch and their minister,9.947313,6.667537,1,3
cousins,5.0824847,7.730449,0,4
parent and infant,3.4307818,7.192082,0,4
step parent and step child,3.4576795,7.2126513,0,4
bride and groom,3.5863743,7.334873,0,4
man wife and man mistress,5.2198844,9.323585,0,2
brother and sister,4.966189,7.909408,0,4
close relatives,5.1220326,7.7039547,0,4
