,Dim1,Dim2,cl_k3,cl_k6
ex lovers,1.8829806,6.3322988,1,3
strangers,1.783688,6.4989514,1,3
neighbors,6.5034757,5.031628,0,0
aunt and niece/nephew,6.8920007,5.464504,0,0
uncle and niece/nephew,6.890445,5.843204,0,0
frenemies,0.4467291,7.983266,1,5
half siblings,6.7126946,5.4465876,0,0
adoptive parents and adopted kids,6.896218,5.2493114,0,0
mother and infant,7.1890097,5.3673286,0,0
alumni,1.4169289,11.287548,2,2
confidants,6.4066606,4.8056216,0,0
a person and their significant other,5.896357,3.8222024,0,0
companions,6.099747,5.1333838,0,0
playmates,6.4780116,4.60794,0,0
competitors in sports,-0.21767169,7.327014,1,1
a person and their crush,6.1771426,4.1239214,0,0
cohabitants,6.226862,5.004612,0,0
long distance lovers,6.002742,3.9302547,0,0
brothers in arms,6.9212866,5.256749,0,0
