"","Australia","Brazil","Chile","CHN","Egypt","France","Germany","HK(region)","India","Israel","Japan","Mexico","Portugal","Qatar","Russia","South Africa","Spain","UK","USA"
"Valence.Evaluation",0.370918110673384,0.142621171069115,0.178534779209552,0.270040155147028,0.441662208976392,0.133731842533875,0.217281866171991,0.307210295332519,0.113472835455762,0.223248661811388,0.188058238039814,0.219171645941776,0.187919686152535,0.166725814414506,0.3934688110408,0.366769839511445,0.161333057045955,0.310272671500391,0.22646184377734
"Equality",-0.626816805527013,-0.37905041388566,-0.585238084730855,-0.626481843493472,-0.103157685268912,-0.569237961812219,-0.466258249018796,-0.367154325237637,-0.0952138877392412,-0.568169526045455,-0.499507115487443,-0.516587955488449,-0.556522045381243,-0.460812176875614,-0.261171243822954,-0.533998136705299,-0.530598502621891,-0.433343880036442,-0.509698110186317
"Activity.Intensity",-0.408967003947257,-0.10501979846161,-0.495584039802469,-0.400538355209688,-0.0174826803137335,-0.436263587128449,-0.229150868638936,-0.262510454769817,-0.264717428081908,-0.312056486181133,-0.285012666918605,-0.416817445741904,-0.270962972523772,-0.271859596038752,0.0102940187947485,-0.145325058530509,-0.354128549745925,-0.261683019909165,-0.344598895658663
"Socioemotional",-0.653373293260508,-0.40148285490312,-0.698822256024083,-0.743490414946798,-0.296631009272278,-0.612910758405852,-0.666262532673094,-0.600515530344149,-0.21050993230542,0.589421772025168,-0.557079231396917,-0.643557072430235,-0.573773100337495,-0.420995770157924,-0.530598821988467,-0.646958838917491,-0.660714170586553,-0.598302831882286,-0.672911199022952
"Formality.and.Regulation",0.756514082570293,0.624973397786708,0.760040842570092,0.774572394065513,0.719486008853103,-0.697200263247269,0.803833839133504,0.651131282723799,0.547719256010723,0.728175319549988,0.752182059956017,0.774209264179153,0.749149099756993,0.558013744057152,0.74190494588514,0.783214460714175,0.71539547131527,0.643797012546686,0.729676133242523
"Intimacy",-0.501987924579363,-0.40248916828779,-0.575656444449904,-0.419336275059658,-0.300742516484761,0.280409958482525,-0.552159971770784,-0.408302974612425,-0.388106997384507,-0.554950137017304,-0.439780746580635,-0.489212199787351,-0.51394951032918,-0.451826843396395,-0.278044546800448,-0.456707165924425,-0.598695750108753,-0.301781783827888,-0.46654028645227
"Visibility",0.398268206063199,-0.00445715448410456,0.347804261653597,0.420940494819586,0.214466016260183,0.0974631560347156,0.585160002785717,0.28499514116023,0.437181521857469,0.371155579414466,0.664865355099418,0.0291004071507225,0.246530784336615,0.251443582594381,0.504687712275637,0.239830775894373,0.132861831924739,0.238578150131343,0.165417272505717
"Communal.Sharing",-0.663604531347419,-0.30748392616029,-0.648565564650114,-0.507134068953287,-0.28015130200246,-0.526026247944214,-0.462171952256316,-0.264360994266897,-0.409680054062668,-0.570088614816274,-0.482919203188922,-0.600200757165109,-0.552513090300266,-0.252993188542955,-0.237824940934797,-0.591499653836285,-0.579109763096385,-0.303697129656046,-0.472597117558164
"Expected.Reciprocity",-0.345316996957746,-0.0103638553772055,0.148169134950173,0.544644851810109,0.206732965389074,0.0333510673411811,0.249672172796086,0.467628371653842,-0.0600745623854078,-0.306427829534813,0.325797689243573,0.251552658571903,-0.191007526115865,0.210355983458207,0.536487768904578,-0.100233652346349,-0.0639377673836957,-0.358100011112188,-0.244556682175337
"Strategic",0.583779961196049,0.522320512352432,0.59172023146839,0.536913918600868,0.450744784105785,0.480005358521647,0.555518253054806,0.358742336701163,0.469031518036698,0.431265106757775,0.377837181878878,0.640807396044178,0.617859510960566,0.28703708396066,0.510277887406852,0.604487446677326,0.471938677689101,0.48016985510679,0.622828855907589
"Concreteness",0.526566796700997,0.435386482573589,0.604503865667672,0.41993958139335,0.538720905511488,0.542530580271047,0.602444111203873,0.11762181920884,0.0391065638531082,0.601354313572035,0.681561821986871,0.509218101059486,0.64816506773766,0.29553447881487,0.624936801334826,0.452965993149555,0.45349004525924,0.350546388121901,0.550106107818574
"Uniqueness",-0.315599795358413,-0.328059362088821,-0.616808420112226,-0.607899481197186,-0.152683583742734,-0.638094213801868,-0.532427363011475,-0.416307899783878,0.00615504838519432,-0.55210538190313,-0.760045407766465,-0.438136179340723,-0.588445168092045,-0.380738144721566,-0.00957661519289454,-0.2667274213933,-0.568678134977771,-0.22650398122776,-0.313790411114364
"Love.Expression",-0.482636709436163,-0.491324663891743,-0.544508308141921,-0.463764794865799,-0.259994726193477,-0.613138289715625,-0.5753860010693,-0.285801424516426,-0.161238552917711,-0.567801490590471,-0.589761519408666,-0.515927128336468,-0.538448931084632,-0.493908130044964,-0.152427650029812,-0.324602596726606,-0.540992575074491,-0.512310515634389,-0.550879971284039
"Information.Exchange",0.403562199131013,0.304687358933348,0.240412530130594,0.167178141426871,0.346855446948798,-0.172107282035849,0.278739426594193,0.100886672381409,0.263096342384593,0.306760078020411,0.157778858317634,0.250488956061329,0.192739756411473,0.291139227205275,0.241693541151695,0.374320718607673,0.171595922530174,0.275961244895428,0.175140777473553
"Money.Exchange",0.637899148202943,0.693758792442709,0.765653967090635,0.650767867529722,0.566211048592736,-0.389345198606468,0.558562444445595,0.600622568407352,0.218813295016287,0.653562907466468,0.742052287215582,0.686247453569091,0.571873530564282,0.464058136887048,0.2648889684273,0.5434870063849,0.698399380321654,0.500528073984224,0.431559571499116
"Goods.Exchange",0.0831049174043256,0.545445456849239,-0.269933535897866,0.66485547483287,0.287738196256714,0.408629375742683,0.284106249859083,0.487475438271758,-0.152123459015656,0.453533510956354,0.573193054388421,0.0253764980317609,0.386622227170201,0.35209420160243,0.222417282381578,0.107931873178259,0.143756769292062,0.0854264287261339,0.00714541234230579
"Service.Exchange",0.726105903600124,0.861198110873456,0.861882475318228,0.818184743556564,0.693920366449679,0.737028674411662,0.874161052535861,0.802333942232867,0.392377508688882,0.828189994071634,0.963671787534957,0.851110000661248,0.860340701809161,0.48420091428255,0.666460055597519,0.824664432647395,0.894383821201583,0.828035129281991,0.717770000675048
"Attachment",-0.370509549322271,-0.3687923288605,-0.437802858029155,-0.285786006512632,-0.248485648655791,-0.507581181631329,0.0706432713440842,-0.108552539902672,-0.0854121465715752,-0.341179616651586,-0.489122021499837,-0.418418549785856,-0.499578703198581,-0.358519331563234,-0.158849869716986,-0.394521829819021,-0.501109439841591,-0.400085774063749,-0.4100853085933
"Mating",-0.429117139792722,-0.258760828631998,-0.472617859102784,-0.488406308124911,-0.342053655248038,0.179780248403902,-0.533808831127564,-0.339525875506116,-0.349412737910732,-0.429676519351079,-0.386290877368985,-0.461393212820468,-0.46368921917381,-0.342973350114725,-0.111049108401884,-0.409970417283211,-0.53436890142982,-0.405763790858355,-0.450540659801633
"Conflict",-0.326045691394329,-0.163452849108623,-0.226716506924301,-0.135084451735409,-0.123999354235059,-0.27627286847265,-0.347566167763264,-0.199094252334841,-0.171099209520173,-0.360800197565632,-0.396018817904131,-0.300301636241945,-0.283034938605678,-0.327565320762326,-0.0372059265810019,-0.473069228263017,-0.218625360839793,-0.389797433915824,-0.390345157921829
"Negotiation",0.178370428377419,0.583851998197605,0.337514639766781,0.172996388912999,0.255831152529841,-0.109098675432304,0.339499385974184,0.164437528337186,-0.00784257946909663,0.0580609963737505,0.31192737789155,0.410609873544231,0.347740585332018,0.133219782716751,0.331437266796061,0.158684413061275,0.444478482173817,0.0129832726970458,0.0547672149751705
"Coercion",-0.02834683031137,0.101770270390494,-0.195748944622875,-0.101958270853981,-0.0639395162147876,-0.217168063582824,0.0217421098185132,-0.264429719028739,-0.131241445162003,-8.73268449683589e-05,-0.278428636433434,-0.304002182282612,0.070179640472718,-0.154478770315605,0.188441633080226,-0.205180891640433,-0.207073842265506,-0.156090724809973,-0.228552972425034
"Importance.for.society",0.436260170021667,0.241017772522698,0.420372965575262,0.391555815433844,0.394606832916371,0.417675566137894,0.257708468009988,0.240460538254767,0.232560282523566,0.317610800411076,0.444146677550301,0.225652189881268,0.258742991232556,0.140728376011003,0.071087847507399,0.279195665394945,0.334248393718922,0.175919759064727,0.187435561391454
"Importance.for.individuals",-0.0182807123305072,0.00995734763276393,-0.215075103813919,-0.139025852523329,0.2055868758462,0.145284515755049,-0.284065011482956,-0.0287641417878328,0.0332042038551015,-0.328087484013078,-0.170810145305006,-0.192780032504633,-0.0604126392234407,-0.154469686675173,-0.00796571684806507,0.180703472827167,-0.206494412521544,-0.173042253245629,0.0441427630135474
