"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",0,0.510150481760686,0.54668309544923,0.585255816798378,0.490348782090412,0.592903401314284,0.593933310306285,0.686597378715853,0.643157962591747,0.968012482472092,0.785892280383835,0.767561827358654,0.734847296729354,0.645148361214141,0.690163532076022,0.796393511814756,0.767281669658464,0.810685060191474,0.978616602963863
"UK",0.510150481760686,0,0.391993148384394,0.385811435068266,0.38822295553119,0.5014541395691,0.530151970701293,0.547281976050873,0.534456645391103,0.872669187175813,0.699104618063156,0.650898001823175,0.617004871047731,0.616952743037634,0.596922273456914,0.690544411083917,0.77318332720297,0.760273501604819,0.94928861630705
"Australia",0.54668309544923,0.391993148384394,0,0.423123359527233,0.459262481228713,0.528462105792796,0.476847603473433,0.567034295471293,0.512125192187394,0.88500733626179,0.657014851913258,0.72574873247841,0.594183984571636,0.589701858662348,0.670897313219827,0.669011257118254,0.737163741748791,0.787532868278909,0.977940347195501
"South Africa",0.585255816798378,0.385811435068266,0.423123359527233,0,0.526381054714728,0.500606757856242,0.504640067865133,0.530380402395867,0.499118606738923,0.905014098870516,0.566817147645864,0.707934012161194,0.5098510338458,0.615680053928116,0.559681204381348,0.586757159121817,0.761893348204811,0.772246477014018,0.965378765625534
"Germany",0.490348782090412,0.38822295553119,0.459262481228713,0.526381054714728,0,0.478175119096496,0.476121199527538,0.549101270859512,0.546978481158872,0.893275369213751,0.73485753544013,0.753851492705763,0.626883198341549,0.613065966626231,0.66743317838611,0.694162968431504,0.742906265298769,0.821546358432063,0.95207457831728
"Japan",0.592903401314284,0.5014541395691,0.528462105792796,0.500606757856242,0.478175119096496,0,0.434000788996146,0.407788780311534,0.515019538560983,0.904977646746447,0.603505625113634,0.753425084179029,0.475514614200263,0.575338754535377,0.520441811364813,0.65091857026838,0.703100593909226,0.713074507936312,0.953548564905712
"Israel",0.593933310306285,0.530151970701293,0.476847603473433,0.504640067865133,0.476121199527538,0.434000788996146,0,0.425594489371899,0.389603604711417,0.904197717332464,0.4722780895171,0.774813983159926,0.405588267921888,0.534643300880201,0.533330647282843,0.611749486832405,0.701569820277778,0.740137682563581,0.964504326019316
"CHN",0.686597378715853,0.547281976050873,0.567034295471293,0.530380402395867,0.549101270859512,0.407788780311534,0.425594489371899,0,0.3601965125363,0.917480804809444,0.50955569414146,0.787856227343837,0.353495972004705,0.621000062545171,0.571141543539767,0.608924694524288,0.728319847897126,0.741137391108909,0.949713974807257
"HK(region)",0.643157962591747,0.534456645391103,0.512125192187394,0.499118606738923,0.546978481158872,0.515019538560983,0.389603604711417,0.3601965125363,0,0.915568733278439,0.455307338673175,0.796109717824693,0.431801475620455,0.607894335064205,0.564048732728914,0.593912154218724,0.762801676335329,0.770203533772572,0.972527402072725
"France",0.968012482472092,0.872669187175813,0.88500733626179,0.905014098870516,0.893275369213751,0.904977646746447,0.904197717332464,0.917480804809444,0.915568733278439,0,0.916933578898538,0.757151475188703,0.916261923842079,0.955965279983685,0.943129413667621,0.954436138928931,0.949402434666828,0.960816177029406,0.962604647940203
"Spain",0.785892280383835,0.699104618063156,0.657014851913258,0.566817147645864,0.73485753544013,0.603505625113634,0.4722780895171,0.50955569414146,0.455307338673175,0.916933578898538,0,0.894780464941378,0.296444941764927,0.627096104378781,0.519875970938308,0.540247278765222,0.851028280823291,0.796414445026668,1.03010102465449
