,Blacks - Whites,Males - Females,Elderly - young,Ethnic Minorities - Ethnic Majority,Parents - Children,Grandparents - Grandchildren,Paternal relatives - Maternal relatives,Elders - Juniors,Interviewers - Job applicants,Teachers - Students,Doctors - Patients,Customers - Servers,Representatives - Citizens,Celebrities - Fans,Natives - Tourists,Natives - Immigrants (Locals - Non-locals / Residents - Non-residents),Homosexual - Heterosexual,East Asians - Americans,Police officers - Civilians,Rural residents - Urban residents,Rich - Poor,Employees-Managers,Volunteers-Community Residents,Disableds-Non-disableds,Interns and Employees,Employers and Employees,Salespersons and Customers,Owners and Managers,Chiefs and Deputies,Supervisors and Subordinates,Bosses and Secretaries,Managers and Assistants,Lawyers and Clients,Prostitutes and Customers,Dealers and Buyers,Party A-Party B (in Contract),Managers - Investors,Investor-Entrepreneur,Gang Member-Rival Gang Member,"Republic, democratic","Father, mother, child","Husband, wife, in-law","Parents, firstborn, secondborn",Trio of friends,The three individuals in a love triangle,"Doctor, nurse, patient","Writer, editor, reader","Tourist, tour guide, native","Landlord, tenant, real estate agent","Lawyer, litigant, judge","Middleman, seller, buyer","Plaintiff, defendant, mediator","Therapist, patient's family, mental patient","employee, employer, client","supplier, retailer, consumer","Manager, employee, union representative","Teacher, student, parent","Volunteers, organizers, service recipients","Parents, children, grandparents","Director, screenwriter, actor","Lawyers, prosecutors, judges","Guests, moderators, audience","Drug Manufacturer, Drug Dealer, Drug User","Sex Worker, Pimp, Client","Criminal, Cellmate, Prison Guard","Parent, Babysitter, Infant","Casino Owner, Gambler, Dealer","Lender, Debt Collector, Borrower","Cheater, Mistress, Spouse","King, Prime Minister, Public","Athlete, Coach, Referee","police officer, prosecutor, judge","ticket scalper, organizer, audience","parent, home tutor, child"
Concreteness,47.0,57.23076923076923,39.27272727272727,50.45454545454545,36.0,25.692307692307693,48.90909090909091,31.25,64.08333333333333,36.5,56.333333333333336,67.0,31.23076923076923,33.54545454545455,66.27272727272727,54.46153846153846,61.18181818181818,62.18181818181818,56.09090909090909,57.27272727272727,56.5,65.42857142857143,58.91666666666666,36.083333333333336,72.58333333333333,72.88888888888889,79.9,50.72727272727273,49.0,51.9,67.54545454545455,41.54545454545455,50.3,76.9,77.0,61.2,76.66666666666667,57.4,48.90909090909091,51.45454545454545,18.27272727272728,29.666666666666668,38.72727272727273,22.9,17.5,80.63636363636364,57.3,73.125,84.1,76.44444444444444,80.625,72.0,71.72727272727273,62.2,91.66666666666669,92.0,61.66666666666666,57.36363636363637,61.36363636363637,48.11111111111112,19.666666666666668,54.90909090909091,83.77777777777777,71.375,50.5,63.91666666666666,71.1,80.44444444444444,50.9,44.71428571428572,49.0,33.2,66.2,63.875
Uniqueness,25.75,32.92307692307692,22.181818181818183,22.818181818181817,75.58333333333333,79.91666666666667,64.18181818181819,42.5,34.333333333333336,27.6,36.77777777777778,19.923076923076923,29.46153846153846,36.6,8.909090909090908,27.08333333333333,70.5,16.454545454545453,20.90909090909091,12.454545454545457,27.571428571428573,34.214285714285715,24.58333333333333,35.833333333333336,16.09090909090909,39.0,21.1,29.0,30.2,21.0,43.36363636363637,33.63636363636363,31.0,29.7,21.714285714285715,48.8,30.916666666666668,52.5,74.45454545454545,49.18181818181818,96.45454545454544,77.22222222222223,83.27272727272727,73.2,74.6,38.36363636363637,22.1,11.375,13.1,26.444444444444443,45.625,13.090909090909092,34.0,20.0,11.0,18.2,39.22222222222222,48.63636363636363,25.727272727272727,16.555555555555557,94.66666666666669,27.09090909090909,41.44444444444444,36.125,28.0,65.08333333333333,37.3,27.88888888888889,65.7,29.857142857142858,36.3,43.8,31.2,74.375
Love Expression,18.0,75.3076923076923,60.45454545454545,31.0,93.66666666666669,98.25,63.90909090909091,64.66666666666667,14.333333333333334,68.1,43.77777777777778,25.53846153846154,40.30769230769231,78.7,16.454545454545453,22.416666666666668,69.5,29.09090909090909,39.81818181818182,19.90909090909091,19.285714285714285,28.142857142857142,37.833333333333336,48.583333333333336,18.727272727272727,31.22222222222222,19.7,21.90909090909091,14.5,19.0,20.63636363636364,18.63636363636364,26.1,12.0,16.857142857142858,14.5,19.666666666666668,23.6,5.181818181818182,11.636363636363637,95.9090909090909,91.33333333333331,91.9090909090909,89.7,82.9,51.36363636363637,50.5,18.5,14.6,19.77777777777778,25.75,20.363636363636363,15.545454545454543,41.1,11.0,13.3,21.88888888888889,68.45454545454545,31.63636363636364,19.77777777777778,96.16666666666669,70.63636363636364,8.88888888888889,26.875,30.5,76.41666666666667,13.9,18.55555555555556,61.2,25.428571428571427,51.2,35.5,20.1,80.125
Information Exchange,32.25,75.6923076923077,41.81818181818182,54.27272727272727,80.41666666666667,77.16666666666667,67.81818181818181,62.333333333333336,62.91666666666666,82.8,83.33333333333333,70.76923076923077,65.46153846153847,70.8,50.63636363636363,44.66666666666666,50.2,51.90909090909091,80.81818181818181,48.81818181818182,28.285714285714285,74.5,61.333333333333336,46.083333333333336,80.18181818181819,60.44444444444444,49.5,81.54545454545455,79.8,81.8,81.18181818181819,74.27272727272727,84.5,25.3,65.28571428571429,83.3,80.75,85.4,47.0,62.0,70.9090909090909,89.22222222222223,90.9090909090909,81.4,50.8,71.18181818181819,78.4,81.125,77.9,85.11111111111111,81.0,67.45454545454545,76.72727272727273,86.7,79.44444444444444,58.9,58.44444444444444,76.63636363636364,81.81818181818181,58.66666666666666,80.0,64.54545454545455,59.0,51.5,46.375,71.41666666666667,59.3,51.333333333333336,36.9,51.142857142857146,72.8,73.1,70.1,83.25
Money Exchange,64.33333333333333,66.15384615384616,29.545454545454547,47.54545454545455,15.666666666666666,2.1666666666666665,35.27272727272727,16.083333333333332,68.25,21.5,75.0,79.53846153846153,24.923076923076923,47.3,67.72727272727273,55.833333333333336,40.2,75.54545454545455,13.181818181818182,65.45454545454545,82.07142857142857,69.0,35.416666666666664,34.333333333333336,46.36363636363637,81.44444444444444,90.1,73.45454545454545,42.4,59.2,60.81818181818182,62.36363636363637,80.3,86.0,89.28571428571429,84.2,90.08333333333331,85.0,71.72727272727273,51.27272727272727,11.181818181818182,9.666666666666666,19.27272727272728,6.3,17.0,67.54545454545455,71.3,86.25,94.3,77.11111111111111,78.25,93.0,72.0909090909091,65.7,92.77777777777776,95.8,74.66666666666667,26.545454545454547,49.09090909090909,64.55555555555556,21.33333333333333,22.90909090909091,94.33333333333331,77.375,42.375,57.583333333333336,88.3,85.44444444444444,51.5,44.57142857142857,41.9,31.0,87.1,49.75
Goods Exchange,54.0,50.23076923076923,31.727272727272727,52.90909090909091,7.916666666666667,8.416666666666666,33.90909090909091,15.416666666666666,55.583333333333336,20.7,70.22222222222223,85.6923076923077,33.38461538461539,41.5,73.72727272727273,54.583333333333336,28.2,65.81818181818181,17.727272727272727,69.0,76.5,56.07142857142857,36.25,33.583333333333336,46.0,50.22222222222222,90.9,48.63636363636363,32.5,46.2,37.45454545454545,33.09090909090909,36.1,55.7,97.71428571428572,68.8,68.91666666666667,51.7,49.72727272727273,43.45454545454545,12.363636363636363,10.88888888888889,24.27272727272728,8.1,21.4,38.72727272727273,63.7,69.375,85.1,26.55555555555556,59.25,83.72727272727273,20.181818181818183,46.2,61.22222222222222,95.6,65.55555555555556,25.454545454545453,34.63636363636363,58.55555555555556,13.75,36.0,88.33333333333333,57.875,34.875,44.66666666666666,75.9,67.11111111111111,41.3,35.857142857142854,42.5,30.7,79.4,49.5
Service Exchange,44.583333333333336,45.61538461538461,45.27272727272727,18.0,13.0,9.833333333333334,41.81818181818182,35.0,69.25,54.1,82.44444444444444,90.15384615384616,70.23076923076923,77.7,60.63636363636363,45.75,41.1,52.18181818181818,75.81818181818181,54.18181818181818,65.85714285714286,69.71428571428571,79.5,36.41666666666666,65.0,75.44444444444444,86.3,68.72727272727273,61.7,80.0,72.0,63.63636363636363,77.0,84.2,87.42857142857143,57.4,67.41666666666667,44.6,25.63636363636364,39.63636363636363,20.363636363636363,19.0,23.0,5.1,27.0,73.45454545454545,78.0,86.75,93.1,70.33333333333333,66.125,77.18181818181819,83.54545454545455,75.3,80.44444444444444,83.9,67.11111111111111,58.0,66.72727272727273,83.66666666666667,16.0,86.18181818181819,75.66666666666667,71.375,49.875,65.91666666666667,70.2,59.44444444444444,36.5,52.85714285714285,45.4,42.2,66.5,60.125
Attachment,14.75,64.76923076923077,59.81818181818182,28.727272727272727,92.91666666666669,96.75,55.45454545454545,64.75,21.416666666666668,62.7,45.11111111111112,36.92307692307692,42.46153846153846,70.5,20.454545454545453,22.416666666666668,70.2,16.09090909090909,47.54545454545455,19.0,10.5,32.92857142857143,32.333333333333336,37.333333333333336,23.27272727272728,32.888888888888886,15.3,32.45454545454545,21.3,19.8,36.45454545454545,36.54545454545455,31.9,14.0,32.142857142857146,22.9,35.75,29.9,22.27272727272728,12.818181818181818,95.63636363636364,90.66666666666669,93.36363636363636,90.8,67.8,41.81818181818182,41.3,29.75,12.1,24.444444444444443,61.375,28.545454545454547,17.454545454545453,48.1,14.666666666666666,12.3,37.888888888888886,48.36363636363637,25.454545454545453,23.55555555555556,93.66666666666669,51.45454545454545,24.77777777777778,29.125,21.125,68.66666666666667,27.6,19.22222222222222,55.6,41.57142857142857,52.9,37.7,35.5,75.875
Mating,27.166666666666668,79.3076923076923,28.27272727272728,26.545454545454547,76.58333333333333,75.83333333333333,32.45454545454545,38.5,13.25,10.5,22.55555555555556,14.384615384615383,18.46153846153846,8.3,14.454545454545457,28.916666666666668,66.5,21.545454545454547,7.090909090909091,15.363636363636363,16.214285714285715,11.642857142857142,9.416666666666666,20.25,11.0,20.77777777777778,7.5,13.0,9.0,7.6,12.454545454545457,5.181818181818182,18.5,67.8,13.857142857142858,1.7,7.833333333333333,17.6,14.909090909090908,14.727272727272728,96.36363636363636,90.0,83.81818181818181,14.4,68.2,27.818181818181817,10.2,9.0,5.2,15.666666666666666,22.0,5.818181818181818,15.0,22.4,9.333333333333334,3.6,13.11111111111111,26.63636363636364,10.545454545454543,4.222222222222222,85.25,8.0,8.0,39.375,16.625,55.66666666666666,16.0,20.77777777777778,56.2,19.428571428571427,22.0,20.8,17.3,40.125
Conflict,72.0,57.07692307692308,32.36363636363637,35.81818181818182,9.5,2.083333333333333,26.27272727272728,32.083333333333336,41.333333333333336,26.4,34.888888888888886,34.69230769230769,33.38461538461539,22.2,42.72727272727273,31.33333333333333,57.3,66.9090909090909,20.818181818181817,55.81818181818182,73.0,54.642857142857146,35.416666666666664,27.916666666666668,47.27272727272727,31.11111111111111,22.6,31.0,29.0,33.6,17.90909090909091,20.63636363636364,28.5,24.1,39.0,29.1,28.666666666666668,41.1,93.45454545454544,87.72727272727273,23.63636363636364,31.33333333333333,21.0,3.3,93.8,45.72727272727273,25.8,15.125,44.7,60.888888888888886,38.625,50.72727272727273,82.18181818181819,15.6,46.55555555555556,45.3,55.11111111111112,35.36363636363637,40.09090909090909,20.55555555555556,18.25,12.545454545454543,55.66666666666666,55.0,52.125,29.25,60.0,72.55555555555556,85.8,48.42857142857143,28.3,36.7,52.4,22.5
Negotiation,45.41666666666666,71.6923076923077,36.72727272727273,71.81818181818181,36.25,33.75,54.54545454545455,54.16666666666666,66.33333333333333,36.8,74.11111111111111,74.23076923076923,64.76923076923077,59.7,73.36363636363636,61.333333333333336,58.2,62.63636363636363,62.0,70.54545454545455,49.35714285714285,57.07142857142857,65.66666666666667,46.91666666666666,68.18181818181819,48.55555555555556,67.3,59.0,54.2,51.1,46.72727272727273,50.36363636363637,76.8,51.4,88.42857142857143,89.9,71.66666666666667,78.0,44.18181818181818,49.09090909090909,62.09090909090909,34.888888888888886,52.09090909090909,85.6,41.8,69.54545454545455,58.5,80.75,88.2,68.77777777777777,63.5,63.63636363636363,73.81818181818181,72.7,67.0,83.9,60.66666666666666,65.54545454545455,69.36363636363636,62.333333333333336,49.91666666666666,60.36363636363637,35.22222222222222,52.875,34.0,50.66666666666666,52.5,61.333333333333336,37.1,58.85714285714285,59.1,55.2,65.1,73.25
Coercion,63.75,31.53846153846154,19.181818181818183,24.09090909090909,7.416666666666667,2.583333333333333,12.090909090909092,16.916666666666668,37.5,15.1,20.11111111111111,17.153846153846153,20.76923076923077,14.3,21.545454545454547,22.75,31.6,60.72727272727273,15.818181818181818,25.90909090909091,54.92857142857143,43.5,20.08333333333333,22.416666666666668,33.63636363636363,35.55555555555556,10.8,20.63636363636364,15.6,35.3,22.27272727272728,12.636363636363637,18.6,22.3,18.0,16.4,23.0,18.9,84.63636363636364,58.81818181818182,15.0,13.88888888888889,13.636363636363637,3.0,51.6,29.181818181818183,16.5,17.0,11.3,29.444444444444443,41.0,31.09090909090909,36.18181818181818,4.9,23.55555555555556,16.8,52.44444444444444,18.363636363636363,25.727272727272727,18.22222222222222,13.583333333333334,15.636363636363637,63.888888888888886,57.75,71.625,26.666666666666668,59.0,71.66666666666667,46.2,46.285714285714285,29.7,26.3,49.9,26.375
Importance for society,52.16666666666666,77.3076923076923,53.81818181818182,73.72727272727273,40.91666666666666,44.0,29.818181818181817,55.583333333333336,63.75,85.6,79.55555555555556,64.3076923076923,81.61538461538461,41.9,53.54545454545455,44.583333333333336,53.7,52.90909090909091,93.8181818181818,56.18181818181818,51.5,64.64285714285714,79.0,49.833333333333336,68.72727272727273,60.77777777777778,71.0,59.54545454545455,63.5,68.0,67.18181818181819,65.0,76.6,9.1,68.14285714285714,71.9,67.33333333333333,76.1,13.909090909090908,80.36363636363636,76.36363636363636,64.0,66.18181818181819,45.5,6.9,83.18181818181819,68.7,64.5,64.5,85.55555555555556,66.875,68.18181818181819,64.0909090909091,77.8,81.66666666666667,79.9,77.88888888888889,81.45454545454545,90.9090909090909,51.22222222222222,71.0,84.63636363636364,15.88888888888889,31.5,64.75,63.583333333333336,30.7,44.22222222222222,13.6,79.85714285714286,68.3,83.5,25.5,70.375
Importance for individuals,26.916666666666668,69.61538461538461,51.54545454545455,30.454545454545453,94.0,90.83333333333331,70.81818181818181,64.08333333333333,43.91666666666666,70.7,69.77777777777777,45.15384615384615,47.92307692307692,62.6,24.0,38.083333333333336,71.0,14.727272727272728,80.63636363636364,41.45454545454545,31.214285714285715,61.35714285714285,57.16666666666666,46.66666666666666,52.45454545454545,54.22222222222222,51.1,61.27272727272727,46.0,55.1,66.9090909090909,54.90909090909091,82.4,24.5,59.142857142857146,78.3,69.58333333333333,62.3,22.181818181818183,39.63636363636363,94.27272727272728,95.22222222222224,93.27272727272728,91.1,77.2,74.63636363636364,51.1,38.125,42.2,51.77777777777778,49.125,51.09090909090909,46.18181818181818,72.4,39.44444444444444,37.6,57.55555555555556,66.45454545454545,62.45454545454545,24.88888888888889,95.66666666666669,57.0,46.888888888888886,41.625,48.375,76.66666666666667,40.1,40.66666666666666,42.4,61.285714285714285,66.5,72.7,39.0,74.375
Affiliation Coalition,6.0,73.38461538461539,45.27272727272727,71.9090909090909,83.0,79.5,63.36363636363637,65.75,45.41666666666666,69.5,60.77777777777778,45.38461538461539,66.92307692307692,77.4,38.81818181818182,34.25,42.1,18.90909090909091,71.45454545454545,45.0,20.214285714285715,72.35714285714286,51.66666666666666,42.0,62.63636363636363,70.55555555555556,42.0,81.36363636363636,87.2,80.4,82.45454545454545,78.27272727272727,79.0,42.4,35.714285714285715,73.2,80.58333333333333,88.6,45.90909090909091,36.36363636363637,80.18181818181819,86.0,87.54545454545455,95.0,16.5,67.63636363636364,59.6,66.75,49.8,40.44444444444444,80.625,25.90909090909091,15.454545454545457,62.2,73.44444444444444,63.1,58.77777777777778,65.72727272727273,58.90909090909091,43.55555555555556,87.5,77.81818181818181,49.77777777777778,44.875,37.375,73.91666666666667,48.6,24.0,17.7,62.285714285714285,55.7,65.7,46.0,73.25
Occupational,30.33333333333333,38.92307692307692,23.727272727272727,23.90909090909091,9.333333333333334,2.6666666666666665,23.727272727272727,12.833333333333334,90.16666666666669,74.4,79.66666666666667,84.0,56.92307692307692,59.7,32.45454545454545,27.58333333333333,33.0,44.09090909090909,63.36363636363637,37.45454545454545,44.142857142857146,86.57142857142857,49.583333333333336,26.58333333333333,86.45454545454545,81.44444444444444,72.9,91.0,92.1,95.9,90.0909090909091,85.45454545454545,74.5,45.9,61.85714285714285,76.7,85.91666666666667,74.5,30.90909090909091,71.81818181818181,6.181818181818182,7.444444444444445,16.09090909090909,7.5,11.4,86.27272727272727,69.9,85.375,81.5,88.88888888888889,85.25,71.54545454545455,78.45454545454545,85.2,94.22222222222224,90.2,82.22222222222223,77.0,89.36363636363636,84.44444444444444,15.416666666666666,57.0,64.55555555555556,58.625,80.125,49.66666666666666,68.9,66.88888888888889,17.1,69.28571428571429,82.7,83.2,50.4,64.375
