,Blacks - Whites,Males - Females,Elderly - young,Ethnic Minorities - Ethnic Majority,Parents - Children,Grandparents - Grandchildren,Paternal relatives - Maternal relatives,Elders - Juniors,Interviewers - Job applicants,Teachers - Students,Doctors - Patients,Customers - Servers,Representatives - Citizens,Celebrities - Fans,Natives - Tourists,Natives - Immigrants (Locals - Non-locals / Residents - Non-residents),Homosexual - Heterosexual,East Asians - Americans,Police officers - Civilians,Rural residents - Urban residents,Rich - Poor,Employees-Managers,Volunteers-Community Residents,Disableds-Non-disableds,Interns and Employees,Employers and Employees,Salespersons and Customers,Owners and Managers,Chiefs and Deputies,Supervisors and Subordinates,Bosses and Secretaries,Managers and Assistants,Lawyers and Clients,Prostitutes and Customers,Dealers and Buyers,Party A-Party B (in Contract),Managers - Investors,Investor-Entrepreneur,Gang Member-Rival Gang Member,"Republic, democratic","Father, mother, child","Husband, wife, in-law","Parents, firstborn, secondborn",Trio of friends,The three individuals in a love triangle,"Doctor, nurse, patient","Writer, editor, reader","Tourist, tour guide, native","Landlord, tenant, real estate agent","Lawyer, litigant, judge","Middleman, seller, buyer","Plaintiff, defendant, mediator","Therapist, patient's family, mental patient","employee, employer, client","supplier, retailer, consumer","Manager, employee, union representative","Teacher, student, parent","Volunteers, organizers, service recipients","Parents, children, grandparents","Director, screenwriter, actor","Lawyers, prosecutors, judges","Guests, moderators, audience","Drug Manufacturer, Drug Dealer, Drug User","Sex Worker, Pimp, Client","Criminal, Cellmate, Prison Guard","Parent, Babysitter, Infant","Casino Owner, Gambler, Dealer","Lender, Debt Collector, Borrower","Cheater, Mistress, Spouse","King, Prime Minister, Public","Athlete, Coach, Referee","police officer, prosecutor, judge","ticket scalper, organizer, audience","parent, home tutor, child"
Valence Evaluation,22.33333333333333,72.76923076923077,74.0,61.90909090909091,92.91666666666669,97.76923076923076,77.18181818181819,78.66666666666667,50.16666666666666,82.9,72.88888888888889,72.53846153846153,74.0,82.18181818181819,63.54545454545455,61.76923076923077,58.45454545454545,31.727272727272727,88.81818181818181,59.54545454545455,27.857142857142858,54.785714285714285,75.5,75.25,31.166666666666668,79.0,78.8,76.72727272727273,71.4,81.4,79.27272727272727,84.0909090909091,85.6,72.3,74.71428571428571,83.2,80.66666666666667,83.9,19.818181818181817,10.181818181818182,81.0909090909091,90.44444444444444,91.72727272727272,95.9,35.7,79.9090909090909,82.8,80.625,71.1,60.77777777777778,75.125,54.81818181818182,32.27272727272727,90.8,73.55555555555556,72.2,53.66666666666666,79.72727272727273,70.45454545454545,81.22222222222223,88.0,84.27272727272727,47.44444444444444,58.75,46.375,75.75,48.6,30.0,27.3,61.85714285714285,73.6,75.8,55.8,89.75
Equality,49.083333333333336,76.76923076923077,40.09090909090909,68.18181818181819,28.416666666666668,37.07692307692308,82.27272727272727,12.916666666666666,42.66666666666666,29.7,61.0,49.46153846153846,46.30769230769231,44.63636363636363,71.45454545454545,70.84615384615384,70.0909090909091,60.63636363636363,55.72727272727273,64.27272727272727,29.285714285714285,29.214285714285715,77.41666666666667,68.5,30.58333333333333,32.0,74.9,20.0,20.0,5.6,29.09090909090909,22.363636363636363,73.1,52.6,79.42857142857143,71.6,59.91666666666666,51.1,38.54545454545455,54.90909090909091,44.63636363636363,75.0,74.54545454545455,92.6,81.1,68.0909090909091,65.8,57.25,53.6,32.888888888888886,24.125,55.0,44.90909090909091,71.1,12.555555555555555,71.9,14.555555555555555,57.36363636363637,51.45454545454545,33.111111111111114,74.0,65.45454545454545,13.333333333333334,42.125,24.0,54.16666666666666,26.0,31.22222222222222,51.7,31.571428571428573,51.6,60.6,53.9,48.5
Activity Intensity,22.666666666666668,66.23076923076923,40.72727272727273,41.09090909090909,93.58333333333331,89.84615384615384,68.0,54.0,30.83333333333333,76.6,45.888888888888886,29.15384615384616,37.46153846153846,57.27272727272727,21.727272727272727,23.615384615384617,68.63636363636364,27.0,45.45454545454545,23.09090909090909,20.142857142857142,54.0,38.0,40.75,38.75,53.66666666666666,21.6,58.27272727272727,74.8,66.5,66.9090909090909,67.54545454545455,56.9,8.2,23.714285714285715,37.0,57.583333333333336,59.2,49.63636363636363,48.36363636363637,94.27272727272728,93.11111111111111,91.54545454545456,91.0,81.5,40.09090909090909,65.6,29.0,27.2,35.0,51.25,27.363636363636363,38.45454545454545,50.9,41.44444444444444,18.2,38.888888888888886,60.90909090909091,46.54545454545455,18.444444444444443,90.75,55.63636363636363,34.0,39.5,39.375,69.75,28.8,39.22222222222222,41.6,43.0,52.3,52.3,31.7,86.0
Socioemotional,49.583333333333336,64.61538461538461,67.0,48.18181818181818,91.58333333333331,98.0,71.18181818181819,72.08333333333333,24.08333333333333,32.2,25.22222222222222,31.07692307692308,36.69230769230769,65.0909090909091,19.545454545454547,46.84615384615385,56.81818181818182,28.454545454545453,54.72727272727273,27.727272727272727,27.571428571428573,27.428571428571427,40.583333333333336,65.83333333333333,17.333333333333332,34.333333333333336,34.7,18.181818181818183,16.6,13.2,25.27272727272728,35.63636363636363,39.7,46.8,36.71428571428572,12.7,17.916666666666668,27.8,57.63636363636363,48.09090909090909,88.27272727272727,83.88888888888889,82.54545454545455,88.4,86.2,37.45454545454545,49.9,20.25,18.0,31.77777777777778,26.375,17.636363636363637,19.727272727272727,46.2,11.77777777777778,16.2,21.33333333333333,57.0,33.63636363636363,17.444444444444443,94.41666666666669,59.45454545454545,21.33333333333333,26.125,23.25,58.583333333333336,33.7,34.666666666666664,72.7,46.42857142857143,31.3,38.0,30.7,70.5
Formality and Regulation,65.41666666666667,49.30769230769231,35.72727272727273,55.72727272727273,13.666666666666666,9.76923076923077,30.09090909090909,24.166666666666668,89.75,78.7,89.33333333333333,79.61538461538461,74.76923076923077,61.27272727272727,53.09090909090909,48.30769230769231,38.81818181818182,68.45454545454545,85.81818181818181,38.54545454545455,63.71428571428572,85.71428571428571,72.08333333333333,47.083333333333336,82.5,71.0,58.9,86.0909090909091,91.0,89.6,86.0909090909091,83.9090909090909,80.7,23.0,57.42857142857143,86.6,88.25,77.3,24.545454545454547,72.27272727272727,11.181818181818182,45.11111111111112,22.727272727272727,22.5,11.2,85.0909090909091,66.8,64.5,93.4,87.55555555555556,72.875,72.27272727272727,93.1818181818182,70.9,93.0,86.6,74.44444444444444,72.36363636363636,91.0,90.33333333333331,30.5,65.45454545454545,38.11111111111112,37.375,80.75,52.583333333333336,65.9,47.77777777777778,24.7,79.42857142857143,80.7,86.4,48.5,67.25
Intimacy,18.25,61.92307692307692,53.72727272727273,42.27272727272727,95.16666666666669,98.53846153846152,68.0,60.75,25.58333333333333,69.2,45.44444444444444,29.46153846153846,45.46153846153846,51.63636363636363,20.63636363636364,26.07692307692308,63.63636363636363,18.727272727272727,55.54545454545455,25.181818181818183,14.642857142857142,42.85714285714285,49.25,38.833333333333336,33.416666666666664,50.11111111111112,11.9,42.09090909090909,50.8,37.4,45.63636363636363,53.27272727272727,37.7,44.2,29.571428571428573,37.6,42.583333333333336,41.4,16.363636363636363,17.636363636363637,93.45454545454544,91.22222222222224,92.9090909090909,90.0,67.5,45.36363636363637,45.3,36.0,17.0,24.11111111111111,36.625,21.09090909090909,13.818181818181818,45.2,26.88888888888889,13.4,36.888888888888886,51.54545454545455,39.27272727272727,22.666666666666668,93.5,48.63636363636363,16.444444444444443,40.625,16.375,65.33333333333333,28.9,18.77777777777778,47.9,34.57142857142857,52.8,47.2,25.8,64.5
Visibility,79.5,51.61538461538461,72.54545454545455,78.72727272727273,18.58333333333333,14.153846153846152,38.72727272727273,44.083333333333336,79.66666666666667,79.9,57.55555555555556,86.15384615384616,80.53846153846153,68.18181818181819,87.0,75.53846153846153,25.181818181818183,78.0,84.0,75.36363636363636,79.28571428571429,79.85714285714286,75.16666666666667,72.08333333333333,77.75,74.22222222222223,90.2,65.0,78.8,84.0,68.81818181818181,66.72727272727273,64.7,9.2,76.28571428571429,61.9,62.75,55.7,16.181818181818183,65.81818181818181,40.45454545454545,57.11111111111112,52.0,39.9,9.1,76.63636363636364,73.2,86.5,78.0,87.66666666666667,75.125,58.0,87.18181818181819,40.5,87.66666666666667,80.5,74.77777777777777,82.81818181818181,85.81818181818181,93.44444444444444,42.833333333333336,88.9090909090909,17.555555555555557,33.5,64.375,51.16666666666666,44.0,48.22222222222222,18.7,80.0,74.6,82.9,56.6,77.0
Communal Sharing,30.08333333333333,51.23076923076923,59.18181818181818,50.45454545454545,92.83333333333331,97.07692307692308,62.45454545454545,76.16666666666667,36.833333333333336,64.7,27.55555555555556,22.07692307692308,51.61538461538461,29.27272727272728,27.63636363636364,38.46153846153846,55.0,34.09090909090909,76.0909090909091,28.363636363636363,22.714285714285715,40.142857142857146,54.5,52.0,35.833333333333336,41.333333333333336,10.8,40.18181818181818,46.3,36.1,27.0,45.0,34.8,16.2,12.857142857142858,43.9,26.25,34.0,26.0,25.181818181818183,91.72727272727272,89.55555555555556,90.1818181818182,91.7,73.5,36.54545454545455,28.8,28.875,13.2,34.0,35.875,18.363636363636363,17.545454545454547,31.4,11.555555555555555,6.7,31.55555555555556,44.36363636363637,47.0,14.333333333333334,90.91666666666669,68.27272727272727,16.88888888888889,29.125,40.625,58.0,25.3,37.0,37.5,55.0,64.0,69.3,39.0,54.75
Expected Reciprocity,55.333333333333336,71.46153846153847,42.09090909090909,61.72727272727273,15.0,11.384615384615383,49.81818181818182,30.666666666666668,72.16666666666667,39.5,70.33333333333333,62.69230769230769,65.92307692307692,53.36363636363637,73.9090909090909,58.92307692307692,46.0,75.18181818181819,23.90909090909091,59.09090909090909,56.21428571428572,66.21428571428571,56.5,40.833333333333336,73.25,76.33333333333333,48.9,61.81818181818182,55.7,59.1,69.0,61.18181818181818,69.9,75.3,68.71428571428571,86.0,86.08333333333333,79.3,53.63636363636363,28.63636363636364,12.272727272727272,26.11111111111111,23.818181818181817,36.8,24.6,57.45454545454545,63.5,67.75,93.0,59.66666666666666,79.375,81.9090909090909,46.36363636363637,62.8,93.0,68.3,68.88888888888889,68.45454545454545,63.0,68.33333333333333,33.916666666666664,38.45454545454545,65.33333333333333,59.0,33.875,53.25,65.5,57.0,34.6,57.0,58.6,49.0,49.5,42.5
Strategic,59.25,55.07692307692308,36.45454545454545,53.36363636363637,12.25,2.923076923076923,27.27272727272728,24.08333333333333,78.75,42.8,69.0,69.53846153846153,50.84615384615385,44.09090909090909,76.81818181818181,51.53846153846154,27.0,61.36363636363637,48.63636363636363,69.27272727272727,72.64285714285714,74.78571428571429,52.333333333333336,36.41666666666666,85.91666666666667,62.66666666666666,43.0,72.54545454545455,78.0,74.6,69.0909090909091,54.81818181818182,71.8,40.5,79.42857142857143,78.5,87.58333333333333,82.6,68.63636363636364,81.9090909090909,10.181818181818182,19.88888888888889,16.0,15.5,37.3,56.09090909090909,60.8,85.625,88.6,92.22222222222224,78.25,89.72727272727273,90.0909090909091,59.6,87.66666666666667,90.2,76.88888888888889,40.54545454545455,74.45454545454545,76.33333333333333,19.166666666666668,35.0,85.55555555555556,74.25,58.75,44.5,79.9,83.66666666666667,52.6,58.85714285714285,53.2,40.7,75.8,57.25
