"","Activeness","Formality","Exchange","Valence","Equality"
"Parent and Child",1.43899635426851,-1.70069823724354,0.508554142366946,-0.365326145361486,-2.45106640413824
"Parent and Teenager",1.49348475390971,-1.31346396057197,0.735171579934997,-1.38717817006767,-1.69226863042094
"Wife and Husband",1.34939884554878,-1.95832659141694,1.07535050817697,-0.971919606632165,0.117275351211927
"Fiance and Fiancee",0.810860274911175,-1.982289924821,0.95651282144029,-0.450481832127354,0.242701109952196
"Between Siblings",1.12339906708787,-1.07996957524225,-0.383486318232467,-1.10147922947986,0.110533087868585
"Between divorced spouses",-1.11223548849722,-0.094923996546834,0.213798178123935,-1.29726681869463,-0.0883239856915639
"Between a person and their in-laws",-0.877391680887245,-0.713086934986941,-1.01422925294242,-0.0647466446076371,-1.5725219023638
"Between cousins",-0.539359720720015,-0.797183434333416,-1.09777230479745,0.28552481116268,-0.22507745983598
"Employer and Employee",1.17930125356004,1.22712652617151,0.848996154433053,-0.346233636294119,-0.232573307541915
"Interviewer and Job applicant",-0.2048599619165,1.16604698455512,0.178261991796565,0.306647260307824,0.0250945340910909
"Guard and Prisoner",-0.296246337363351,0.665653065161959,-1.00969401257715,-1.55820639611727,-0.868146718477769
"Nurse and Patient",0.669030672821115,0.43550991412099,0.136356061998179,0.445427625749159,-0.367013576544055
"Therapist and Patient",0.662430809838299,0.161965847013818,0.0439795256809846,0.534747328890614,-0.670785621211764
"Salesperson and Customer",-0.90465149487195,0.773502941413134,2.51004346709681,-0.0352697540953421,0.592731207222322
"Between Business Partners",1.05616111472823,0.404679578722779,1.63716139774369,-0.592685910875027,1.03732341269067
"Between opposing negotiators",-0.534252662674262,0.674752241560582,0.809266469082183,-1.59780433612387,0.327751451242782
"Between political opponents",0.479555328417646,1.5562774881647,-0.848763429190269,-2.36129634831728,0.874584423787775
"Between business rivals",-0.314759791771967,1.19290139571144,-0.094865728609495,-2.24510363888926,0.951890058653456
"Between enemies",-1.02720544352706,-0.0774697328990434,-0.742839981668721,-2.77411530648137,0.268437681944458
"Teacher and Student",1.59650765936019,0.894926013693848,-0.280243091766198,0.621767502796197,-1.07851588549657
"Professor and Graduate student",1.06675416506137,0.977398046931418,-0.0994125475954233,0.721837249254675,-0.532091048990796
"Master and Servant",-1.53392750765464,-0.210693876737068,1.49035727996635,-0.557906018745401,-1.65874832479997
"Between Close Friends",0.931804628082457,-1.79112485894503,0.504815860388624,0.224577059795464,1.29678278183011
"Between casual acquaintances",-1.11847057271896,-0.665603362293191,-0.405779871502003,0.608147475661533,0.827576091782222
"Between teammates in sports",1.14221656470816,1.33498545077911,-0.471882865811064,-0.149559615604358,2.70715334504265
"Between second cousins",-0.99998917186869,-0.594347708431893,-1.70481037359267,1.10416712297786,1.26834198717533
"Parent and Infant",1.56255812647778,-1.59428470425533,-0.0100797491287623,0.660830440719429,-1.68378090659505
"Grandparent and Grandchild",0.609767909379276,-1.62320316540715,-0.211450232834113,1.01607086372918,-1.99900117348582
"Step-parent and Step-child",0.937865679094626,-1.19017963730885,-0.278171241448964,-0.0867613607465885,-1.69728902211531
"Foster-parent and Foster-child",0.889436993423778,-0.941482012116457,0.0939955886761672,-0.0910088704829148,-1.58408786485555
"Godparent and Godchild",-0.557182261384926,-1.15358962692753,-0.840092205922182,1.58743860465279,-1.55396952787802
"Step-grandparent and Step-grandchild",-0.125927388766817,-1.03491020144871,-0.637389459419873,1.19470795979745,-1.74400136453361
"Ancestor and Descendant",-1.51777092723257,-1.28217352269497,-2.11957757381749,1.9921509148991,-1.86239362924896
"Bride and Groom",0.641020541252826,-2.37257690878604,1.30876900852273,0.18234805175491,1.04579108012623
"Man and His Mistress",-0.984768891863065,-2.13844799935504,2.42096454447871,-0.390551724584549,-0.987167469375341
"Man Wife and Man Mistress",-1.64235717495993,-0.5029690737955,-0.326900586149987,-1.41700612983207,-1.45176925068514
"Brother and Sister",0.787469535026347,-1.08524872505921,-0.378189176789137,0.379512703896009,1.39884633072989
"Between step-siblings",0.119781971932574,-0.772303572501277,-0.875751052764307,0.0846644591536808,1.26684584990916
"Between distant relatives",-1.11660985600802,-0.300210950418963,-1.53644350080453,1.13084027177815,0.140154586870256
"Between close relatives",0.574550451086554,-1.20032710504254,-0.262502797601884,0.462146530334771,0.89970101735099
"Between twins",1.16128259117397,-0.386661810282405,-1.77344455433502,0.832165644773198,2.3183460939976
"Between a person and their family friends",0.562644828775897,-0.443683514722361,-1.25348656377852,1.10389472075336,1.8970846386358
"Between a person and their deceased spouse",-1.01503224527979,-1.1707820972776,-2.19291192672021,1.68761574153023,-0.0157391343844208
"Manager and Staff",0.0864713169509404,1.32812465095698,0.055660410839927,0.606532017060432,-0.379304717623066
"Foreman and Laborer",0.194230473720997,1.30071254030966,0.0379147899661621,0.447707957747962,-0.693540860812576
"Owner and Manager",0.19268163450308,1.22973974354204,-0.212505885663067,0.412228099393227,-0.70198128595101
"Union leader and union member",-0.232783986351757,1.27443750346377,-0.500173554904222,0.815614698241525,-0.221552076834334
"Manager and Assistant",0.142103514392926,1.06958541648029,-0.0209847637020428,0.596334899706663,-0.465571274584677
"Chief and Deputy",0.648585544927791,1.20556265190719,-0.293090152425008,1.20646188612428,-0.305985393518074
"Supervisor and Subordinate",0.355616586899804,1.33787684379223,0.359232105226646,0.90742458089632,-0.362711560940713
"Boss and Secretary",0.258293817394369,1.22460941519425,0.0592634395443785,1.06245912469944,-0.866566158374795
"Entrepreneur and Investor",-0.70131907883473,0.667257250486648,1.75141277866395,0.675507544117844,0.804650288124495
"Intern and Employee",-0.337071350871041,1.03244077048102,-0.419378251456227,0.898414070694587,-0.405575811981839
"Lawyer and Client",0.109063002689731,1.00247852798807,1.46153938280817,0.714614236349145,-0.272501619360066
"Judge and Lawyer",0.497487976458849,1.40556581274381,0.103548796984416,0.0890187232021407,0.086978039028393
"Victim and Criminal",-2.51196756628339,-0.634841979764465,-1.3383861938534,-2.1047602559548,-0.857825863535535
"Drug dealer and Addict",-0.849491504485421,0.0107664943002897,2.69801243101978,-0.211837451466544,0.884875535336756
"Victim and Witness",-0.423473772287089,0.326745848257494,-1.59347298754862,0.229711639214209,-0.172496923190956
"Criminal and Police officer",0.391897069751559,1.06216406900224,-1.56637555125465,-2.27728957103758,-0.729860319380091
"Criminal and Prosecutor",0.325787674939136,1.21995194788222,-1.05284568344687,-1.71751082973844,-0.43609614155289
"Criminal and Hostage",-0.915505594279453,-0.424996149693225,0.0542012605603265,-2.84873469509505,-0.529413141458211
"Defendant and Plaintiff",0.564088109017798,1.11706686103063,-0.995429707139547,-1.58351201514791,-0.0504473255170658
"Police officer and Offender",0.536698076825798,1.02733272844025,-0.868661312036458,-2.48564059254862,-0.47081764037082
"Police officer and Civilian",-0.382026926354922,0.454252948741756,-0.767904354244844,0.657027165372657,0.400530286247109
"Parole officer and Parolee",0.687506712184246,1.21303637661983,-1.07552753334058,-1.62207910414578,-0.759365829131914
"Consultant and Client",-0.60969952534728,0.97427606491688,1.466122535426,1.09935022056566,0.212763919003387
"Chef and Customer",-2.15464762613419,0.874487480190102,0.654383577656007,2.60777708483965,0.329597608499934
"Customer and Server",-1.14000653767135,1.24830190637499,1.27408113890753,2.27446309241615,0.545083035418921
"Customer and Businessman",-0.911528727032085,1.25870343759571,1.65198270607149,1.31482850184973,0.736135469644678
"Doctor and Patient",0.957236262882729,1.07249574699317,0.472188688577824,1.13669720798342,-1.18568264738384
"Doctor and Nurse",1.01094747119632,0.869126107432136,-1.30591008549578,0.883079557435687,-0.769672521428561
"Patient and Caretaker",1.43705442265927,0.184821090573862,0.072388004616137,0.339873320503432,-1.46917490627109
"Driver and Passenger",-0.5118394053392,0.491912708871301,-0.335643687945413,1.2864983867008,-0.305871519401043
"Coach and athlete",1.19606437249078,0.446848418069529,-0.543054152895812,0.214702380628188,-1.03853197744645
"Team Captain and Team Members",1.24113281765591,0.321531713423919,-0.33126937008538,-0.208016560908618,0.234036701608166
"Club Member and Club President",0.933448517166787,0.220481598563657,-0.133349929680182,-0.265272308757006,0.099066640079367
"Politician and Supporter",0.0416820591433769,0.667850512421535,0.440259302912868,-0.18746614232236,-0.093681506927298
"Leader and Follower",0.442914410518959,0.481565250934713,-0.2779339271399,-0.244648340975631,-0.534196570188168
"Representative and Citizen",0.262841504057879,0.953362913222117,-0.544070160461806,-0.144428672432657,0.0852981081681311
"Officer and Soldier",1.7052622773394,0.878271410561704,-1.04771427456755,-0.492870352867439,-0.708340847576512
"Babysitter and Infant",0.447367222864424,-0.738300641875602,0.762592726373331,0.47910072828964,-2.32877116518435
"Religious leader and Congregant",0.403666769547714,0.0844750460024703,0.104289748610686,-0.740749637356074,-0.133049734912149
"Between religious followers",-0.370948096234331,-0.11995622361365,-0.422527819800667,-0.432139032183983,1.4676205226062
"Prostitute and Customer",-1.66606748522259,-0.580520695441363,3.35941971310936,-1.50018149838921,-0.372754717812604
"Guide and Tourist",-0.549775769380729,0.649404767615389,1.94946586002186,0.594881956613325,0.100180145741469
"Athlete and Referee",0.38044341843334,1.04181937431005,0.225649922226352,-1.02531818895456,0.465362539271711
"Slave and Master",-1.41194999667607,-0.545185373250295,1.42323901937826,-1.72534022176682,-0.718581800455924
"Reader and Writer",-0.402304440040066,0.12402575970554,0.921033926377229,0.994329969845767,0.11274770711498
"Reviewer and Writer",-0.512808670160946,1.03130632730128,-0.0251668472052643,0.757397355151463,-0.54666479313725
"Performer and Audience",-0.282715518855277,0.978484035368184,-0.196242939039456,1.12091089304987,0.0693349847732697
"Dealer and Buyer",0.455283931979427,1.28886402588823,2.81436952836307,-0.676356492131382,0.779638488501134
"Sugar-daddy and Sugar-baby",-1.1077740481201,-1.64923895344648,3.1788661443334,-0.75612245878663,-0.995085721916857
"Director and Performer",0.559534330589389,1.15134068920057,-0.0493508663047557,0.189072749069384,0.118919212630341
"Psychologist and Client",0.884758247742574,0.675375714323401,0.564876248927617,0.511229554800725,-0.876262506411871
"Judge and Contestant",0.262682729325781,1.56831921749624,-0.859581370169517,-0.210887525632172,-0.547599026475997
"Man and God",0.868853467151791,-1.10085892911765,-1.36822026138759,-0.320083911094879,-2.88866785394908
"Between Co-workers",1.04757155350243,0.959003730050474,0.129657216601234,-0.276213611763011,1.41656165933961
"Between sports rivals",-1.02559734911831,0.43557788641487,-1.02493384468376,-1.37918080494571,1.52986107248262
"Between romantic rivals",0.233744498555308,-0.499317740623062,-1.2122926185923,-2.23824830559681,0.0949479739228146
"Between criminal and their accomplice",0.178540171871555,-0.0817616714054847,0.981140179435401,-1.38111508156495,0.20413336991147
"Between diplomats",0.265267818456635,0.873647034440521,0.3287566337649,-1.16177428784875,0.771638509254112
"Principal and Teacher",0.917890458904676,1.02319557156166,-0.15370755157456,-0.00205240911886084,0.17573310001985
"Professor and Teaching Assistant",0.720726008289674,0.853001382446099,-0.382888413864717,0.206484556056616,-0.119357827639187
"University student and Administrator",-0.452565737736396,0.685341643054249,-0.433092559820782,0.566624411723397,-0.793150967955506
