"","Activeness","Formality","Equality","Valence","Exchange"
"Religious leader and Congregant",0.278212481384951,0.495354189832705,-0.924045944365266,0.357709896942265,-0.374686187551163
"Between religious followers",-0.730348463165477,-0.505314762877417,0.370210143140491,0.389710568162131,-0.939360357846292
"Prostitute and Customer",-0.917262720686663,0.56102621759272,0.207374485392253,-0.577828258865446,3.74622200729484
"Guide and Tourist",-0.607275058465498,1.31761851396809,0.706117198010668,0.973666012560301,1.05421363830439
"Athlete and Referee",-0.374890161562711,0.876783483259903,0.180619033739838,-0.330125201632132,-0.579189499437231
"Slave and Master",-0.838029542304162,-0.386331675955233,-1.54080204611314,-2.21943973153192,1.44274540623954
"Reader and Writer",-1.87438718521022,-0.170448009641628,-0.336950461279795,1.49332580247422,0.756353026374568
"Reviewer and Writer",-0.894833227764047,0.188244993708039,0.375743378785517,-0.353448884187406,-1.75063237728852
"Performer and Audience",-0.413105011203364,0.00502903318610621,-0.0260940673245806,0.651342366721624,-0.994144506364064
"Dealer and Buyer",0.829604633593432,1.78999045932877,0.715489995027586,-0.135180136399895,1.15407221759614
"Sugar-daddy and Sugar-baby",-0.894035441980422,-0.119935842408689,-0.994397296434546,-0.645984396859667,2.54406296608314
"Director and Performer",1.04900755464528,0.678498608348707,-0.039397888800971,0.068707743306277,-0.0842126006077074
"Psychologist and Client",1.43568211510836,0.554726310695247,-0.506635909001031,0.0847402745588332,-0.184623487307898
"Judge and Contestant",-0.45150725463801,0.540017933647778,0.416847292225514,-1.15185003114739,-1.45869058750484
"Man and God",-0.391842664389781,-1.55795490594416,-1.42781179054008,0.708785053843152,-0.00320022282409405
"Between Co-workers",1.1322125228135,1.26888077929642,1.35624821388491,0.156551998946207,-1.22351060907777
"Between sports rivals",-0.333439937794065,0.165023261490978,1.20529659351723,-1.77239661408923,-2.13967183394971
"Between romantic rivals",-1.01899990286481,-1.60308645611396,0.225073543931034,-2.30155341098675,0.274156210399321
"Between criminal and their accomplice",0.569801159222611,0.0280976230426936,0.63093258109774,-1.29043762894246,1.26882488255432
"Between diplomats",0.272782867225477,1.2866402107787,0.844854775305874,-0.351977444232911,-0.780773008214708
"Principal and Teacher",0.590185035852359,0.974942268620307,-0.790760501283091,0.545777278386324,-0.510273510320302
"Professor and Teaching Assistant",0.292336314973169,0.806757371177711,-0.77097647376076,0.800123484976056,-0.866798531323145
"University student and Administrator",-0.498285524962651,0.616379672352414,-1.29058229963741,0.476544645380035,-0.674966183788066
"Student and Dorm Resident assistant",-1.34488308010088,0.590133945075311,-0.390421009734025,0.907201583116207,-0.979269241504656
"Mentor and Mentee",1.61494435499909,0.899378425168798,-0.979708430602971,0.136996148215622,-1.51024404416403
"Athletic trainer and Trainee",1.21750551038392,1.02752719931952,-0.899569109879003,0.437167102465325,-0.96527502755785
"Researcher and Research Subject",-0.199200710869837,1.35672340302643,-0.184779780575154,0.84941740942505,-0.952652766437845
"Between peers",-0.428905854517045,-0.579885957627203,2.1629346771579,0.00390118139158752,-0.63315689024265
"Between classmates",0.504062808818398,-0.300498520903719,2.14857005282768,-0.127836523787984,-1.13851319519032
"Between roommates",-0.296693653500539,-0.910730375234263,1.69218387382682,0.408613344184302,-0.0996977250422846
"Between sorority sisters",-0.814333889537668,-0.346191391756223,1.84731581450804,0.738833298177738,-1.27058146165367
"Between fraternity brothers",0.618612076070548,-0.0394026219946839,1.87070526479845,0.0920012605377556,-0.342552867101939
"Bride and Bridesmaid",1.04881164859421,-0.979436244714513,0.649588185036697,0.524812083102918,0.667954975367416
"Groom and Groomsman",1.18951016337604,-0.944081658812658,0.488259674427619,0.503918347471206,0.610749651289268
"Predecessor and Successor",-0.372019415475081,1.30300117352528,-0.215557774179267,0.00944411239112936,-0.612792864631361
"Landlord and Tenant",-0.0607554091792113,1.61250253651702,-0.241264405513238,0.2422112459035,0.714918262781306
"Landlord and Housekeeper",-0.0546190391939753,0.830704956135652,-0.697894834045548,0.105321923469332,1.33574208392128
"Guest and Host",-0.114598670562535,0.77760777784716,-0.0615451156384909,0.399482249345938,0.182864684518399
"Television host and Guest",-1.00941659982506,0.868458966065152,0.276711641620505,0.666851146335747,-0.498896928859715
"Volunteer and Organizer",0.674838637844122,0.608755136325671,0.240196507871784,0.603954139410254,0.0787383799075732
"Celebrity and Fans",-0.591753328954004,-0.25319412977637,-1.13511838971432,0.447165254903537,0.50753631160239
"Celebrity and Haters",-1.39838739741255,-0.845995666055204,-0.726231513933713,-2.04499663788186,0.0778438104744404
"Native and Tourist",-1.01362294695786,0.343529104515591,0.150584971630482,0.267687981097674,0.380006784178463
"Bully and Victim",-0.729504812073528,-0.788970988807126,-0.463348660521921,-2.731947808017,0.555851188915467
"Between friends",0.91225893965345,-0.629720657793985,1.06172594684936,0.804570830105148,0.30070962629544
"Between Facebook Friends",-1.32584257441227,-0.740626113457868,0.548793839557204,0.757340665328888,-0.699824070778094
"Between a person and their social media follower",-1.53538716776348,-0.247378904434876,0.0635940414897895,0.642055551357673,-0.128646372235025
"Between childhood friends",0.434920563456775,-0.935886742130924,0.744195170848074,0.871790396587941,-0.45750405799021
"Between pen-friends",-1.68205100132953,-0.991518180971642,0.184208702130996,0.905533972137165,0.427618391213696
"Between friends with benefits",-0.485808366658336,-0.963135310948375,0.493750494194951,0.0732129684253006,2.20751045868072
"Between political allies",-0.066029640785173,1.62537733707036,-0.0753951124584245,-0.786182231368725,-0.122704576527678
"Between romantic lovers",1.71202572050887,-1.29582844598827,1.02564040383758,0.187186455609155,1.74249360692252
"Between ex-lovers",-0.764469286798731,-0.895296118431576,0.220962322885943,-0.913108348932908,0.470885042510983
"Between life-partners",0.928026757745008,-1.33827728582194,0.732132120550567,0.71700008778696,1.57362471216277
"Between soul-mates",0.381367525541579,-1.50022615774892,0.653670743375239,0.732054094924772,1.75304034569875
"Between strangers",-3.55750964364865,-0.147788764183791,0.335439112589507,0.763672243227171,-0.0480238671210739
"Between neighbors",-1.06411364367395,-0.0339098647662749,1.024098119416,0.462014589926051,-0.588615962181125
"Between church members",-0.372549715091101,-0.52619155079975,-0.461187388381605,0.32902509417298,-1.52624673576315
"Between fans of the same sports team",-0.562017618215537,-0.639056116466869,0.36303841238964,0.676920803179233,-1.36786681841763
"Between fans of opposing sports teams",-1.35361629338081,-0.671424472832575,0.326684671297015,-1.23101422314164,-1.37419743871131
"Superior and Subordinate",0.466312609650492,1.47088118992962,-0.61840787205644,-0.430191818631731,0.445855142242637
"Aunt and Niece/Nephew",0.552838839060972,-1.29909211232403,-1.25517860050163,0.923291495349772,-0.689639950374913
"Uncle and Niece/Nephew",0.564426372908411,-1.29307926860463,-1.28574637124393,0.924247753556322,-0.702281805815723
"Between frenemies",-1.40075692521931,-0.83473315607569,1.17220458105656,-1.35408954566855,0.16434996706722
"Between half-siblings",0.993974208408152,-1.08117499226071,0.768446113352078,-0.494170353975988,0.289636811530748
"Between adoptive parents and adopted kids",1.67482512564432,-1.04416525331947,-1.44152249249918,-0.120074533089767,0.645550724501768
"Mother and Infant",1.54733476508083,-1.6438643359845,-2.11300700193626,0.413844994052824,-0.229190866193978
"Between alumni",0.188831254381709,0.119558337758473,1.57158989734889,0.112287388352319,-0.725656268451718
"Between a monarch and their minister",-0.715109090373928,1.1655550182211,0.384993066782716,0.473336017930257,0.589563884644387
"Between confidants",1.14770994249713,-1.09511610536638,0.955214473600888,0.406627494672717,0.113888615815397
"Between a person and their significant other",1.70994110096096,-1.36651724795673,0.971036955275002,0.102801790779345,1.55394987677569
"Between companions",0.56330500457647,-0.313258042414292,1.16472215572191,0.689285899683182,-0.0807859614826678
"Between playmates",0.874096242355153,0.268253900578576,1.36668682306269,0.431432154266904,-0.372610900363289
"Between competitors in sports",-0.755592896165909,0.280418483959985,0.608508319419549,-1.24976858338986,-1.16432412632085
"Between a person and their crush",-1.56577312463415,-1.6593927710506,0.245924752109885,0.755839993899702,1.36686088631206
"Between cohabitants",0.558436096903674,-0.256342403741122,0.836302893372012,0.267925547417435,0.374479040226895
"Between long-distance lovers",0.00747229441692028,-1.32082286991504,1.21038188625267,0.794218505760884,1.68049777696384
"Between brothers-in-arms",-1.03574589097027,0.0742631037682829,0.605245330211961,0.180300766295558,0.0818203355194023
