"","Activeness","Exchange","Socioemotional","Valence","Formality"
"Parent and Child",1.71569568036281,-0.667863367806926,1.53880525781235,-1.26650094745859,-0.0568805567202962
"Parent and Teenager",1.40413973573377,-0.480726798294975,1.19919455341485,-1.80424464165197,0.0243759954394794
"Wife and Husband",0.720681107255458,0.348137884880127,2.75813732406667,-0.376680436263223,-0.348573456548747
"Fiance and Fiancee",0.187998713945525,-0.0702215504372768,2.45238403489515,-0.139759705978083,-1.00417398914617
"Between Siblings",0.894657547876867,-0.897994223500807,1.2266226615085,-0.698387549939175,-0.234040620983307
"Between divorced spouses",-1.74138795966771,-0.179227170518013,-0.442704467502045,-0.170597724035323,-0.407944013285964
"Between a person and their in-laws",-0.182762513344679,-0.525592145887079,-0.102984218924988,-0.424345745753097,-0.0340597299393002
"Between cousins",0.628510505170464,-1.20907169164402,0.086891693776318,-0.522303644501296,0.0118576585157289
"Employer and Employee",1.45678886292234,1.98378900889422,-0.591420812845268,-0.894345692083162,-0.00294653627443009
"Interviewer and Job applicant",0.175299436494329,0.815865185869974,-0.705575333612826,0.0175401949422064,0.0884174643662735
"Guard and Prisoner",-0.563779557663917,-1.03790453151893,-1.3357098952863,-1.0380663112665,-0.395713489539329
"Nurse and Patient",0.180565172846553,0.827287727513067,0.281276280522741,0.896509357683751,0.506232964548051
"Therapist and Patient",0.774991560646673,1.20903588094355,0.460040130773905,0.66963147237208,-0.141002662129097
"Salesperson and Customer",-0.218015492463726,2.17758964650691,0.227228639141693,0.505796294676858,-0.410039244894009
"Between Business Partners",0.647529703050762,1.92114183443272,0.0585642042858698,-0.0958430382901339,-0.841343490189459
"Between opposing negotiators",-0.248255039529953,1.03101450415213,-0.0497537000686434,0.482937647074805,-0.102405653718094
"Between political opponents",-0.353105316984585,-0.625140404179275,-1.0598236749431,0.145445590961934,1.18028838179114
"Between business rivals",-0.681676229684307,0.687255883680737,-0.669720872826214,-0.778926538525828,0.264118574591257
"Between enemies",-1.35576183500005,-0.766511451433164,-0.461127027689698,-0.921813299591204,-0.319279050204541
"Teacher and Student",1.91753582649814,0.0315331558175144,-0.735588584614002,0.517174445572764,1.13523181723928
