"","V1","V2","V3","V4"
"Parent and Child",-2.46295181998412,-0.871769696959405,-0.151612057475286,-1.46753610281449
"Parent and Teenager",-2.33500652657248,-0.812929628231047,-0.919567128639614,-0.955276673378339
"Wife and Husband",-2.18344168871785,-1.07449329530307,0.141026215793883,1.01279911044355
"Fiance and Fiancee",-1.71572358550383,-1.23615246986131,0.554943386217534,0.899585961402398
"Between Siblings",-1.71756399674202,-1.03825198100928,0.0187657628118067,-0.98552785234331
"Between divorced spouses",1.26763400273398,-0.110438190393819,-0.777304954816046,0.191841773446696
"Between a person and their in-laws",0.768358515647924,-0.518572340039208,0.249129125544281,-1.53147853426857
"Between cousins",0.466855990835119,-1.21630958624219,0.635202603610591,-1.13171626056955
"Employer and Employee",-1.00801750337341,1.80834157137042,0.321339153648215,-0.81937435293591
"Interviewer and Job applicant",0.428467088637975,1.09077739595333,0.19116275683091,-1.48035126567706
"Guard and Prisoner",0.216058754126825,0.0700416690541673,-2.91717874964404,-2.31505753059935
"Nurse and Patient",-0.650931409630363,0.993041605906901,0.487139080946486,-1.79487616127524
"Therapist and Patient",-1.41941096569656,0.941290996927332,0.0540307451290903,-0.716659153801389
"Salesperson and Customer",0.554806254332543,1.68607722020642,0.96953390426426,1.59132237627664
"Between Business Partners",-0.640924338136729,1.21281727214238,0.521760802240339,1.33544752875303
"Between opposing negotiators",0.957516525873144,0.665691526193894,-1.45737727602992,-0.103542749919445
"Between political opponents",0.0662043774976974,0.526649258841225,-1.82231009857891,0.257749545464268
"Between business rivals",0.320669294478405,0.776633885804011,-1.23248247192937,0.568869313398698
"Between enemies",1.16334695088449,-1.02773962740651,-1.9738884251218,0.962923978708415
"Teacher and Student",-0.993824446045724,0.647612346632641,0.101026475969503,-0.558861738450757
"Professor and Graduate student",-0.876449087143295,0.593131893604676,0.289465879540776,-0.29602967350134
"Master and Servant",0.408094847804585,0.197837198472036,-0.405795531605412,0.396404273775283
"Between Close Friends",-1.01745531848371,-1.22112541415429,0.985767309447057,0.037952356020177
"Between casual acquaintances",1.15771241810304,-0.660769140252597,0.906824965302161,-0.75967301817395
"Between teammates in sports",-0.260180598051011,0.419013731256971,0.973967928206297,-0.405865388509437
"Between second cousins",2.10942432896315,-1.06193306657967,1.21282652137901,-0.525896728677113
"Parent and Infant",-2.12261674198261,-1.26998939099955,-0.378449928953436,-0.853735003891883
"Grandparent and Grandchild",-1.12448769772925,-1.42273491659714,0.117899961903899,-1.02526637947759
"Step-parent and Step-child",-0.285295771077708,-1.07687968634547,-0.103659119092411,-1.1216798848467
"Foster-parent and Foster-child",-0.297992222292346,-1.14819935665723,-0.0742215339737667,-1.15729704210169
"Godparent and Godchild",0.60242730024873,-1.0574088417246,0.436386182539848,-0.963055234068081
"Step-grandparent and Step-grandchild",0.948139030815895,-1.15310350062438,0.358623417019619,-1.20517188511418
"Ancestor and Descendant",0.746300272843619,-1.30866089317511,0.649699262498269,-1.07381689604146
"Bride and Groom",-1.18639148864038,-1.32482443748494,0.568013817095886,1.36377210847902
"Man and His Mistress",0.0522489426846342,-0.946053908612103,0.114840344819106,2.38975249506523
"Man Wife and Man Mistress",1.35893918306541,-1.19589446183058,-1.1693450045414,0.541323270225882
"Brother and Sister",-1.19883947034875,-1.084316388115,0.537613859060444,-0.632599077923349
"Between step-siblings",0.623223207296351,-1.19529040810309,0.238840727423171,-0.557880478425024
"Between distant relatives",1.86229719962121,-1.03532582869594,0.792473342059642,-0.98625729391581
"Between close relatives",-0.532738838420979,-1.24133379821562,0.355620483531168,-0.811798566331346
"Between twins",-0.942419416323365,-1.64661023937574,0.296637531132994,0.171038389716339
"Between a person and their family friends",0.0216537629367711,-1.00767729559178,1.5016601097633,0.0731460984322317
"Between a person and their deceased spouse",0.959082702831793,-2.2987847467452,0.664718114285336,0.652209085385961
"Manager and Staff",0.240698681688204,1.26898189938523,-0.0952381633283369,0.717967466200826
"Foreman and Laborer",-0.00729503704559492,1.27732611822415,-0.802659585031427,0.847749825979411
"Owner and Manager",0.0589953865604919,1.28743264023874,-0.394323166213038,0.70858385818549
"Union leader and union member",0.241268426677398,1.25992572444861,-0.0736328967623568,0.400655703042022
"Manager and Assistant",-0.0438585418398651,1.27450207001314,-0.332585885641622,0.773639097760053
"Chief and Deputy",-1.01906051137146,1.53269652998186,0.180424531189043,-0.301940952081316
"Supervisor and Subordinate",-0.719557328377121,1.38532448105068,0.256547717934315,-0.309355725767223
"Boss and Secretary",-0.80954809146788,1.30066360531385,0.185073632983051,-0.0743694058839937
"Entrepreneur and Investor",-0.243626199548579,1.44675083893522,0.836228864141495,1.83313762689634
"Intern and Employee",0.339715212114993,0.905236531826606,0.457341505229711,-0.625861408373479
"Lawyer and Client",-0.999334386019186,1.46750209661683,0.315962422382396,0.949531874387206
"Judge and Lawyer",-0.466673365304542,1.1921436687128,-0.506913624119355,-0.555177961893126
"Victim and Criminal",0.714710297228336,-0.544529730156921,-3.10040951246724,-0.911071697569303
"Drug dealer and Addict",-0.0612624169314538,0.39415052516826,-0.742946280842827,2.15452472764768
"Victim and Witness",-0.679885423853222,-0.176004351550427,-1.80018459767266,-0.278777325923543
"Criminal and Police officer",-0.455147233038406,0.322022448286272,-2.91088460785528,0.0825217719702797
"Criminal and Prosecutor",0.4287687716296,0.468803526147174,-2.04571932721549,-0.139114554516871
"Criminal and Hostage",-0.0822129779604124,-0.126252319917324,-3.22561303205934,0.628978420243248
"Defendant and Plaintiff",-0.532380027569186,-0.0706185058554222,-3.29222888693547,0.342588765482999
"Police officer and Offender",-0.0811060688262178,0.615161027008595,-2.04577106813226,0.113932988587877
"Police officer and Civilian",0.564819030326692,0.509425986447728,-0.0816974267983241,-0.635505010673025
"Parole officer and Parolee",-0.717883206641068,1.04371764711956,-1.68323286162866,0.053698530172858
"Consultant and Client",0.303620146124342,1.59370492648076,0.996535721457084,2.07003060106019
"Chef and Customer",1.85826933726113,0.812012565107008,1.39474108604444,0.414755239447687
"Customer and Server",1.41937782354637,1.00712381835593,1.30838099803786,0.0225813933576662
"Customer and Businessman",0.165935852694043,1.53664629122248,0.916081737539113,1.75467045636276
"Doctor and Patient",-0.831921642995043,1.06819351415826,0.59210210782573,0.150335448238296
"Doctor and Nurse",-0.751540556767831,0.571134225237275,0.262131995052162,-0.702492966968352
"Patient and Caretaker",-1.1043823677396,0.222211697443771,0.268567727803651,0.399575301121532
"Driver and Passenger",1.0269868617005,1.08880238565547,0.762857747781469,0.371630447560187
"Coach and athlete",-0.556520526414935,0.714558321569846,0.841926418347744,0.0758557133286253
"Team Captain and Team Members",-0.491682211004583,0.433560885036749,0.884468862991986,-0.157904570283402
"Club Member and Club President",0.915953677854864,0.640715107938065,0.667144631209172,0.15353003808933
"Politician and Supporter",0.869050304884693,0.871972544212217,0.0133850718811727,-0.797572988833096
"Leader and Follower",-0.149942666965499,0.378660164863577,0.412541526931615,-1.39668861369684
"Representative and Citizen",0.584951859612361,0.619334403438908,0.738928423912268,-1.31119691211243
"Officer and Soldier",-0.145094430503319,0.750011929627246,-0.0679695730049411,-1.75747666010621
"Babysitter and Infant",-0.939184758152117,0.172141824928903,-0.0961783775836615,-0.268973053904372
"Religious leader and Congregant",-0.390258843033891,0.625929759915131,0.186586028389155,-0.902866504761409
"Between religious followers",0.789372275031443,-0.544080034903163,0.529835145890249,-0.843533192863716
"Prostitute and Customer",0.727917010893853,0.511851272742408,-0.802072203487205,3.35834051138941
"Guide and Tourist",0.698268716337085,1.19609491731887,0.959266547567082,1.37028576424381
