,Dim1,Dim2,cl_k3,cl_k6
parent and child,0.9912995,9.419825,1,3
parent and teenager,0.9815699,9.368969,1,3
wife and husband,2.9133937,11.57843,1,0
fiance and fiancee,2.857153,11.570402,1,0
siblings,2.458714,7.5251336,1,3
divorced spouses,14.0341625,5.425572,2,4
a person and their in laws,1.5834156,9.098412,1,3
employer and employee,10.538788,10.954457,0,1
interviewer and job applicant,9.334367,10.822858,0,1
guard and prisoner,13.536066,10.70226,2,2
nurse and patient,9.4541,10.44779,0,1
therapist and patient,9.785225,10.759482,0,1
salesperson and customer,11.894046,10.815344,2,2
business partners,9.934416,9.504962,0,1
opposing negotiators,12.822578,10.575608,2,2
political opponents,12.974698,10.457245,2,2
business rivals,12.925894,10.420044,2,2
enemies,14.116868,5.6016397,2,4
teacher and student,9.223519,9.61326,0,1
professor and graduate student,9.157033,9.294405,0,1
master and servant,13.758531,10.991423,2,2
close friends,2.85002,7.7249947,1,3
casual acquaintances,6.7171607,8.992651,0,5
teammates in sports,3.7257442,8.04969,1,3
second cousins,6.37095,8.828169,0,5
grandparent and grandchild,1.1610745,9.1733885,1,3
foster parent and foster child,1.1283377,9.421156,1,3
godparent and godchild,1.2844099,9.2569275,1,3
step grandparent and step grandchild,1.2417974,9.224526,1,3
ancestor and descendant,6.2560287,9.008219,0,5
man and his mistress,2.736481,11.631043,1,0
step siblings,2.479842,7.631955,1,3
distant relatives,6.3803506,8.799649,0,5
twins,2.5997488,7.5273576,1,3
a person and their family friends,2.7469532,7.9331527,1,3
manager and staff,9.617795,11.012883,0,1
union leader and union member,10.094359,9.859849,0,1
manager and assistant,10.648905,11.061138,0,1
entrepreneur and investor,10.706894,11.007486,0,1
drug dealer and addict,12.203809,10.735527,2,2
victim and witness,8.113746,9.8708105,0,5
criminal and police officer,13.6341505,10.774018,2,2
criminal and prosecutor,12.918295,10.845732,2,2
customer and businessman,11.812108,10.650569,2,2
representative and citizen,9.369114,10.268455,0,1
officer and soldier,9.523205,9.522262,0,1
religious followers,6.588847,8.932159,0,5
