,Dim1,Dim2,cl_k3,cl_k6
parent and child,0.8570992,5.2933226,1,5
parent and teenager,0.8504777,5.4312963,1,5
wife and husband,0.7851297,5.5950546,1,5
fiance and fiancee,0.76829207,5.5931325,1,5
siblings,2.522372,7.3132086,1,3
divorced spouses,7.8129635,13.201711,2,4
a person and their in laws,4.6581388,8.7392025,1,1
employer and employee,10.022269,8.113861,0,0
interviewer and job applicant,6.7778516,9.523165,2,2
guard and prisoner,7.2995143,12.145855,2,4
nurse and patient,6.8472066,9.666242,2,2
therapist and patient,9.603945,8.010274,0,0
salesperson and customer,10.050906,8.033031,0,0
business partners,9.669756,7.955826,0,0
opposing negotiators,7.315401,12.797781,2,4
political opponents,7.5365167,12.839378,2,4
business rivals,7.535904,13.085257,2,4
enemies,7.7015934,12.954356,2,4
teacher and student,6.914867,9.363313,2,2
professor and graduate student,7.2334757,9.6825485,2,2
master and servant,7.4900017,11.936011,2,4
close friends,2.7192693,7.4745626,1,3
casual acquaintances,4.486951,9.794516,2,1
teammates in sports,4.2285056,7.50565,1,3
second cousins,4.5741916,9.633142,2,1
grandparent and grandchild,0.7522834,5.558086,1,5
foster parent and foster child,5.6112013,9.469142,2,1
godparent and godchild,4.662782,8.843206,2,1
step grandparent and step grandchild,4.1364613,8.563719,1,3
ancestor and descendant,4.52662,9.092944,2,1
man and his mistress,4.1805673,8.445238,1,3
step siblings,3.228586,7.4013615,1,3
distant relatives,4.482837,9.792832,2,1
twins,2.6790895,7.44231,1,3
a person and their family friends,3.412437,7.821959,1,3
manager and staff,7.841791,9.926925,2,2
union leader and union member,6.396627,9.692351,2,2
manager and assistant,9.059003,9.534143,0,0
entrepreneur and investor,9.930615,8.068419,0,0
drug dealer and addict,10.182721,8.084287,0,0
victim and witness,5.2256503,8.485628,2,1
criminal and police officer,7.3045497,12.133491,2,4
criminal and prosecutor,7.312468,12.290576,2,4
customer and businessman,10.127597,8.159799,0,0
representative and citizen,7.3184104,10.061886,2,2
officer and soldier,7.2981014,11.587982,2,4
religious followers,4.7418923,7.7226534,1,3
reader and writer,6.4549336,9.183451,2,2
reviewer and writer,6.894612,9.482287,2,2
sugar daddy and sugar baby,9.042579,8.245868,0,0
director and performer,6.572073,9.670593,2,2
psychologist and client,9.741502,8.042746,0,0
judge and contestant,6.1636043,9.372234,2,2
man and god,3.5477207,6.924349,1,3
university student and administrator,7.7792416,10.080145,2,2
student and dorm resident assistant,5.88851,9.672636,2,1
athletic trainer and trainee,6.776961,9.426397,2,2
researcher and research subject,9.924893,8.247733,0,0
peers,4.8233147,7.829196,1,3
classmates,4.8311405,8.256906,1,1
bride and bridesmaid,3.2321336,7.668949,1,3
guest and host,5.863758,9.233494,2,1
television host and guest,6.219278,9.373281,2,2
volunteer and organizer,6.470618,9.517725,2,2
bully and victim,7.595002,12.812375,2,4
a person and their social media follower,4.878389,9.795529,2,1
childhood friends,3.3784072,7.719588,1,3
pen friends,4.51913,9.289469,2,1
friends with benefits,4.2186074,8.432762,1,3
life partners,0.801888,5.6299443,1,5
soul mates,0.8108573,5.593691,1,5
church members,4.577813,7.602652,1,3
fans of the same sports team,4.754476,7.783143,1,3
