,Dim1,Dim2,cl_k3,cl_k6
parent and child,1.323088,3.62513,1,1
parent and teenager,1.3843265,3.629271,1,1
wife and husband,2.3856347,0.54552263,1,4
fiance and fiancee,2.46115,0.5821677,1,4
siblings,1.9989353,3.0160298,1,1
divorced spouses,5.5653768,4.3602867,1,3
a person and their in laws,1.9169421,3.6323702,1,1
employer and employee,9.1486435,7.9826355,2,2
interviewer and job applicant,8.823836,7.734071,2,2
guard and prisoner,8.61103,8.082101,2,2
nurse and patient,9.573101,8.629462,2,2
therapist and patient,9.815541,8.418811,2,2
salesperson and customer,9.325032,7.8069687,2,2
business partners,8.983315,7.589602,2,2
opposing negotiators,7.499714,6.52856,2,5
political opponents,7.4888544,6.4761486,2,5
business rivals,7.4122424,6.4909163,2,5
enemies,5.856667,4.6785645,1,3
teacher and student,9.45572,8.73047,2,2
professor and graduate student,9.159352,8.628254,2,2
master and servant,7.322214,6.6301794,2,5
close friends,2.1009865,3.1068077,1,1
casual acquaintances,2.785902,3.6972094,1,1
teammates in sports,3.2308552,3.766862,1,1
second cousins,2.3572967,3.6314354,1,1
grandparent and grandchild,1.4565196,3.5226197,1,1
foster parent and foster child,1.5918566,3.3598795,1,1
godparent and godchild,1.3991828,3.6112525,1,1
step grandparent and step grandchild,1.4918535,3.5581996,1,1
ancestor and descendant,1.5353913,3.5813177,1,1
man and his mistress,4.726531,2.8624327,1,3
step siblings,1.994811,3.3036191,1,1
distant relatives,2.5276935,3.785802,1,1
twins,2.0802076,2.8885376,1,1
a person and their family friends,2.2625937,3.4500024,1,1
manager and staff,9.157936,8.054884,2,2
union leader and union member,9.551871,8.52397,2,2
manager and assistant,9.208449,8.099735,2,2
entrepreneur and investor,9.237674,7.67767,2,2
drug dealer and addict,9.337637,7.6333447,2,2
victim and witness,9.489324,8.825469,2,2
criminal and police officer,7.516474,6.690343,2,5
criminal and prosecutor,7.527833,6.6675987,2,5
customer and businessman,8.871082,7.888355,2,2
representative and citizen,8.821897,8.469263,2,2
officer and soldier,8.713011,8.39363,2,2
religious followers,3.1885846,3.7958786,1,1
reader and writer,8.77942,8.571882,2,2
reviewer and writer,8.852965,8.235217,2,2
sugar daddy and sugar baby,9.559945,7.7856674,2,2
director and performer,9.426013,8.505239,2,2
psychologist and client,9.763191,8.691009,2,2
judge and contestant,9.02551,8.455296,2,2
man and god,1.5004551,3.5216792,1,1
university student and administrator,8.748894,7.9554925,2,2
student and dorm resident assistant,9.044656,8.329415,2,2
athletic trainer and trainee,9.319358,8.204618,2,2
researcher and research subject,9.4643135,8.200425,2,2
peers,2.190046,3.3692358,1,1
classmates,3.3124607,3.7407384,1,1
bride and bridesmaid,3.036505,2.9973545,1,1
guest and host,9.540489,8.444345,2,2
television host and guest,9.253434,8.573937,2,2
volunteer and organizer,9.264832,8.669717,2,2
bully and victim,6.9413023,6.4336343,2,5
a person and their social media follower,5.5431366,4.4655447,1,3
childhood friends,2.0012012,3.1356373,1,1
pen friends,2.7564104,3.8053162,1,1
friends with benefits,2.7297645,1.1473082,1,4
life partners,2.3737075,0.5561314,1,4
soul mates,2.494878,0.61793023,1,4
church members,3.2708306,3.6234725,1,1
fans of the same sports team,3.4729588,3.8736832,1,1
fans of opposing sports teams,5.477491,4.2671685,1,3
superior and subordinate,8.687383,8.2508745,2,2
a monarch and their minister,8.373314,8.171791,2,2
cousins,3.5303445,1.7967931,1,4
parent and infant,2.9673219,0.8370536,1,4
step parent and step child,3.354857,1.3614404,1,4
bride and groom,2.7045922,0.94492126,1,4
man wife and man mistress,4.3814635,2.5038812,1,4
brother and sister,3.5404253,1.4758339,1,4
close relatives,3.356036,1.503337,1,4
a person and their deceased spouse,3.3035958,1.889779,1,4
foreman and laborer,4.130652,11.039328,0,0
owner and manager,3.7391365,11.298178,0,0
chief and deputy,3.1831362,10.976708,0,0
supervisor and subordinate,4.0822496,11.0640135,0,0
boss and secretary,3.71326,11.219286,0,0
intern and employee,4.136207,10.97302,0,0
lawyer and client,4.0723577,10.712159,0,0
judge and lawyer,4.2675514,10.211331,0,0
victim and criminal,5.5418,3.8584502,1,3
criminal and hostage,6.730878,6.440528,2,5
defendant and plaintiff,6.5578055,6.435881,2,5
police officer and offender,6.6244516,6.549018,2,5
police officer and civilian,3.5527587,11.049536,0,0
parole officer and parolee,6.6017227,6.508554,2,5
consultant and client,4.4263353,10.7290125,0,0
chef and customer,4.656171,10.588658,0,0
customer and server,4.5156546,10.74732,0,0
doctor and patient,3.8009398,11.555949,0,0
doctor and nurse,3.4035609,11.5928335,0,0
patient and caretaker,3.7905293,11.513712,0,0
driver and passenger,3.2656543,10.761849,0,0
coach and athlete,3.2220218,11.546047,0,0
team captain and team members,3.306346,11.570444,0,0
club member and club president,3.0686622,11.312355,0,0
politician and supporter,4.1385255,10.398359,0,0
