,Dim1,Dim2,cl_k3,cl_k6
parent and child,3.347782,5.8762317,0,2
parent and teenager,3.19805,5.815287,0,2
wife and husband,-0.07236151,4.627407,0,1
fiance and fiancee,-0.08089975,4.631657,0,1
siblings,3.2159195,6.090568,0,2
divorced spouses,5.3587446,8.558201,1,5
a person and their in laws,3.4631705,6.326006,0,2
employer and employee,7.9693327,13.014369,2,4
interviewer and job applicant,6.8157396,11.487781,2,0
guard and prisoner,7.166794,9.000272,1,3
nurse and patient,5.4384356,10.639161,1,0
therapist and patient,8.036874,12.918748,2,4
salesperson and customer,7.486552,11.31681,2,4
business partners,8.115149,12.982471,2,4
opposing negotiators,7.1085706,10.710219,2,3
political opponents,6.996917,10.5385895,1,3
business rivals,6.898905,10.554081,1,3
enemies,5.830751,8.374377,1,5
teacher and student,5.3077035,10.859202,1,0
professor and graduate student,5.2149873,10.792389,1,0
master and servant,7.198159,8.912049,1,3
close friends,3.3550534,6.058627,0,2
casual acquaintances,5.1064453,8.428555,1,5
teammates in sports,2.6223514,5.274848,0,2
second cousins,3.9153144,6.9069886,0,2
grandparent and grandchild,3.2838066,5.981862,0,2
foster parent and foster child,3.4244022,6.310703,0,2
godparent and godchild,3.539213,6.406772,0,2
step grandparent and step grandchild,3.255003,6.1996274,0,2
ancestor and descendant,4.091922,6.9147034,0,2
man and his mistress,-0.08967012,4.650921,0,1
step siblings,3.2274966,6.1721377,0,2
distant relatives,4.997,8.179358,1,5
twins,3.5854042,6.6615047,0,2
a person and their family friends,3.5984483,6.6901097,0,2
manager and staff,7.7461185,13.13873,2,4
union leader and union member,4.8655024,10.930264,1,0
manager and assistant,8.003377,13.106839,2,4
entrepreneur and investor,7.74891,11.35245,2,4
drug dealer and addict,7.9650774,11.734194,2,4
victim and witness,3.8336895,7.371934,0,2
criminal and police officer,7.2268653,8.945508,1,3
criminal and prosecutor,6.7981358,8.979691,1,3
customer and businessman,7.7383966,11.403667,2,4
representative and citizen,5.127759,9.674911,1,5
officer and soldier,5.0942163,10.959788,1,0
religious followers,2.8416603,5.563137,0,2
reader and writer,5.118116,9.281579,1,5
reviewer and writer,5.137146,9.354831,1,5
sugar daddy and sugar baby,0.5155943,4.483838,0,1
director and performer,5.0580754,10.994233,1,0
