,Dim1,Dim2,cl_k3,cl_k6
mother and infant,9.523805,3.8391623,1,1
alumni,11.19125,2.9918773,1,4
confidants,9.72745,3.4180992,1,1
a person and their significant other,9.128074,3.5735657,1,1
companions,9.843446,2.860432,1,4
playmates,10.018374,2.7791543,1,4
competitors in sports,10.648767,9.670521,2,5
a person and their crush,10.166171,4.637104,1,1
cohabitants,10.22376,2.4508967,1,4
long distance lovers,9.252073,3.4211247,1,1
brothers in arms,11.526624,4.347292,1,4
