"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15712.9346977769","","","","","",
"Africa Eastern and Southern","AFE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755.84179001311","746.467982171858","726.601820229023","724.427716050411","726.943189617348","748.929620453246","757.837725075873","765.370067221343","776.413067481537","775.860685111709","771.684582375553","781.618004028588","784.002128045851","793.428144063067","821.161900191801","849.320882587476","897.448814123347","922.283105328968","915.137629512335","911.44880138527","934.213986568521","930.520691388195","952.660122321044","971.784098806064","987.536672639755","1001.06939415633","1003.02769407423","1008.01793809752","1010.64303310327","1030.64133296852","1003.48031033031",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","1028.02844648573","919.659579064146","736.745025031788","748.474401589314","852.388823766066","792.279592483705","739.159820101586","749.157799835852","686.92669249073","776.859336286929","796.777736128538","865.720767953491","800.506365447877","717.842950376282","734.617844508438","831.446627154092","793.846054675687","777.786030442034","727.64329719178","722.872550739967","1000.46155513971","1094.23272211009","1166.32208926096","1143.15511474177","1237.06660481209","1085.73434902419","1333.40102862099","1161.0236623609","1315.34963953975","1317.61939532363","1266.65700323072","1254.76477488854","1425.24771746301","1416.77355141408","1415.96099931616","1342.93603420335","1315.3164869155","1348.1254673797","1318.22403486537","1302.50211969342",
"Angola","AGO","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1391.82604641111","1456.19176817826","1462.47586617288","1482.64934916784","1521.60259561322","1554.32025984626","1620.06560739187","1722.23820179682","1725.1386579849","1834.05977335469","1943.40700750962","2030.63701501765","2209.35675985119","2197.83186083864","2250.06033673212","2239.65739493901","2093.49584834678","1994.27899208587","1854.64170085585",
"Albania","ALB","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1714.81341608213","1415.47971969108","1348.17954983873","1397.47199031728","1493.55665991649","1567.9245748539","1685.36812819939","1867.28532177005","1944.33654037354","2079.24350075516","2236.94672791179","2540.87852066632","2819.7360182371","2859.10241135502","2921.33316204394","2981.08727385284","2989.86598068623","3050.3682366119","3142.77343812806","3189.70564767253","3263.0233702664","3345.37152753293","3465.61725831825","","",
"Andorra","AND","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2215.45541365899","2293.53196307763","2327.30500843095","2377.71941909862","2510.40866628138","2579.64639463203","2751.19842736424","2928.95323988909","3087.23590388894","2968.59755238075","2845.62361441193","2880.95200142938","2988.45282359246","3037.68269162906","3156.34317276136","3094.55383805261","3124.76659633318","3186.72761148538","3199.21111265168","3240.391834462","3141.09258967869",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43190.4517484776","43548.8725105732","41627.862560292","42316.7182010817","38525.321675631","38434.8155698551","37084.729382115","36112.699458383","23278.3028372696","15682.1725313251","16620.6677320213","14507.9056672574","15170.1477112211","17009.0445531437","13691.6990095871","13769.4867750577","14860.3854338066","15531.3384039099","17358.7916989325","",
"Argentina","ARG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6149.76155775126","6440.93738506535","6083.72896049789","6344.25645015118","6834.05039707682","6991.92548532082","6776.34698372959","6657.96380248685","6207.54682024481","5259.20713888289","5628.17134965229","6098.12632311663","6481.42096623284","7118.88333845262","7706.34155368524","8183.01235019708","7664.32946369617","8457.96700369092","9144.32049404601","9141.32692467183","9368.5477700906","8862.27025201094","9087.79573493006","8922.06360269184","9197.19895562786","8901.54674770311","8232.91122919249","7087.13177845978",
