,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,6.574416,-19.013494,2,3
nurse and patient,3.4989855,-25.130844,0,2
man wife and man mistress,6.4321947,-19.379927,2,3
parent and infant,1.9060051,-24.297075,0,5
a person and their crush,4.1414022,-24.998423,0,2
volunteer and organizer,4.1454473,-25.547255,0,4
doctor and patient,3.3282447,-25.101238,0,2
prostitute and customer,3.1480432,-27.46524,1,0
distant relatives,2.2422314,-24.465574,0,5
landlord and tenant,2.7489693,-27.755335,1,0
ancestor and descendant,2.0807517,-24.001501,0,5
representative and citizen,4.008648,-28.323725,1,0
a person and their deceased spouse,4.417057,-24.098661,0,2
television host and guest,5.305663,-22.446804,0,1
guest and host,5.626346,-22.533962,0,1
neighbors,5.0662246,-22.560097,0,1
dealer and buyer,4.1238923,-27.714489,1,0
friends,5.0161805,-25.908005,1,4
judge and lawyer,3.68214,-28.638945,1,0
officer and soldier,3.9941778,-27.893555,1,0
teammates in sports,3.8168511,-26.299007,1,4
patient and caretaker,3.774991,-28.696463,1,0
frenemies,6.734259,-19.128948,2,3
enemies,6.4509573,-19.337217,2,3
slave and master,4.1608686,-25.841364,1,4
therapist and patient,3.3542218,-25.270634,0,2
godparent and godchild,2.5290282,-24.192076,0,5
step parent and step child,2.3642483,-24.301313,0,5
wife and husband,4.315306,-24.059582,0,2
romantic rivals,6.557918,-19.001549,2,3
romantic lovers,4.1297336,-23.98223,0,2
brothers in arms,5.066437,-26.02966,1,4
driver and passenger,3.0759926,-28.607225,1,0
employer and employee,3.9361954,-28.22346,1,0
university student and administrator,5.592854,-22.765875,0,1
athletic trainer and trainee,3.2637072,-25.295795,0,2
native and tourist,3.6253722,-25.854681,1,4
co workers,5.565635,-22.717934,0,1
bride and bridesmaid,5.145204,-25.835651,1,4
alumni,5.196805,-22.841917,0,1
sports rivals,6.9070325,-19.140163,2,3
classmates,5.251858,-22.825893,0,1
psychologist and client,3.450737,-25.35917,0,2
reader and writer,3.3967338,-28.225285,1,0
aunt and niece/nephew,1.900522,-24.390177,0,5
guard and prisoner,4.0602465,-25.851444,1,4
criminal and police officer,6.8758316,-19.013203,2,3
church members,5.2384377,-22.520452,0,1
friends with benefits,4.208818,-23.953468,0,2
parent and child,2.1184726,-24.433899,0,5
predecessor and successor,5.457618,-22.681057,0,1
defendant and plaintiff,6.7949405,-19.29518,2,3
roommates,5.0513816,-26.223475,1,4
mentor and mentee,3.3419647,-25.294271,0,2
customer and businessman,3.1549687,-28.47938,1,0
superior and subordinate,3.700528,-28.1495,1,0
victim and witness,5.377156,-22.699856,0,1
leader and follower,2.9494662,-28.477657,1,0
bride and groom,4.157743,-23.905678,0,2
union leader and union member,5.6448655,-22.649744,0,1
foster parent and foster child,2.2968407,-24.230307,0,5
police officer and civilian,3.345283,-28.458048,1,0
political opponents,6.663371,-19.03386,2,3
teacher and student,2.8401735,-27.851963,1,0
politician and supporter,3.150832,-28.178186,1,0
siblings,2.3305287,-24.097961,0,5
second cousins,2.4280908,-24.401194,0,5
manager and staff,3.1831915,-27.582521,1,0
drug dealer and addict,3.0092375,-27.817122,1,0
team captain and team members,3.965417,-28.069008,1,0
life partners,4.239152,-24.101385,0,2
soul mates,4.2669716,-24.140165,0,2
close friends,5.2168636,-26.018835,1,4
salesperson and customer,3.0692837,-28.241732,1,0
competitors in sports,6.5477285,-19.289658,2,3
boss and secretary,3.6404684,-27.722437,1,0
bully and victim,6.4568453,-19.26456,2,3
director and performer,3.3520746,-27.804136,1,0
confidants,4.054847,-25.140207,0,2
playmates,5.1844196,-25.84535,1,4
uncle and niece/nephew,1.9965559,-24.658894,0,5
step grandparent and step grandchild,2.0797763,-24.603228,0,5
guide and tourist,5.3057137,-22.708012,0,1
fiance and fiancee,4.0576262,-24.224716,0,2
criminal and prosecutor,6.4833465,-19.71146,2,3
long distance lovers,4.1013336,-24.053047,0,2
fraternity brothers,4.8549953,-26.16777,1,4
chief and deputy,3.4783864,-28.46997,1,0
adoptive parents and adopted kids,2.067787,-24.261927,0,5
master and servant,4.2116656,-25.867016,1,4
a person and their family friends,5.17465,-26.043009,1,4
owner and manager,3.2486825,-27.91338,1,0
groom and groomsman,5.1518235,-25.901249,1,4
strangers,3.8843462,-25.693008,1,4
a monarch and their minister,3.115657,-28.148016,1,0
step siblings,2.1337442,-24.440886,0,5
business rivals,6.86495,-19.268648,2,3
interviewer and job applicant,3.4100394,-28.124912,1,0
student and dorm resident assistant,3.3931284,-28.396976,1,0
manager and assistant,3.7152958,-27.461988,1,0
a person and their significant other,4.157348,-24.42829,0,2
ex lovers,6.78006,-19.684828,2,3
chef and customer,3.6175282,-26.82537,1,0
professor and teaching assistant,3.9407218,-26.860048,1,4
grandparent and grandchild,2.7111783,-24.878845,0,5
business partners,4.475399,-25.815117,1,4
peers,4.767419,-23.715477,0,1
twins,3.0903046,-24.656868,0,2
performer and audience,3.8396945,-25.31719,0,2
celebrity and fans,3.4337509,-26.60496,1,4
cohabitants,4.6076884,-26.042904,1,4
pen friends,4.578754,-25.782845,1,4
judge and contestant,3.5970628,-27.230438,1,0
casual acquaintances,5.072968,-23.010231,0,1
diplomats,5.376651,-22.890993,0,1
facebook friends,5.119263,-22.892857,0,1
club member and club president,3.8380172,-27.92571,1,0
victim and criminal,6.6224966,-19.443037,2,3
man and his mistress,4.2577047,-24.107204,0,2
sugar daddy and sugar baby,4.4204288,-25.404182,0,4
companions,4.964575,-25.994858,1,4
criminal and hostage,4.1333923,-25.935629,1,4
fans of opposing sports teams,6.5794525,-19.217873,2,3
reviewer and writer,3.0209932,-27.771418,1,0
close relatives,2.3648477,-24.409672,0,5
lawyer and client,3.5185347,-28.335558,1,0
athlete and referee,3.3877087,-27.6264,1,0
consultant and client,3.5204213,-27.818125,1,0
researcher and research subject,3.750213,-27.87439,1,0
coach and athlete,3.335594,-25.33148,0,2
criminal and their accomplice,4.965068,-26.013624,1,4
babysitter and infant,3.7430081,-27.666964,1,0
religious followers,5.5813384,-22.817226,0,1
mother and infant,2.151143,-24.505468,0,5
childhood friends,5.0358367,-26.039358,1,4
man and god,3.521717,-27.938957,1,0
divorced spouses,6.771842,-19.286036,2,3
half siblings,2.4714782,-24.429373,0,5
parole officer and parolee,3.6292443,-27.688313,1,0
landlord and housekeeper,3.5418715,-27.706583,1,0
a person and their social media follower,5.352399,-22.655067,0,1
parent and teenager,2.3837183,-24.243925,0,5
entrepreneur and investor,3.7535815,-28.235167,1,0
professor and graduate student,3.7295377,-26.458635,1,4
sorority sisters,4.987022,-26.08875,1,4
doctor and nurse,4.21361,-26.36723,1,4
intern and employee,5.5067687,-22.933071,0,1
cousins,2.3423462,-24.562809,0,5
brother and sister,2.3659682,-24.58076,0,5
political allies,3.9583328,-26.25609,1,4
supervisor and subordinate,3.7126842,-28.086416,1,0
religious leader and congregant,5.322374,-22.884657,0,1
fans of the same sports team,5.5033464,-22.605043,0,1
principal and teacher,3.3988402,-27.915644,1,0
celebrity and haters,6.676643,-19.381115,2,3
a person and their in laws,2.289173,-24.390339,0,5
police officer and offender,6.872903,-19.275976,2,3
customer and server,3.4833138,-28.041706,1,0
foreman and laborer,3.4803164,-27.979137,1,0
