,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,20.9522,8.949406,2,0
nurse and patient,-11.288672,19.434616,0,2
man wife and man mistress,21.01314,8.672828,2,0
parent and infant,-18.847027,34.84385,1,5
a person and their crush,-20.179956,36.010155,1,3
volunteer and organizer,-19.835182,35.869244,1,3
doctor and patient,-11.660574,19.50555,0,2
prostitute and customer,-19.088943,35.87813,1,3
distant relatives,-18.101229,34.251934,1,5
landlord and tenant,-14.952102,31.617563,1,1
ancestor and descendant,-18.027456,34.328194,1,5
representative and citizen,-11.613879,18.92259,0,2
a person and their deceased spouse,-18.026157,32.58177,1,4
television host and guest,-18.968607,36.611675,1,3
guest and host,-18.964848,36.36399,1,3
neighbors,-20.036968,36.7062,1,3
dealer and buyer,-12.047341,19.372839,0,2
friends,-19.814125,36.003574,1,3
judge and lawyer,-20.073849,36.29176,1,3
officer and soldier,-15.189012,31.09564,1,1
teammates in sports,-19.47998,37.125816,1,3
patient and caretaker,-11.715983,18.964737,0,2
frenemies,21.12446,8.640156,2,0
enemies,21.00077,8.649969,2,0
slave and master,21.356802,8.852263,2,0
therapist and patient,-11.541859,19.57784,0,2
godparent and godchild,-18.4855,32.53331,1,4
step parent and step child,-18.136417,32.80948,1,4
wife and husband,-18.131773,32.700424,1,4
romantic rivals,21.091715,8.788498,2,0
romantic lovers,-19.649963,36.912643,1,3
brothers in arms,-20.178867,36.196453,1,3
driver and passenger,-11.406617,18.99342,0,2
employer and employee,-19.004658,34.013943,1,5
university student and administrator,-19.93016,36.48355,1,3
athletic trainer and trainee,-19.486233,35.89902,1,3
native and tourist,-11.536821,19.121355,0,2
co workers,-19.684626,35.673298,1,3
bride and bridesmaid,-19.838213,36.19321,1,3
alumni,-19.225958,35.898087,1,3
sports rivals,20.9366,8.841189,2,0
classmates,-18.999748,36.10941,1,3
psychologist and client,-19.745481,35.889874,1,3
reader and writer,-11.565081,19.468658,0,2
aunt and niece/nephew,-18.778124,34.814087,1,5
guard and prisoner,-19.115353,34.093365,1,5
criminal and police officer,-14.782049,30.75678,1,1
church members,-19.224146,36.842785,1,3
friends with benefits,-19.30827,36.916626,1,3
parent and child,-18.93914,34.74332,1,5
predecessor and successor,-18.570505,32.91104,1,4
defendant and plaintiff,21.292768,8.965601,2,0
roommates,-19.608538,36.59691,1,3
mentor and mentee,-14.546603,30.786394,1,1
customer and businessman,-11.880822,19.218502,0,2
superior and subordinate,-14.485126,31.073229,1,1
victim and witness,21.047892,8.964147,2,0
leader and follower,-11.877341,19.499971,0,2
bride and groom,-18.221188,32.489403,1,4
union leader and union member,-19.103796,36.453667,1,3
foster parent and foster child,-18.21434,32.998787,1,4
police officer and civilian,-14.512563,31.39808,1,1
political opponents,21.326729,8.984097,2,0
teacher and student,-14.926221,30.914583,1,1
politician and supporter,-11.440023,19.210863,0,2
siblings,-18.383703,32.77164,1,4
second cousins,-18.17257,34.032673,1,5
manager and staff,-14.452981,31.305029,1,1
drug dealer and addict,-14.8967,30.839905,1,1
team captain and team members,-19.284254,36.539722,1,3
life partners,-18.32314,32.82975,1,4
soul mates,-18.518745,32.651474,1,4
close friends,-19.272106,36.355816,1,3
salesperson and customer,-11.831605,19.085453,0,2
competitors in sports,21.063084,8.810611,2,0
boss and secretary,-14.640768,31.02402,1,1
bully and victim,21.293749,8.637456,2,0
director and performer,-14.725661,31.073193,1,1
confidants,-19.384987,36.77232,1,3
playmates,-19.681868,36.563183,1,3
uncle and niece/nephew,-18.567287,32.68437,1,4
step grandparent and step grandchild,-18.203232,33.95838,1,5
guide and tourist,-11.67774,19.26389,0,2
fiance and fiancee,-18.513306,32.954594,1,4
criminal and prosecutor,-14.983722,31.281422,1,1
long distance lovers,-18.190008,33.03652,1,4
fraternity brothers,-19.578157,36.342075,1,3
chief and deputy,-15.0386305,31.08375,1,1
adoptive parents and adopted kids,-18.46301,32.692753,1,4
master and servant,21.176441,8.757688,2,0
a person and their family friends,-19.56661,36.014248,1,3
owner and manager,-14.765103,31.15745,1,1
groom and groomsman,-19.335596,36.148464,1,3
