,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,28.867113,14.52292,1,2
nurse and patient,-6.5541825,5.6511855,0,0
man wife and man mistress,28.645561,14.474267,1,2
parent and infant,4.194093,-3.0885115,2,4
a person and their crush,15.455904,-5.1519556,2,1
volunteer and organizer,-0.33797795,21.763346,0,3
doctor and patient,-6.404166,5.3939586,0,0
prostitute and customer,-6.6313405,5.7474337,0,0
distant relatives,4.681217,-2.64405,2,4
landlord and tenant,-6.998953,5.7878575,0,0
ancestor and descendant,3.8858747,-2.459541,2,4
representative and citizen,-6.2655096,5.9666257,0,0
a person and their deceased spouse,4.483991,-2.4783096,2,4
television host and guest,-6.72715,5.4695716,0,0
guest and host,-6.219344,5.521709,0,0
neighbors,-3.9965353,7.5696664,0,5
dealer and buyer,-6.8584747,5.582274,0,0
friends,-3.909071,7.7998405,0,5
judge and lawyer,-4.6213493,5.7327394,0,0
officer and soldier,-0.45480052,22.484976,0,3
teammates in sports,-3.7344592,7.79215,0,5
patient and caretaker,-6.0933104,5.7195425,0,0
frenemies,28.736862,14.281962,1,2
enemies,28.78108,14.6215725,1,2
slave and master,28.815233,14.041249,1,2
therapist and patient,-6.709941,5.9195375,0,0
godparent and godchild,4.1100717,-2.5777996,2,4
step parent and step child,4.2234383,-2.4828398,2,4
wife and husband,15.770557,-5.2411795,2,1
romantic rivals,28.847996,14.0681925,1,2
romantic lovers,15.5924225,-5.4232497,2,1
brothers in arms,-4.4312825,5.568161,0,0
driver and passenger,-3.6834457,7.877605,0,5
employer and employee,-5.3077784,7.6995006,0,5
university student and administrator,-0.5368156,22.364594,0,3
athletic trainer and trainee,0.12852153,22.380405,0,3
native and tourist,-0.5420504,21.906277,0,3
co workers,-4.1252646,7.728309,0,5
bride and bridesmaid,15.781578,-5.6653924,2,1
alumni,-0.22331704,22.545795,0,3
sports rivals,28.541197,14.339158,1,2
classmates,-3.740282,8.061752,0,5
psychologist and client,-6.7552686,6.0177293,0,0
reader and writer,0.11940908,22.230797,0,3
aunt and niece/nephew,3.9155543,-2.8501072,2,4
guard and prisoner,-4.824734,5.660858,0,0
criminal and police officer,-4.5649714,5.752879,0,0
church members,-3.9063978,7.8916006,0,5
friends with benefits,15.334923,-5.146862,2,1
parent and child,3.9979513,-2.9160774,2,4
predecessor and successor,-4.507374,5.8657007,0,0
defendant and plaintiff,-4.452329,5.6965666,0,0
roommates,-3.7926488,7.684559,0,5
mentor and mentee,-0.4525943,21.884493,0,3
customer and businessman,-6.438957,5.845894,0,0
superior and subordinate,28.670761,14.272783,1,2
victim and witness,-4.7421064,5.9521627,0,0
leader and follower,-0.35890985,21.89678,0,3
bride and groom,4.4270015,-3.0571303,2,4
union leader and union member,-5.390112,7.5860605,0,5
foster parent and foster child,4.126255,-2.8017678,2,4
police officer and civilian,-4.5748744,5.6429443,0,0
political opponents,29.02143,14.326078,1,2
teacher and student,-0.4785571,21.991585,0,3
politician and supporter,-6.2955794,5.873378,0,0
siblings,4.617627,-2.5411506,2,4
