,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,-5.1658607,16.867651,2,1
nurse and patient,6.4354973,25.000729,2,3
man wife and man mistress,-4.8007436,16.529366,2,1
parent and infant,6.3430157,25.093178,2,3
a person and their crush,-14.973567,-1.9056137,1,2
volunteer and organizer,14.947247,9.648143,0,5
doctor and patient,6.190081,25.24613,2,3
prostitute and customer,14.897804,11.066922,0,0
distant relatives,-14.394025,-1.9077306,1,2
landlord and tenant,14.648739,9.674745,0,5
ancestor and descendant,6.4481015,24.988073,2,3
representative and citizen,6.1132207,25.322983,2,3
a person and their deceased spouse,-1.056177,8.303234,2,4
television host and guest,14.1123,10.709542,0,5
guest and host,-14.184122,-2.459791,1,2
neighbors,-14.28146,-1.960236,1,2
dealer and buyer,15.407726,10.175737,0,0
friends,-15.046598,-2.725047,1,2
judge and lawyer,15.121967,9.770979,0,5
officer and soldier,14.230065,10.141813,0,5
teammates in sports,-14.951206,-2.0176578,1,2
patient and caretaker,6.240896,25.1953,2,3
frenemies,-4.930853,16.717173,2,1
enemies,-5.231987,17.13564,2,1
slave and master,14.235863,10.753136,0,5
therapist and patient,6.1625643,25.273653,2,3
godparent and godchild,-0.6497936,8.007258,2,4
step parent and step child,-0.17235447,7.6594195,2,4
wife and husband,-0.9690387,8.189052,2,4
romantic rivals,-4.7932663,17.107313,2,1
romantic lovers,-0.12796988,8.200143,2,4
brothers in arms,-14.423646,-2.3307858,1,2
driver and passenger,13.99358,10.354747,0,5
employer and employee,15.199564,11.03088,0,0
university student and administrator,15.315656,10.586815,0,0
athletic trainer and trainee,15.590214,10.476575,0,0
native and tourist,14.693266,11.018289,0,0
co workers,-14.794014,-2.767122,1,2
bride and bridesmaid,-0.39354482,7.688914,2,4
alumni,-14.22244,-2.396944,1,2
sports rivals,-5.015422,16.61886,2,1
classmates,-14.574728,-2.0250442,1,2
psychologist and client,6.2886677,25.14757,2,3
reader and writer,-14.159622,-2.093741,1,2
aunt and niece/nephew,-0.99406135,7.8363256,2,4
guard and prisoner,-5.0752826,16.941538,2,1
criminal and police officer,-4.9360414,16.988888,2,1
church members,-14.768243,-2.6491253,1,2
friends with benefits,-14.108736,-2.606447,1,2
parent and child,-0.5231648,7.9922514,2,4
predecessor and successor,14.314404,10.262016,0,5
defendant and plaintiff,-4.691035,16.801384,2,1
roommates,-14.781441,-2.1672862,1,2
mentor and mentee,6.0815644,25.35463,2,3
customer and businessman,15.141309,10.321683,0,0
superior and subordinate,14.36034,10.418597,0,5
victim and witness,6.1441374,25.29206,2,3
leader and follower,14.742191,9.853539,0,5
bride and groom,-0.715794,8.54183,2,4
union leader and union member,15.374107,10.736956,0,0
foster parent and foster child,-0.32161453,8.613349,2,4
police officer and civilian,6.092511,25.343676,2,3
political opponents,-4.8153496,17.141066,2,1
teacher and student,6.2438073,25.192394,2,3
