,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,17.451803,13.34371,0,2
nurse and patient,17.14545,12.142619,0,2
man wife and man mistress,17.312777,13.303447,0,2
parent and infant,15.2885475,13.882472,0,3
a person and their crush,17.956345,9.708494,2,4
volunteer and organizer,17.054495,18.956589,1,1
doctor and patient,16.894577,12.425424,0,2
prostitute and customer,15.155496,9.283402,2,0
distant relatives,15.166066,14.091208,0,3
landlord and tenant,15.17065,9.100993,2,0
ancestor and descendant,15.612647,13.857936,0,3
representative and citizen,18.990616,11.856715,2,5
a person and their deceased spouse,17.934458,10.044222,2,4
television host and guest,17.240788,19.98713,1,1
guest and host,17.457514,19.677532,1,1
neighbors,18.735554,11.874912,2,5
dealer and buyer,15.553732,9.230754,2,0
friends,16.660248,9.011798,2,4
judge and lawyer,16.342167,20.11486,1,1
officer and soldier,16.816837,18.957605,1,1
teammates in sports,18.686518,11.5876,2,5
patient and caretaker,16.994764,12.301967,0,2
frenemies,18.933329,11.051213,2,5
enemies,17.348837,13.440482,0,2
slave and master,16.327194,19.284689,1,1
therapist and patient,17.33748,11.989092,2,2
godparent and godchild,15.449566,14.129873,0,3
step parent and step child,15.451695,13.615362,0,3
wife and husband,15.17623,14.220066,0,3
romantic rivals,17.549822,13.250714,0,2
romantic lovers,17.673782,9.865225,2,4
brothers in arms,17.756056,11.441795,2,5
driver and passenger,15.577206,9.158644,2,0
employer and employee,16.258156,19.452593,1,1
university student and administrator,16.936329,19.079899,1,1
athletic trainer and trainee,16.537563,20.086998,1,1
native and tourist,17.245031,13.553933,0,2
co workers,19.00796,11.44257,2,5
bride and bridesmaid,16.934,9.241595,2,4
alumni,18.553131,11.389235,2,5
sports rivals,17.324097,13.62813,0,2
classmates,19.06656,11.280119,2,5
psychologist and client,17.207737,12.103327,0,2
reader and writer,15.431005,9.088917,2,0
aunt and niece/nephew,15.112061,13.810381,0,3
guard and prisoner,17.212917,19.348642,1,1
criminal and police officer,17.23349,19.676899,1,1
church members,18.476536,11.620494,2,5
friends with benefits,18.068892,9.607761,2,4
parent and child,15.588132,14.27311,0,3
predecessor and successor,18.532099,11.769717,2,5
defendant and plaintiff,17.098013,13.635668,0,2
roommates,18.993483,11.774016,2,5
mentor and mentee,16.837734,9.199109,2,4
customer and businessman,15.165988,9.44032,2,0
superior and subordinate,16.470743,19.764349,1,1
victim and witness,18.985794,11.324467,2,5
leader and follower,16.760069,19.61183,1,1
bride and groom,17.911955,9.778089,2,4
union leader and union member,18.885883,11.106016,2,5
foster parent and foster child,18.877802,11.62776,2,5
