,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,17.285992,-27.3903,0,0
nurse and patient,6.890894,27.026613,2,1
man wife and man mistress,18.335295,-13.43093,0,3
parent and infant,18.31073,-25.002178,0,4
a person and their crush,18.51111,-27.345509,0,0
volunteer and organizer,15.823713,-26.411652,0,5
doctor and patient,6.158051,26.89374,2,1
prostitute and customer,16.516768,-28.774693,0,0
distant relatives,18.457197,-24.851137,0,4
landlord and tenant,6.541519,26.709663,2,1
ancestor and descendant,16.012455,-26.076963,0,5
representative and citizen,16.49137,-28.549448,0,0
a person and their deceased spouse,18.372774,-27.330141,0,0
television host and guest,16.52028,-28.922592,0,0
guest and host,-15.736488,11.45869,1,2
neighbors,-15.512242,11.404092,1,2
dealer and buyer,16.888756,-29.056824,0,0
friends,-15.638575,11.387983,1,2
judge and lawyer,16.743183,-29.174938,0,0
officer and soldier,17.064768,-29.221064,0,0
teammates in sports,-15.570965,11.255128,1,2
patient and caretaker,6.6799173,26.951508,2,1
frenemies,18.100994,-13.332447,0,3
enemies,18.13003,-13.626747,0,3
slave and master,18.424002,-13.623289,0,3
therapist and patient,16.629782,-28.672228,0,0
godparent and godchild,18.412306,-25.086252,0,4
step parent and step child,18.067595,-24.768618,0,4
wife and husband,18.219803,-27.44603,0,0
romantic rivals,18.276527,-13.3362055,0,3
romantic lovers,18.222353,-27.249973,0,0
brothers in arms,16.710964,-27.133533,0,5
driver and passenger,17.098978,-28.930662,0,0
employer and employee,17.343378,-28.860056,0,0
university student and administrator,15.892706,-26.216972,0,5
athletic trainer and trainee,16.803051,-28.995302,0,0
native and tourist,17.019268,-26.185873,0,5
co workers,17.013712,-27.078623,0,5
bride and bridesmaid,-15.542123,11.82903,1,2
alumni,17.201668,-26.016993,0,5
sports rivals,18.560194,-13.488453,0,3
classmates,15.995347,-26.301565,0,5
psychologist and client,17.080576,-28.65704,0,0
reader and writer,17.357313,-26.21063,0,5
aunt and niece/nephew,18.381287,-24.593393,0,4
guard and prisoner,16.63082,-27.374708,0,5
criminal and police officer,18.310333,-13.603591,0,3
church members,-15.372134,11.370823,1,2
friends with benefits,16.854877,-27.022913,0,5
parent and child,18.041069,-24.485085,0,4
predecessor and successor,15.98306,-26.387459,0,5
defendant and plaintiff,18.5073,-13.604857,0,3
roommates,-15.542472,11.619505,1,2
mentor and mentee,6.3907213,26.813292,2,1
customer and businessman,16.947655,-29.025427,0,0
superior and subordinate,16.80048,-27.521759,0,0
victim and witness,17.102104,-26.244526,0,5
leader and follower,6.668137,27.323418,2,1
bride and groom,18.401941,-27.272886,0,0
union leader and union member,16.924349,-26.802567,0,5
foster parent and foster child,18.22213,-24.637264,0,4
police officer and civilian,6.5838895,26.904572,2,1
political opponents,18.272797,-13.472206,0,3
teacher and student,6.2581778,27.035204,2,1
politician and supporter,17.228933,-28.837885,0,0
siblings,18.366728,-24.569233,0,4
second cousins,18.241804,-24.91401,0,4
manager and staff,6.756514,27.079237,2,1
drug dealer and addict,16.204805,-26.380495,0,5
team captain and team members,6.5540147,26.823404,2,1
life partners,18.178152,-27.369226,0,0
soul mates,18.344475,-27.34283,0,0
close friends,-15.487093,11.759684,1,2
salesperson and customer,16.536451,-28.76862,0,0
