"","PC1","PC2","PC3","PC4","PC5"
"parent and child",-5.01566802178712,-0.313154461556217,-1.18361944319901,-0.172905959767812,-0.165717143415987
"parent and teenager",-3.25862846569332,0.246001155001045,-1.92826386355098,-0.891743352755714,0.324069573172078
"wife and husband",-6.93950979897123,0.81093744296572,-0.530854738744572,0.400167016757698,0.781577515951018
"fiance and fiancee",-6.88513725785296,0.0668763328756238,-1.05333497066002,1.58152056498834,-0.455485617640218
"siblings",-4.93645333613122,1.13561060235991,0.342888186759342,-0.900238037450284,-0.789524525629252
"divorced spouses",2.56888293364459,1.8146476775308,0.0699254383185599,3.81247720417205,0.44242146558964
"a person and their in laws",-0.48941922349511,0.932629299091432,0.83803386457265,-0.225066624002938,0.539987442379049
"employer and employee",2.34964580808713,-2.26257104880427,0.638537607485372,0.121521243523873,-0.319990081399969
"interviewer and job applicant",1.45913288054955,-2.15120040981883,-0.446177612924346,-0.0645154058692371,0.116223127230051
"guard and prisoner",3.46727212193953,0.476568367871232,-1.90340868471207,-0.356633010175304,-1.00680078770905
"nurse and patient",-0.57818801267472,-2.50235192124918,-0.564900822064809,-1.66527559136575,-0.305636012793795
"therapist and patient",-1.02687020727894,-3.29931823975379,-0.964145135805778,-0.724566658898136,0.530948424606406
"salesperson and customer",3.42016409120724,-1.62189362515298,1.0034941366301,1.45772363541111,-0.137707357980359
"business partners",-0.644282042800787,-3.30035537839303,-0.872257061045067,2.05330198263896,-0.501885367672258
"opposing negotiators",3.64022645754185,-0.111569897844341,-1.66557911424176,1.53904833745999,-1.77928993133846
"political opponents",2.6897444194101,2.09797981277449,-1.01270334228109,-0.0466597192804023,-2.01758023227003
"business rivals",2.44102243224666,1.19941144720344,-2.62092255204262,2.31120858134207,-2.39283991871019
"enemies",1.02479146121243,4.36652550137003,-1.90329719592734,0.776206040989577,-0.978799760083214
"teacher and student",-0.457894627697425,-1.01689159585196,0.207045745585689,-2.50169808290117,-0.577065297352222
"professor and graduate student",-1.27365251813798,-1.9645575267767,-0.735666973563879,-1.30490329823738,0.213812253548939
"master and servant",3.9674839302433,1.89594233924044,-2.06211630677636,-1.27001778979868,0.480045690253335
"close friends",-5.80080215149543,-0.0907738291246932,-0.720253515045831,0.403581397872806,-0.636902061210321
"casual acquaintances",-0.0102966247749801,2.6089956385919,2.18517725071708,0.787596556515518,-1.57958912660525
"teammates in sports",-2.85753916168623,-0.335197227536203,0.277241049383883,0.36155372065681,-2.12180021648787
"second cousins",-0.410656182862887,2.32612293517802,2.49670896828275,-0.479453131612916,-0.613391497841391
"grandparent and grandchild",-2.04654506977048,0.171148726333908,0.645716661306923,-1.20749312406158,0.686291718115084
"foster parent and foster child",-4.03952107081516,0.0762882611740061,-0.813115157028368,-0.921395475869138,0.921107738387098
"godparent and godchild",-1.80341001468915,1.02761147256823,0.630141363628119,-1.07548411338568,0.378270141036064
"step grandparent and step grandchild",-1.99832695270439,1.12133330962106,0.57636639572312,-1.14726446772189,0.0480229266763998
"ancestor and descendant",-1.32754190291265,1.41184656052816,2.09092661471469,-0.182083385050042,0.737382568707527
"man and his mistress",-2.64961704620718,1.25313021965184,-3.00839815639231,1.62057834789562,1.72199793660191
"step siblings",-1.49149664265677,1.55931331584475,-0.762931139870452,-0.0173499113970171,-1.45157807028921
"distant relatives",0.407466419044693,2.14592705681718,2.94495281817728,-0.21055921377972,-0.123746159196626
"twins",-3.16083736959503,1.38341169205489,0.990786155240364,-0.00772441673953917,-0.699056876783249
"a person and their family friends",-5.14014008633733,0.298564976833192,0.312484369926851,-0.253439769032901,-0.427042813387131
"manager and staff",2.35466469737276,-1.45274211839916,0.38966464577095,-0.153297702079044,0.119901327354575
"union leader and union member",1.61184977658717,-2.73566139355542,0.822773785558406,0.0869561289758277,-1.07857877938448
"manager and assistant",2.32818445972394,-2.13879753538504,0.645386194673484,-1.34720674513889,-0.0572044795159959
"entrepreneur and investor",1.52768984521493,-3.62598789285946,-0.833457176473084,0.840430219476076,1.06430290412393
"drug dealer and addict",0.263368880599617,-2.0162023446761,-2.64150852708587,2.00094490576643,1.07432766639771
"victim and witness",2.55911214670564,2.98229423472471,-3.18826815203083,-1.07411882561693,-0.766215718741901
"criminal and police officer",2.05488378606193,-0.0591218714475489,-2.09046300682623,-1.35163311610667,-0.920317110641165
"criminal and prosecutor",2.26562630298029,-1.10376166076098,-2.35893947154689,-0.212742358241861,-2.25112404897466
"customer and businessman",2.17476009249118,-2.22619657031129,-0.8031627619855,1.35287606478217,0.437926860592898
"representative and citizen",2.11185244587806,-0.444323821237845,0.650860804790534,0.289022583325916,-0.729765257315207
"officer and soldier",1.65307519357557,-1.13958485030887,-1.9371535318412,-1.04598745039144,0.0871234136833095
"religious followers",-0.852890016531371,-0.288802785225588,0.228446197013997,0.37990004235186,-2.07296124135529
"reader and writer",-0.680124629547109,-1.27891264169481,-0.622919218562096,-0.597379811384723,-0.496186595670723
"reviewer and writer",1.25308735894495,-2.50422604038705,0.610951969428575,0.573351084799677,-0.386399293263868
"sugar daddy and sugar baby",-0.483009302742115,-1.00641016348751,-2.06968227480578,2.82140940024025,3.62324279816254
"director and performer",-1.24690541522819,-2.02012480235073,-1.38684278451537,-1.83463325794462,1.14519089353566
"psychologist and client",-1.10504959099568,-2.68338084462872,-1.44157430971839,-0.865228653644724,1.09430886018397
"judge and contestant",2.11831292972264,0.899799954011024,-0.70148912140651,-0.0995958832290612,-0.989698290030287
"man and god",-2.13442700701821,0.735266220877649,-0.96802733274911,-0.708245114160597,0.867746985379779
"university student and administrator",2.56798448307475,-1.38103705003817,0.764963257753977,-0.792377936469027,-0.116950218525418
"student and dorm resident assistant",0.981788126339445,0.0410482913456656,-0.0269724270233493,0.610625932767382,-0.494310962951009
"athletic trainer and trainee",1.19025257617701,-2.67189324833228,-0.530235295855032,-1.11994602430099,0.741416485598363
"researcher and research subject",1.91953933329458,-2.30281513428289,0.0568910369233666,-1.00415727559953,-0.137399466882362
"peers",-3.99541917986868,0.0792042282163619,0.991186870608089,0.54716858961864,-1.71508546930898
"classmates",-2.26711835791736,0.823407013199384,1.74511543809239,-0.398902562186083,-1.50717661326864
"bride and bridesmaid",-2.72646988882946,0.706588623446676,0.147512166258055,-0.63386574792075,-0.517134124641142
"guest and host",1.18591074665793,0.630219772388975,0.216484992312041,-0.575353346216205,-1.00813709291612
