,Dim1,Dim2,cl_k3,cl_k6
companions,3.4936113,6.9810576,0,4
doctor and patient,18.267405,0.9580157,1,1
aunt and niece/nephew,1.3949374,4.849003,0,0
parent and child,1.477661,5.2599525,0,0
leader and follower,3.92947,11.358282,2,2
supervisor and subordinate,16.899557,-0.026858702,1,1
bride and groom,3.733095,5.07559,0,5
sorority sisters,5.0792794,0.8712881,0,3
classmates,5.4167156,1.863178,0,3
club member and club president,3.8067646,11.640801,2,2
political opponents,4.692921,0.22120222,0,3
friends with benefits,3.4134421,7.2033567,0,4
foster parent and foster child,1.3428138,4.8930283,0,0
business rivals,5.042986,1.9064229,0,3
manager and assistant,17.700577,-0.045296144,1,1
victim and witness,4.0839753,12.010772,2,2
business partners,17.95284,1.2599498,1,1
