,Dim1,Dim2,cl_k3,cl_k6
wife and husband,-5.6285534,14.166716,0,0
nurse and patient,-5.416124,8.372874,0,0
officer and soldier,-5.4080787,1.951589,2,2
neighbors,-5.2889047,11.244372,0,0
athletic trainer and trainee,-5.455345,8.3308115,0,0
police officer and offender,2.4186444,8.567962,0,5
principal and teacher,-5.36901,1.8626285,2,2
doctor and nurse,-5.2955375,1.9694693,2,2
victim and criminal,2.709489,8.299047,0,5
coach and athlete,-5.4104896,1.2016392,2,2
man and god,16.43882,6.0969353,1,1
half siblings,-3.1444554,11.911221,0,0
parent and teenager,16.528791,6.0699635,1,1
prostitute and customer,-4.409988,9.400515,0,0
church members,-5.3131056,10.604337,0,0
foreman and laborer,-5.3124204,2.0100446,2,2
a person and their family friends,-4.0172024,11.719763,0,0
a person and their social media follower,2.5560293,-0.8528014,2,3
guide and tourist,-5.347742,8.378981,0,0
bride and bridesmaid,-2.1057005,11.664929,0,0
teammates in sports,-3.9759443,11.742117,0,0
twins,-2.8577042,11.898062,0,0
celebrity and haters,-9.7649,12.031025,0,0
employer and employee,1.5558518,-9.618778,2,4
teacher and student,-5.347651,1.071167,2,2
guest and host,2.6135292,-0.87020963,2,3
man wife and man mistress,-9.511795,12.575295,0,0
religious followers,-5.1974063,10.581638,0,0
intern and employee,1.6369727,-9.708313,2,4
criminal and police officer,2.451732,8.541346,0,5
step grandparent and step grandchild,16.753231,5.8946595,1,1
chef and customer,-4.3299227,9.331537,0,0
union leader and union member,1.9291804,-0.9305033,2,3
professor and graduate student,-5.4442434,1.2019254,2,2
second cousins,-4.7287226,11.276743,0,0
fans of the same sports team,-4.415058,11.50365,0,0
master and servant,2.615705,8.391994,0,5
siblings,-2.9284213,11.85207,0,0
landlord and housekeeper,1.5180237,-9.585018,2,4
close friends,-2.1184793,11.727354,0,0
entrepreneur and investor,-4.879912,9.455868,0,0
fraternity brothers,-2.3991761,11.841478,0,0
psychologist and client,-5.3800364,8.425592,0,0
chief and deputy,-5.337609,1.898318,2,2
sugar daddy and sugar baby,-5.1032724,8.912442,0,0
uncle and niece/nephew,16.820354,6.196049,1,1
childhood friends,-2.2196493,11.686545,0,0
ex lovers,-6.382327,11.629997,0,0
man and his mistress,-5.2271,14.491768,0,0
step siblings,-3.2718701,11.941794,0,0
confidants,-2.2227323,11.758205,0,0
parole officer and parolee,2.3652146,8.624007,0,5
grandparent and grandchild,16.832241,5.9278636,1,1
judge and contestant,2.578447,-0.82181585,2,3
romantic lovers,-5.3191724,14.460808,0,0
researcher and research subject,1.8397028,-0.65608513,2,3
brother and sister,-2.9205081,11.863491,0,0
therapist and patient,-5.3955812,8.408777,0,0
parent and infant,16.431343,6.055196,1,1
slave and master,2.6574323,8.348441,0,5
reader and writer,2.389968,-0.7074814,2,3
representative and citizen,-4.4283524,9.143475,0,0
criminal and hostage,2.6438265,8.361263,0,5
ancestor and descendant,17.008297,6.166642,1,1
peers,-5.7027507,11.0408125,0,0
groom and groomsman,-2.2307339,11.729051,0,0
opposing negotiators,-9.708948,12.0904455,0,0
adoptive parents and adopted kids,16.997377,6.054873,1,1
driver and passenger,-5.1647344,9.1469345,0,0
a person and their significant other,-5.4316587,14.312049,0,0
romantic rivals,-9.559828,12.512391,0,0
strangers,-6.4097843,11.857338,0,0
predecessor and successor,1.9017494,-1.0271345,2,3
a person and their crush,-5.0169015,13.9562435,0,0
brothers in arms,-2.3526855,11.796748,0,0
playmates,-3.8273578,11.827028,0,0
volunteer and organizer,1.9543027,-0.99484354,2,3
a monarch and their minister,-4.695853,9.269561,0,0
roommates,-5.0001063,10.811137,0,0
criminal and prosecutor,2.3547616,8.636696,0,5
friends,-3.7943988,11.877077,0,0
television host and guest,2.5489323,-0.9243853,2,3
university student and administrator,-5.3605175,1.769689,2,2
life partners,-5.385596,14.395293,0,0
political allies,-6.0685015,11.276893,0,0
criminal and their accomplice,-4.950423,8.907853,0,0
consultant and client,-5.18506,8.8958,0,0
diplomats,-6.0274987,11.173695,0,0
bully and victim,2.5617046,8.437473,0,5
close relatives,-2.7411828,11.788641,0,0
godparent and godchild,16.864527,6.092163,1,1
guard and prisoner,2.6027386,8.345667,0,5
fans of opposing sports teams,-9.699781,12.071991,0,0
pen friends,-3.9503548,11.778231,0,0
mentor and mentee,-5.3520346,1.0937706,2,2
casual acquaintances,-5.816177,11.057247,0,0
judge and lawyer,-5.4614835,1.8081541,2,2
student and dorm resident assistant,1.7856126,-0.5397218,2,3
superior and subordinate,1.7543026,-9.827585,2,4
step parent and step child,16.902685,6.2899165,1,1
boss and secretary,1.6913613,-9.76254,2,4
dealer and buyer,1.702848,-0.55288726,2,3
salesperson and customer,-4.3706517,9.213102,0,0
sports rivals,-9.802436,12.022267,0,0
professor and teaching assistant,-5.368632,1.1352512,2,2
cohabitants,-5.0357356,10.801394,0,0
celebrity and fans,2.4894693,-0.80987865,2,3
athlete and referee,-5.3190346,1.9376886,2,2
soul mates,-5.421854,14.278005,0,0
enemies,-9.621626,12.437138,0,0
long distance lovers,-5.3239474,14.339476,0,0
team captain and team members,2.0724647,-0.9561228,2,3
alumni,-5.815974,10.999812,0,0
politician and supporter,2.4389708,-0.76875633,2,3
patient and caretaker,-5.3600745,8.446563,0,0
babysitter and infant,17.020958,6.187417,1,1
co workers,-5.9364324,11.156999,0,0
competitors in sports,-9.578809,12.037975,0,0
manager and staff,1.5693393,-9.639384,2,4
interviewer and job applicant,1.6213857,-0.66422164,2,3
reviewer and writer,-5.399687,1.7930751,2,2
performer and audience,2.4958158,-0.8428728,2,3
frenemies,-6.327511,11.538821,0,0
religious leader and congregant,-4.532269,9.510925,0,0
a person and their deceased spouse,-5.4544854,14.340097,0,0
distant relatives,-4.760116,11.211911,0,0
divorced spouses,-9.617935,12.441715,0,0
