,Dim1,Dim2,cl_k3,cl_k6
wife and husband,1.0392994,1.1262245,1,2
nurse and patient,-0.8545909,4.3355227,1,1
officer and soldier,6.717609,8.034367,2,0
neighbors,0.1766651,2.5062976,1,2
athletic trainer and trainee,-0.98887765,4.600948,1,1
police officer and offender,6.5100055,9.1309,2,4
principal and teacher,-0.42168325,6.1123037,1,1
doctor and nurse,-0.6769253,5.777025,1,1
victim and criminal,5.1449895,5.4256682,0,5
coach and athlete,-0.8068745,4.8441234,1,1
man and god,6.4956017,8.888269,2,4
half siblings,4.8502955,4.7883306,0,3
parent and teenager,0.9429821,3.1079152,1,2
prostitute and customer,5.8636117,5.510019,0,5
church members,5.9850473,4.633488,0,3
foreman and laborer,6.059124,9.496067,2,4
a person and their family friends,4.914718,4.3597703,0,3
a person and their social media follower,0.6188927,4.312511,1,1
guide and tourist,0.30562508,4.6192865,1,1
bride and bridesmaid,4.256519,4.23619,0,3
teammates in sports,5.9578376,4.5946574,0,3
twins,1.1025403,2.0826435,1,2
celebrity and haters,5.2608867,5.8934727,0,5
employer and employee,6.2737246,7.2622347,2,0
teacher and student,-1.0763631,4.454759,1,1
guest and host,0.10526629,2.4685822,1,2
man wife and man mistress,5.6054907,6.479967,0,5
religious followers,0.47896752,3.8895018,1,1
intern and employee,6.850201,7.7081923,2,0
criminal and police officer,6.3213234,8.953287,2,4
step grandparent and step grandchild,5.072005,3.8114536,0,3
chef and customer,0.09099699,5.470024,1,1
union leader and union member,-0.05435982,4.9743195,1,1
professor and graduate student,6.661188,7.450002,2,0
second cousins,5.2165065,3.859111,0,3
fans of the same sports team,5.794014,4.5872083,0,3
master and servant,6.3625793,8.664012,2,4
siblings,1.151722,2.2057478,1,2
landlord and housekeeper,6.023271,9.079137,2,4
close friends,0.5960869,1.8486214,1,2
entrepreneur and investor,0.07775874,4.667638,1,1
fraternity brothers,6.2239656,4.7988634,0,5
psychologist and client,-1.0091754,4.4996114,1,1
chief and deputy,6.4301023,7.687847,2,0
sugar daddy and sugar baby,5.1041856,5.920667,0,5
uncle and niece/nephew,4.43437,4.9904265,0,3
childhood friends,0.034441486,2.0801055,1,2
ex lovers,5.3887744,6.1259637,0,5
man and his mistress,4.9232373,5.579892,0,5
step siblings,4.5891404,4.4102135,0,3
confidants,0.68063045,1.802468,1,2
parole officer and parolee,6.0881658,9.484586,2,4
grandparent and grandchild,4.429098,4.972837,0,3
judge and contestant,6.014202,5.434887,0,5
romantic lovers,0.7312027,1.4045265,1,2
researcher and research subject,5.404657,4.6724777,0,3
brother and sister,1.1691808,2.184934,1,2
therapist and patient,-0.9412556,4.3595686,1,1
parent and infant,1.1030291,2.2459671,1,2
slave and master,6.364846,8.915453,2,4
reader and writer,0.49571112,4.446383,1,1
representative and citizen,-0.68836117,5.108787,1,1
criminal and hostage,6.078999,9.498194,2,4
ancestor and descendant,4.3778744,4.768598,0,3
peers,0.5454881,2.2822204,1,2
groom and groomsman,0.4383053,2.3963168,1,2
opposing negotiators,6.1751113,6.3359847,0,5
adoptive parents and adopted kids,1.4440308,2.7113647,1,2
driver and passenger,-0.25625923,5.3417296,1,1
a person and their significant other,1.0691801,1.245081,1,2
romantic rivals,5.3979864,6.148334,0,5
strangers,0.38682345,4.557868,1,1
predecessor and successor,6.0994925,7.1069894,2,0
a person and their crush,6.398007,5.0872464,0,5
brothers in arms,6.4066753,5.4010596,0,5
playmates,5.4206314,4.4317245,0,3
volunteer and organizer,-0.31184095,4.771313,1,1
a monarch and their minister,6.6196585,7.8196282,2,0
roommates,-0.003971406,2.4768693,1,2
criminal and prosecutor,6.512187,8.555178,2,4
friends,0.20722654,2.0464756,1,2
television host and guest,0.68491393,4.6614203,1,1
university student and administrator,6.0847597,6.981677,2,0
life partners,0.9856834,1.2445465,1,2
political allies,0.39152244,4.117245,1,1
criminal and their accomplice,6.244322,5.4794827,0,5
consultant and client,-0.61935973,5.1362767,1,1
diplomats,6.253058,5.8395925,0,5
bully and victim,6.097672,9.0757265,2,4
close relatives,1.1926842,2.0109463,1,2
godparent and godchild,5.005795,3.92828,0,3
guard and prisoner,6.278939,8.908236,2,4
fans of opposing sports teams,5.8554835,6.179065,0,5
pen friends,0.03988157,2.054453,1,2
mentor and mentee,-0.69613475,3.8488317,1,1
casual acquaintances,4.925223,4.211355,0,3
judge and lawyer,-0.6956281,5.5121794,1,1
student and dorm resident assistant,6.000733,5.4078364,0,5
superior and subordinate,6.730605,7.6731896,2,0
step parent and step child,5.096966,3.847969,0,3
boss and secretary,6.723197,7.615804,2,0
dealer and buyer,-0.026508609,5.362538,1,1
salesperson and customer,5.339969,5.4688478,0,5
sports rivals,5.9864798,6.3176446,0,5
professor and teaching assistant,-0.85526484,4.861188,1,1
cohabitants,0.23344843,2.2032595,1,2
celebrity and fans,5.3749084,5.6296043,0,5
athlete and referee,-0.49159613,4.2506537,1,1
soul mates,0.9690583,1.2824961,1,2
enemies,6.2380714,8.928773,2,4
