,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,cl_k3
Volunteer and Organizer,0.7256915081799409,1.1910546811733944,1.0019915157687354,1.8570131651917887,1.6291958584682755,1.9242346669273949,1.8771303196894351,1.0484411743601814,1.91870083204294,2.01403048716771,1.971676982488833,0.2002240290370025,0.7994790373618988,1.7937749763777888,-0.3891317581382834,0.05842419195616,1.3586822294793397,-0.0721540609128968,-0.5439273338022694,-0.8776956632807176,0.1340818704650843,-0.879519032754419,1.6111495646972398,1.4283705076096196,1.633275493790932,0.8255489394833976,1.4664116235811708,-0.5122966391883507,1.6140677941642818,0.8268007811265086,1.1123149219060475,1.2229823657566727,-1.2240060797177468,0
Celebrity and Fans,0.6220109867317949,1.9308187609865757,1.5793199051559024,0.985869293097938,1.177358286348589,2.17459896521448,0.4599698216280955,1.4450922722936943,1.86490879743356,1.100583407823712,1.7829611136133845,0.2547259491910293,1.4283068185810224,0.4631049873931194,0.0112050377861678,1.7959114587415168,1.571860724981714,1.2979423758493884,0.0950504119475499,-0.5357476041806716,0.3552611085808284,-0.6688840369214064,0.6517294387497966,0.651793730343353,0.9257547872934724,0.9826521433435038,0.4211538817163526,-0.1960534347265292,-0.8590232775375605,0.1827447958284588,0.5042720432923335,1.0401924231408428,-0.3460243917108866,0
Celebrity and Haters,0.1208884663990889,1.2086681116451368,0.3344555655398236,1.474932519536591,1.4173969965371724,1.7265786419639069,0.4405566641204059,1.5061155181296193,1.416641842355393,1.5409953925074256,1.9559506600825456,0.1638894156009845,-0.4779821244848239,-0.8490834739667632,-0.3945417148399648,-0.181452781443311,0.0473114844192824,-0.5376694525541365,-0.3161728897726307,2.1789012731645907,-0.1786198110088989,1.4592557485638602,-2.378018327400024,-2.264683499834404,-1.921797685770377,-1.340821555850699,-2.665775524164793,-2.2888393466062293,-2.070936432196232,-2.050675153188972,-2.256571297440205,-1.94537663958438,-0.8845198270217608,2
Native and Tourist,0.6565711605478435,1.08537409834294,0.9298254670953396,1.352666712926928,1.3467973758934717,1.7134015736330075,-0.1612512186179711,2.009557296276001,1.6138793025897864,1.361568287636283,1.9874033048951203,-0.1752336431351829,0.4479296478614444,-0.5102554675123334,0.9904072007905677,1.9839231405951567,1.630000314664179,0.6631486599749705,0.3417843929796589,-0.4729408178153571,0.6069478278159853,-0.2694038724105202,1.5185739385093286,1.0228248572594585,0.8820806696084441,0.2632848414577541,-0.7706353192883934,-0.0565343739345492,-0.9378468973527586,-0.3989831908923603,1.0301469653366269,0.1110102148437072,-0.0182445615216588,0
Bully and Victim,-0.6048751837379335,0.5745846146624102,0.3524970777081726,0.9247363897931064,1.177358286348589,2.108713623559984,0.0134671989512351,1.246766723326938,1.147681669308493,1.4431260625777114,1.4998873103002115,-0.623360542179404,-0.968170709844613,-1.7053942539152316,-1.124885869567004,-0.8038362799932893,-1.7097961148730108,-1.648558455334368,-0.3984175501166669,2.3463860368054297,-1.5819639425018963,2.5487471063208225,-2.7062410020662546,-1.9022810037768128,-1.9567369799183996,-2.73821321123796,-2.724388107820764,-2.5120698438733977,-2.553731103564321,-2.1130031517662022,-2.7167118542289623,-2.2271778011171173,-0.63868495437984,2
Between friends,0.2591291616632836,1.5080964296647577,1.3989047834724126,0.6954880023999878,1.1349985139623684,1.8978805302655968,0.6735145542126809,1.4298364608347132,1.0759589564959864,1.0679602978471407,0.5405816435166811,0.4666778609011339,1.6857796108912146,1.461107479131622,-0.2430629271928754,-0.6223077595828791,0.0537714388284453,1.964475777517528,0.5885183740117673,-0.7241679632766154,-0.0413361459715406,-0.5526716254273303,1.5774857006289085,1.229911997863796,1.362495964143756,-1.6798337326014547,1.3003426365559194,1.4223676704604389,1.3775969347186874,0.95145677828097,0.545356021577044,1.1544361372757366,-1.844446472575928,1
Between Facebook Friends,1.1922538546965982,1.2967352640038488,1.2726141982939698,1.9181460684966205,1.3467973758934717,2.3986091268397662,-0.5689275262794523,1.7807201243912822,1.7573247282147997,1.801980272319996,1.893045370457396,0.1820567223189933,1.5322862154755237,1.3563788225911615,-0.4486412818567825,0.4863128472092705,0.0343915756009569,1.9433159869883805,-0.0631123964063657,-0.5078334769071985,-0.1404854596096326,-0.0297157737039882,1.451246210372666,0.9624244412498596,0.6637100811833023,-1.5227305287413484,1.329648928383905,-0.2239572468849252,-0.1496106992007769,-0.86644318022159,0.6110903868325807,0.4689738524663742,-1.247418924731263,1
Between a person and their social media follower,1.1231335070645008,1.5961635820234696,1.5432368808192043,2.468342198240105,1.4456368447946528,2.280015511861673,-0.0641854310795232,1.6891852556373943,1.5421565897772798,1.312633622671426,1.7200558239882349,-0.2357913321952127,0.8687986352915663,1.146921509510241,1.2338552523662472,2.13951901523265,1.3974419559343172,0.9540957797507454,0.3481109053138151,0.0364920049255275,1.0874406554467402,0.653032143823708,0.9631201813818616,0.9279099178158032,0.6549752576462966,-1.1754497623137452,1.0365860101040494,-0.1774508932875985,-0.6126994656150662,-0.7417871830671288,0.8411606652269589,0.5756013189922751,-0.6738042219001144,0
Between childhood friends,0.9157724641682088,1.5855955237404238,1.3267387347990167,1.0806252932204268,-0.6751757593421254,0.8911525097848975,0.2658382465511997,1.1857434774910127,0.8034126478084613,-1.799611069093482,-1.5667455589258283,0.8434812594968758,0.9155618561171354,-0.5157314756974555,-0.3302233407199708,-0.2837426619920342,-0.0797342856275865,0.4356809117866376,-0.3421818849241635,-1.2824505087460782,-0.2031952819106483,-0.7746050501556005,0.4800437320013069,0.636262194798028,0.5152180810542059,-0.4792345115231691,1.6051280715669696,1.4986380903600551,1.1371848942823333,1.803272758836455,1.4771406490742758,1.4149118055032943,-1.93341528362729,1
Between pen-friends,0.2798652659529126,0.7401508610967883,-0.0660660045975232,-0.1420327728762056,-0.0821389459350369,0.3271739852224118,-0.0680680625810609,0.1727575966146565,0.1722527750584024,-1.36898601740274,-1.8246572463889412,-0.1590849260525083,0.4479296478614444,-0.2761561175983639,-0.943351766910571,-0.5934937087240838,-1.1205047182149337,-0.4459770269278316,0.2061158507027444,-1.445282917841338,-0.2879382850201291,-0.2500351371615074,0.1770689553863249,0.5051070057486138,0.2846187396772563,-0.4130857941083876,1.3316026811724375,0.5759520349890935,0.9401258447443378,-0.4156039905129554,0.8000766869422485,0.1049172167565128,-1.6711914194759072,1
