"","PC1","PC2","PC3","PC4","PC5"
"parent and child",-4.92529094873705,-1.13359717641537,0.217619845215931,-0.433843339140692,-0.484266340839487
"parent and teenager",-4.12733855763304,0.0841009652216498,-0.275349251307636,0.850137754550681,0.127219447650222
"wife and husband",-5.75306797659652,-0.0929988536653262,0.306836123550053,0.620921258520787,-2.32034663099522
"fiance and fiancee",-5.88272140010243,0.109132635153556,0.566266655914173,0.556392661490772,-2.22813863140943
"siblings",-5.02183540555784,0.24821472015617,0.79653240385106,-0.419853459771539,-1.24182248000412
"divorced spouses",1.49320522334185,5.39076627454812,0.520821772467993,2.30168772031343,0.824045970227073
"a person and their in laws",-3.40698047296804,1.43454634593192,0.262291409835268,-0.485370932893895,-0.874155280790649
"employer and employee",2.80098973915437,-1.75415695820568,0.732113468506076,0.604082483279889,-0.936579343281703
"interviewer and job applicant",3.877524609387,-2.13920720382802,0.97699211085049,0.199487478789362,-1.33446728738838
"guard and prisoner",3.29038137483125,3.57174857236669,-3.64579483352555,-0.576747291433061,-1.06148204220073
"nurse and patient",2.00213601563507,-1.24496249160281,0.68696785560841,-0.993245094910724,-0.289521985721444
"therapist and patient",1.40255204427202,-2.22639295584357,1.95306285421736,0.468426349078505,-1.38226353167732
"salesperson and customer",3.10513815155647,-1.29055183391862,-1.03322531726751,2.28682059182974,0.866987126173687
"business partners",0.333575704146707,-2.08221815683589,1.81430568424972,1.24277990949755,-2.11306087866999
"opposing negotiators",4.16982865457717,0.580813817249226,-0.581625587224318,1.97474862336574,-1.47869150820137
"political opponents",3.81146489570686,1.85546678357575,-1.52665203140998,0.77442361386664,-0.0548722483575197
"business rivals",2.78359251718658,1.13514052610962,-1.05509513710855,0.855919442294164,-0.627484062525848
"enemies",0.398280978805275,4.95418648326825,-0.546239516565153,-0.290805938929583,0.131836134647223
"teacher and student",1.47557072951702,-1.05882610346662,0.797380356712638,-1.64222371214406,-0.418924142585109
"professor and graduate student",1.83597715668579,-0.67204213899065,1.25940561407976,-1.25175650146459,-0.804225068435208
"master and servant",2.38680047497714,2.75895827339791,-3.19816576318984,0.230387882085555,-3.15448110206404
"close friends",-4.69780407710249,0.234406959556337,1.09189966548503,-0.86766378597318,-1.20079934115046
"casual acquaintances",0.498668571470835,4.90385521826876,2.61472245827801,0.384974096639578,0.685918790562116
"teammates in sports",-1.8485853584926,-1.28642520466905,0.766613689121639,-1.44018251948642,-0.934101332237365
"second cousins",-2.64000851622187,3.21840181896211,1.58046445979447,-0.0991952908438436,-0.0659860524330702
"grandparent and grandchild",-4.4302380965477,0.838269103843635,0.87122585944898,0.495260631549691,-1.2509056450008
"foster parent and foster child",-3.01729405836356,1.06210094350461,0.361572446830215,-0.671224857323145,-0.977512581600718
"godparent and godchild",-3.92810419224578,1.19959953150117,1.32267307828061,-0.658511773892936,-0.784582654342704
"step grandparent and step grandchild",-3.81178493408164,0.285817608714403,1.00706690831536,-1.14125789944656,-0.982070082110695
"ancestor and descendant",-2.88830994356325,3.26270175763587,2.24858163296317,-0.858439282600819,2.11637347593841
"man and his mistress",-4.16343079865223,0.634125481357935,-0.106570715732957,1.76986654534303,-2.77970370514752
"step siblings",-3.81248083220032,0.80446354028905,1.27798492013094,-0.847856373799211,-1.51824814747151
"distant relatives",-0.918959591814964,3.6881584050157,2.02436231457797,-0.0340308486469845,0.682408542422393
